{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '主要是交通方便。', '短评打分': 5}
{'短评内容': '可以的不错', '短评打分': 4}
{'短评内容': '挺好的，我很满意', '短评打分': 5}
{'短评内容': '优在地点。', '短评打分': 5}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离重庆路很近 房间也干净 床很大 很好', '短评打分': 5}
{'短评内容': '还可以。每次都住这 ', '短评打分': 4}
{'短评内容': '房间很大，地理位置也不错，床也挺大，就是太冷，冬天住是不行。', '短评打分': 4}
{'短评内容': '环境还不错！就是有点冷！空调开了一夜！不过离吉大二院真的好近！走路五分钟！', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 2}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
