{'短评内容': '干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '装修还行，网速不错', '短评打分': 5}
{'短评内容': '一般一般，', '短评打分': 2}
{'短评内容': '还不错哦，很方便', '短评打分': 4}
{'短评内容': '地理位置很中心，交通四通八达，周围有大型购物商场，吃喝玩乐配套都非常齐全。', '短评打分': 4}
{'短评内容': '一般般的，价格也偏高', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '還可以', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '还好还还好好还好还好', '短评打分': 3}
{'短评内容': '前台的服务态度真的不想说了，真以为自己是大小姐？是大小姐就不要出来站了。十一月七号晚值班的那个大小姐太子爷，赶紧回家让你爸妈供起来算了，别出来站。影响酒店形象。反正再也不会去了。什么叫狗眼看人低，订酒店代表没钱住好房？你穷惯了是吧？', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般，还可以。', '短评打分': 5}
{'短评内容': '环境、卫生是不错的，但是服务的反应速度偏慢，并且不注意“先来后到”的顺序，希望改进！', '短评打分': 5}
{'短评内容': '房间布局和设施都不错，就是洗手间小了点。', '短评打分': 3}
{'短评内容': '服务还可以，房间装潢一般，性价比尚可，最主要是吃饭很方便', '短评打分': 5}
{'短评内容': '房间说得过去，但早餐就差点了，只是10元标准，什么都吃不到！要想吃别的还要自己掏钱！没有四星级酒店的大气！', '短评打分': 3}
{'短评内容': '之前已经订过，这次是第二次订，伯父对酒店评价很高，香港人都赞了', '短评打分': 5}
{'短评内容': '虽然是四星的，但房间有点旧。一般般吧。', '短评打分': 3}
{'短评内容': '客户很喜欢 老住啦   价格实惠又公道  房间舒适又大方  以后还会一直住呀~~good good~~喜欢喜欢·~~好棒的房子  就是有点吵呀 ~~再干净点更好哦 ~~多给点优惠吧', '短评打分': 5}
{'短评内容': '便宜又好，好合算出差适合，真好，喜欢，就是有点吵闹哦，别的都跟不错啦，房间也挺大啊，满意', '短评打分': 5}
{'短评内容': '很好很实惠阿性价比很高就是楼层低的话比较吵闹，别的都不错的', '短评打分': 5}
{'短评内容': '酒店环境不太好，晚上非常的吵。楼道墙面破损看着有些陈旧。早餐也一般。', '短评打分': 1}
{'短评内容': '环境不错，服务也不错，房间装修和布局也不错，就是房间有点小了，说是按照4星标准建的，应该房间没有这么小才对哦。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '酒店位置不错，房间蛮宽敞的，给定的7楼豪华间窗户外面就是天台，真怕晚上有人敲窗户，早餐比较差', '短评打分': 5}
{'短评内容': '還可以~下次再去江門辦事~還會再入住這家酒店~', '短评打分': 5}
{'短评内容': '很不错。周围超市、饭店很多，公交车也很多。酒店服务态度很好。', '短评打分': 5}
{'短评内容': '住过的性价比最垃圾的酒店！装修陈旧、地毯肮脏、设施落伍、早餐垃圾......', '短评打分': 1}
{'短评内容': '好差，首先批评是服务！说含早餐，可是要餐券，十元钱，一个点都要八元钱，能吃什么？如果在大堂问去景点怎么去？居然叫去车站搭，还不如路边一个大叔，他还能对你说：坐的士去多少钱，去摩托多少钱，还能等你回来。去车站坐什么车，是新的还旧的车站！\n二是：房间旧，什么东西都要钱。茶都没得喝，只是白开水。环境不怎么样', '短评打分': 1}
{'短评内容': '只有一点不足，早餐券只是10元的代金券，太小气。其它方面都还不错。', '短评打分': 5}
{'短评内容': '房间装修的挺时尚，床是圆形的，还配备了浴缸，有宽带能上网，感觉挺不错。', '短评打分': 5}
{'短评内容': '位置挺好，交通挺便利，服务挺周到，卫生也不错，价格也挺合适，值得推荐。', '短评打分': 5}
{'短评内容': '房间挺大的，布局挺合理，看着挺舒适，服务态度很好，服务也挺周到。', '短评打分': 5}
{'短评内容': '酒店还不错，干净卫生，设施齐全，服务周到，出行方便。', '短评打分': 5}
{'短评内容': '房间装修的有点欧式风格，墙壁是玻璃形式，显得挺挺时尚，网速也不慢，使用着挺方便。', '短评打分': 5}
{'短评内容': '价格挺合适，环境挺干净，电视频道挺多的，就是停车不方便。', '短评打分': 5}
{'短评内容': '前台服务挺热情的，停车场的保安也挺好，挺认真负责的，服务上可以给满分。', '短评打分': 5}
{'短评内容': '这家的酒店还不错，环境很好，设施挺齐全，感觉挺舒适。', '短评打分': 5}
