{'短评内容': '离机场很近', '短评打分': 5}
{'短评内容': '好评！！！环境好而且便宜！强推！！', '短评打分': 5}
{'短评内容': '一次不错的住宿体验', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '酒店位置很好，接近机场', '短评打分': 4}
{'短评内容': '环境挺好的。接待美女很热情。 下次还来这', '短评打分': 5}
{'短评内容': '挺好的，挺干净的，很近的', '短评打分': 5}
{'短评内容': '离机场很近、屋子有点儿冷', '短评打分': 5}
{'短评内容': '价格比较便宜，房间比较窄，没有一次性拖鞋，不过因为赶飞机还算是不错了，离机场打车也就十块钱，附近环境也算是比较好的了，总之比较划算，性价比比较高', '短评打分': 5}
{'短评内容': '环境很好。服务工作人员态度非常好。室内实施很好卫生服务也很好。离机场附近。走十几分钟就到机场。附近清静', '短评打分': 5}
{'短评内容': '很差真的很差，霸王条款，也没人给退房提示，多两个小时退房竟然收两天的房费。说是规定麻蛋规定。劝各位旅友千万不要住', '短评打分': 2}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '与描述基本相符', '短评打分': 4}
{'短评内容': '宾馆不错，非常舒适温馨，谢谢前台美女姐姐给换的靠窗大床房!!!', '短评打分': 5}
{'短评内容': '不错 不错 还可以', '短评打分': 5}
{'短评内容': '服务好，近机场。但淋浴头漏水，影响使用。', '短评打分': 1}
{'短评内容': '这家店的位置还是很好找的，前台服务很热情！到酒店的时候快6点了，由于上一位客人续住，预定房型的房间还没有打扫出来，前台就给我们开了相近的一间房让我们先休息，等到房间打扫完了之后，及时通知我们过去！由于第二天很早的航班，没有体验免费的早餐，早餐供应的时间7:30,有点迟了！整体来说不错！\n', '短评打分': 5}
{'短评内容': '本来想图方便住机场附近赶第二天一早的飞机，以为是青岛本地比较大的连锁酒店，结果图片介绍和实际差的太远，隔音相当差。前台服务还是不错，还到点叫醒，主要是宾馆硬件设施不行，卫生也一般。我住199，结果第二天一早上网看就剩149了，差50，貌似周6和周日就是不一样，太不平衡了，别的连锁酒店哪有相邻2天差这么多的。', '短评打分': 1}
{'短评内容': ',青岛99酒店条件不错。', '短评打分': 3}
{'短评内容': '房间精致但有异味，隔音效果差', '短评打分': 3}
{'短评内容': '店员很热情；房间布置的也挺温馨！唯一不好的是隔音太差，空调也漏水；翻过来思考下毕竟是旅馆不可能和星级酒店比！希望老板慢慢改进吧！', '短评打分': 3}
{'短评内容': '这次住的很开心！ 宾馆的房间虽然不大甚至说有点小，但是布置很精致用心，又温馨又好看！房间干净卫生，附送的洗漱用品等都看得出不是敷衍。总是很满意，以后都想选择这家宾馆！', '短评打分': 5}
{'短评内容': '还可以吧，就是房间小了点 离机场不是很远', '短评打分': 5}
{'短评内容': '跟机场很近，周边环境不错，出行跟吃饭都很方便，前台服务很热情，早餐单调点，但是味道不错。下次去青岛还会选择宜家。', '短评打分': 5}
{'短评内容': '很值，晚班机和早班机很好的选择。住了两晚，服务也很好，有机会还会选择这家。', '短评打分': 5}
{'短评内容': ' 离飞机场很近  不错', '短评打分': 3}
{'短评内容': '设施还是不错的，比较温馨，空间不是很大，卫生还可以，就是卫生间的味道大了点', '短评打分': 5}
{'短评内容': '离机场不远，打车的话起步价，门口的士也不少，步行到机场的话有点远。我们住的家庭房，床挺大的，房间也挺大，就是厕所有点异味。免费的洗漱用品也不错，100多的价格还带早餐，真的性价比很高了。房间蚊子有点多，要记得点蚊香。', '短评打分': 5}
{'短评内容': '房间干净整齐，井井有条，服务态度比较好，如果有想住机场附近，是个不错的选择！', '短评打分': 5}
{'短评内容': '空间局促，周边环境尚可，距离车站机场较近，最讨厌的是没有饮用水', '短评打分': 5}
{'短评内容': '店家态度很好.房间也不错,只是热水器小了一点', '短评打分': 5}
{'短评内容': '用佳木的话说老板娘很nice，我感觉也不错。我们定的大床房后来只有标准间了，不过还挺好，有电脑可以上网。不错，继续做好！', '短评打分': 5}
{'短评内容': '服务态度不错。电视不错。房间环境还好，性价比不错。', '短评打分': 5}
{'短评内容': '房间小、干净、服务态度好。', '短评打分': 3}
{'短评内容': '还不错，离机场很近，环境也比较好，只是房间真的很小', '短评打分': 5}
{'短评内容': '设计很温馨。。 主要是厕所的味比较大。。。', '短评打分': 5}
{'短评内容': '从门厅到房间都很新，床品也很好，还备了牙具，不过为了支持环保我们没用。\n空调比较给力。洗脸池很可爱，老婆喜欢。淋浴也很好。\n卫生间的味道有些大，希望能想办法改善。', '短评打分': 5}
{'短评内容': '前天住了该酒店很好。里机场很近，感觉车一起步就到了，到了酒店服务也很热情，好像也是连锁。房间干净很时尚，虽然房间稍小了点，但感觉温馨，电视能收70多个台呢！值得一提的是房间洗刷用品是超市卖的那种，还免费！这个价格这种配置超值，下次去青岛还住这里！', '短评打分': 5}
{'短评内容': '和门市价一样，房间有些小', '短评打分': 3}
