{'短评内容': '顺利入住，环境、卫生均不错', '短评打分': 3}
{'短评内容': '环境不错，交通方便。 环境不错，交通方便', '短评打分': 5}
{'短评内容': '房间比想象中的大，比较干净，沐浴露和洗发精是二合一的，也是看了之前的评论就自己提前准备了。地理位置很好，步行5分钟就到步行街了，晚上那里有大排档，东西很好吃，感觉比武汉的要辣。酒店没有停车场，要停在斜对面的儿童公园里，10元一天，酒店给报销。', '短评打分': 5}
{'短评内容': '价格不错，环境一般，服务不错，硬件一般', '短评打分': 3}
{'短评内容': '房间的装修比较精致，就是空间稍小，浴室只有洗发水，没有沐浴露，作为汽车旅馆还是可以入住的！', '短评打分': 5}
{'短评内容': '硬件比较满意，就是沐浴露，和洗发露都没有了。最不能忍受的是隔音太差，对面的电视声不绝于耳，一直放了一个晚上。就像在旁边放电视一样，让人抓狂。', '短评打分': 5}
{'短评内容': '环境是可以，就是房间隔音效果特别差，隔壁晚上嘿咻弄得我无心睡眠，还有楼上有老鼠跑来跑去，很恶心，服务员也太她娘的没有礼貌，', '短评打分': 1}
{'短评内容': '浅绿色的装修，很温馨，地段也不错，在市区 ，', '短评打分': 5}
{'短评内容': '还不错，就是洗手间里的洗发水和沐浴露没有了。 早知道就自己准备了。', '短评打分': 5}
{'短评内容': '不错。位置好，价格合适，设备也不错。就是停车位不太理想，和店名不服。', '短评打分': 3}
{'短评内容': '实惠 划算 位置不错 有吃的 有超市 有公园逛 很不错 楼下附近的理发店不要去宰死人的', '短评打分': 5}
{'短评内容': '住过很多次了，主要是感觉离市区近，其他没有什么。服务不怎么到位有待很大的提高，隔音也很差，有时候隔壁打牌都能听见很吵，房间设施简陋陈旧，如果只是住一晚上还是可以考虑的。', '短评打分': 5}
{'短评内容': '房间不错 干净', '短评打分': 3}
{'短评内容': '一家快捷酒店，基本上还可以，但员工素质还与如家', '短评打分': 5}
{'短评内容': '环境很不错，市区交通方便！如果要看长江的话，只需要步行20分钟就可以到达！', '短评打分': 5}
{'短评内容': '房间设施不够那么齐全。\n环境还是有点吵，毕竟在马路旁边。\n以后去会发现其实还有很多很多酒店可以选择。', '短评打分': 1}
{'短评内容': '酒店干净。。服务态度还不错，就是有点慢。住的其中间房空调有问题。', '短评打分': 3}
{'短评内容': '房间不错，就是下水道有点堵，交通方便。可以', '短评打分': 5}
{'短评内容': '方便，购物及逛街，下次有事去那儿还住那~~~~', '短评打分': 5}
{'短评内容': '一家快捷酒店，基本上还可以，但员工素质还与如家，7天比有一些差距。', '短评打分': 5}
{'短评内容': '太吵咯，酒店环境也一般，没什么性价比，下次换一家。', '短评打分': 1}
{'短评内容': '服务很好，周到热情，而且还有叫醒服务，很不错，房间硬件设施很齐全，卫生打扫的很及时，住着蛮放心的', '短评打分': 5}
{'短评内容': '总体感觉不错，值得入住，下次还来，会介绍给朋友', '短评打分': 1}
{'短评内容': '有点吵，性价比不是太高，下次看看有没有别的选择', '短评打分': 5}
{'短评内容': '酒店地处市中心，出行还是挺方便的，房间整理的很干净，硬件设施齐全，服务到位，住宿环境很好', '短评打分': 5}
{'短评内容': '住的情况还可以，只是充它汽车酒店之名而去的，但停车的地太小了些。', '短评打分': 5}
{'短评内容': '酒店的位置相当好，楼下就是开张不久的武商量贩超级生活馆；马路斜对面是宜昌市内最大的公园--儿童公园，适合散步休闲；酒店离夷陵广场、CBD、中山路步行街等商圈都很近，步行时间都在15分钟以内；步行到火车站也只要10来分钟；酒店2楼有宾乐西餐厅（LOGO乍看像星巴克，呵呵），一楼和马路对面都有面包房，旁边的隆康路上有经济小炒，对面的珍珠路上也有。哦，对了，酒店紧挨即将开张的宜昌华美达~', '短评打分': 5}
{'短评内容': '酒店位置不错，去火车站、长途车站和沃尔玛超市以及夷陵广场都很方便，基本都可以步行的。周围公交车也多，就是吃早点的地方少了些。服务人员态度还可以，房间虽不大，但能接受，比较干净。价格也适中。', '短评打分': 5}
{'短评内容': '没有服务生来房间打扫.我住了两天都没有人来过,这点令我很不满意,服务还是不到位,位置还行挺方便出行的,整体感觉还不错.', '短评打分': 5}
{'短评内容': '市中心，环境尚可', '短评打分': 5}
{'短评内容': '洁净舒适，方便快捷。性价比很高的连锁酒店。', '短评打分': 5}
{'短评内容': '位置还好，价格服务都还不错。房间也挺干净的，设施也还不错感觉还可以。', '短评打分': 5}
{'短评内容': '不知为什么我写评论时窗口没有显示推荐不推荐这一项，发表后就推荐入住了，其实我想选不推荐入住的', '短评打分': 3}
{'短评内容': '这次特地要了一间在电梯旁的独立单间，服务员说这是最安静的房间。除了进出电梯的客人有时比较嘈，的确比较安静', '短评打分': 3}
{'短评内容': '房间隔音效果差，整晚听到隔壁女人的高跟鞋噪音；空调漏水，每隔10分钟就滴一滴在枕头上，第二天打电话到总台反映，开起说不可能，后来说没办法。。。？！', '短评打分': 5}
{'短评内容': '酒店环境很好服务也很好,位置在市中心出行很方便,住着很舒适,性价比非常好,对这家酒店还是很满意的.', '短评打分': 5}
