{'短评内容': '酒店设施很好，服务到位。距离地铁大概一公里。因为是新区，人比较少。房间升级了，空间大，很方便舒服!推荐！', '短评打分': 5}
{'短评内容': '设施完善，性价比高，服务周到，位置还算可以，离会展中心比较近，离市区的景点相对远一些，胜在安静，总体不错。', '短评打分': 5}
{'短评内容': '很满意 下次继续', '短评打分': 5}
{'短评内容': '很满意 下次继续', '短评打分': 5}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '非常豪华的酒店，这样的价格算不错了。', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '就是隔音效果不好', '短评打分': 5}
{'短评内容': '酒店不错 就是偏了点', '短评打分': 5}
{'短评内容': '我朋友说其他都很好就是卫生间的灯坏的', '短评打分': 4}
{'短评内容': '服务态度好，环境也不错', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '去宁波院，宁波国事唯一选择，早餐偏贵', '短评打分': 5}
{'短评内容': '去国事办事唯一选择，早餐太贵了', '短评打分': 5}
{'短评内容': '交通方便，出行很顺畅。环境安静优雅，卫生一流，服务周到，房间设施齐全，新。值得推荐，性价比超好，下次还来。', '短评打分': 5}
{'短评内容': '这个酒店很不错，出差比较方便', '短评打分': 5}
{'短评内容': '环境可以，房间设施也不错，整体感觉还是不错的', '短评打分': 4}
{'短评内容': '新装修的酒店，服务好！设施一流，值得推荐', '短评打分': 5}
{'短评内容': '很热情，服务很周到，就是外围在施工，早上很吵．\n', '短评打分': 5}
{'短评内容': '很好！值！', '短评打分': 3}
