{'短评内容': '不是三星级的  是在另一栋楼   很一般', '短评打分': 5}
{'短评内容': '房间干净 位置优越 距离地铁口很近 方便出行', '短评打分': 5}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '都不错太棒了', '短评打分': 5}
{'短评内容': '都没做卫生', '短评打分': 5}
{'短评内容': '有早餐 环境还可以', '短评打分': 5}
{'短评内容': '有自己的停车场，环境也干净，洗澡的水很暖和，空调打开也不冷了，唯一就是没有衣柜，只有挂在墙上的衣架。', '短评打分': 5}
{'短评内容': '位置好，交通便利，距离地铁站特别的近，附近美事特别的多，环境优美，房间干净卫生，性价比特别高，以后还会选择', '短评打分': 5}
{'短评内容': '再次住这边，要了9楼，高层不会被吵到，网速很快，早餐一般，豆腐脑蛮好听滴，天气有点冷，相对来说北平更冷一点吧。能开增值税专票，省却了被财务盯。', '短评打分': 4}
{'短评内容': '在京东定他家的房型不好呢，阴面房间还小', '短评打分': 5}
{'短评内容': '一搬搬，，，', '短评打分': 2}
{'短评内容': '设施不错，价格低廉，主要是还能订到房就不错了，周末太费劲了！总体还是不错的', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '京东PLUS会员，年均消费5万以上，还得让我评论，根本评论不过来。', '短评打分': 5}
{'短评内容': '京东PLUS会员，年均消费5万以上，还得让我评论，根本评论不过来。', '短评打分': 5}
{'短评内容': '没什么好说的没什么好说的没什么好说的没什么好说的没什么好说的没什么好说的没什么好说的没什么好说的没什么好说的没什么好说的', '短评打分': 5}
{'短评内容': '挺好的，就是隔音比较，，，外面服务人员路过对讲机的声音很吵。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '房间很不错，三星的，干净，正规', '短评打分': 5}
{'短评内容': '酒店还算是经济实惠，在居民区附近，出行比较方便，但毕竟是老店，设施，服务都有些差，如果不是很挑剔的朋友，我觉得你会满意的～酒店提供大桶水呦～', '短评打分': 5}
{'短评内容': '一直住这，还不错的，周围吃饭也很方便', '短评打分': 5}
{'短评内容': '不多说，low的不行，破旧就算了，关键前台服务员的态度实在太差了', '短评打分': 2}
{'短评内容': '挺干净的，不错', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '干净整洁，设施齐全，楼下渝湘江南很好吃', '短评打分': 5}
{'短评内容': '酒店比较悠久了，地理位置还行。早餐不错推荐，这次也是因为别的酒店没有订上，携程给推荐的。性价比还可以！', '短评打分': 4}
{'短评内容': '很满意，干净。性价比高。交通便利。', '短评打分': 4}
{'短评内容': '十分便利', '短评打分': 5}
{'短评内容': '酒店比较旧，房间地毯较脏，不过房间很安静，短期住还可以', '短评打分': 3}
{'短评内容': '有点旧。不过交通很便利。还好吧', '短评打分': 3}
{'短评内容': '不满意已换主楼', '短评打分': 3}
{'短评内容': '设施还可以，空调很好，位置很容易找，只是早餐不太好', '短评打分': 5}
{'短评内容': '前台服务人员明显是生手\n退房时间太慢\n房间的装修还可以\n网速快', '短评打分': 5}
{'短评内容': '酒店位置很好，离繁华区很近，附近步行5分钟有地铁，不错\n但是房间好像比较老旧，是90年代的装修风格，不过隔音较好，都是两层窗户\n第一次入住，总体感觉挺好\n去天津西站，是不错的选择', '短评打分': 5}
{'短评内容': '很破旧了，也不装修，太次了啊，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '实在现在是太次了，下水堵塞，墙壁脱落，并且有蟑螂，下次再也不住了，，，，，，，，，，', '短评打分': 1}
{'短评内容': '非常好，地理位置不错下回还订那里，服务也不错', '短评打分': 5}
{'短评内容': '是星程连锁店，标准大床房，房价260，早餐简单，房间地毯新，淋浴喷头漏水，喷到铝扣板上。', '短评打分': 3}
{'短评内容': '房型与网上不太一样，不过，前台给升了级，升级后的房间还不错。', '短评打分': 5}
{'短评内容': '还好吧，因为帮父母订的，自己没有去，听他们说还好。', '短评打分': 5}
{'短评内容': '春节入住，还是很不错了，酒店送了饺子并且给了二次，值得表扬，但是酒店设施真的需要装修了，实在是太老了，。希望酒店马上改造吧，把地毯和房间的设备等等都更新下，这样才会有更多的新老顾客光顾。。。。。。', '短评打分': 5}
{'短评内容': '我认为这家店的三人间是不能住的，以经脱离了酒店的主楼，阴冷，服务质量次，尤其让他拿来的毛毯居然沾满了头发。', '短评打分': 1}
{'短评内容': '酒店干净整洁，服务态度也不错，感觉挺好，就是窗户有些漏风，', '短评打分': 3}
{'短评内容': '挺泡人的 来到这前台说没有我的订单信息 打过客服后才得到解决 结果还给我安排了个北楼客房 感觉不是很好 ', '短评打分': 1}
{'短评内容': '住过好多次了，真的很不错！就是偶尔会见到小强！', '短评打分': 5}
{'短评内容': '房间还可以！', '短评打分': 3}
{'短评内容': '多次入住了，非常的好！值得推荐！!!!!!!!', '短评打分': 5}
{'短评内容': '地理位置不可以，服务不理想，房间内纯净水都没放，问服务员说忘了，太差劲，提前退房，换别的地方', '短评打分': 1}
{'短评内容': '地理位置还可以，服务不是很好，房间内卫生用品不全，提前退房', '短评打分': 1}
{'短评内容': '一分钱一分货，。，，，，花多少钱你享受多少钱的房子', '短评打分': 5}
{'短评内容': '哪都不错，就是没有空调，有点冷，还有就是天津的水质太差了！！！', '短评打分': 5}
{'短评内容': '入住不错', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间标价不清楚,价位与房型对应混乱', '短评打分': 3}
{'短评内容': '房间旧了，厕所有蟑螂，其他还可以', '短评打分': 3}
{'短评内容': '环境很好很满意 打算以后去津就去住', '短评打分': 3}
{'短评内容': '位置挺好，挺干净，就是内部装修有点陈旧。', '短评打分': 5}
{'短评内容': '天津双鹿价格合适地理位置优越', '短评打分': 3}
{'短评内容': '酒店设施很一般，一进去就有扑鼻的霉味。电视很破很不清楚，收看不了几个台。好处就是酒店位置还不错。从火车站打车到那也就8元钱吧。', '短评打分': 1}
{'短评内容': '5楼的房间挺好的，装修挺特别的。\n就是打扫卫生的不太友好。', '短评打分': 5}
{'短评内容': '位置不错，但里面设备太老旧了。需要更新，同时服务一般。整体来说性价比可以。', '短评打分': 5}
{'短评内容': '住的标准间，整体感觉比较不错，卫生条件不错，价格比快捷酒店稍稍偏高，但也正常，服务人员态度不错，周围的交通比较便利，公交打车都比较方便。', '短评打分': 5}
{'短评内容': '环境很好，服务周到，只是我住的房间不含早餐挺麻烦的～', '短评打分': 3}
{'短评内容': '酒店三星级，但我住的是180经济房，但是整体来说不是那么满意。房间整洁度还算是凑合，但卫生间感觉不是那么干净，还有就是在房间发现蟑螂！电视非常小，遥控器居然串台！晕了！', '短评打分': 1}
{'短评内容': '看着大堂环境不错,还说是三星,就入住了.结果发现被带到北楼,狭窄的小通道.环境不好,没有服务员,房间布置很陈旧,还有小强.', '短评打分': 1}
{'短评内容': '酒店表面一般，入住后更是一般，酒店的房门坏了，橱柜坏了，电源开关不通电。热水不够热，服务员有待热情，早餐出奇的一般。环境有待改善。', '短评打分': 1}
{'短评内容': '我住的是副楼 三人间 价格嘛就还可以\n里面设施其实是比较陈旧的\n不过交通方便还可以免费停车\n房间不小 比较适合 差旅', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
