{'descr': '环境还不错', 'star': 4}
{'descr': '如家快捷酒店（江阴步行街虹桥南路店）位于江阴市中心虹桥南路旁，紧临最繁华的购物美食一条街——步行街，华联商厦、国际购物中心、华地百货、中影星美影城、三元坊美食城等商贸中心近在咫尺，环境优越，交通方便，属于经济实惠型酒店。', 'star': 5}
{'descr': '干净卫生，舒适安全！地理位置热闹繁华！市中心商业街，小吃店，方便逛商场，吃小吃，夜市，服务态度很好！上网速度1！', 'star': 5}
{'descr': '地理位置优越', 'star': 4}
{'descr': '位置方便', 'star': 5}
{'descr': '外面建设 有点闹', 'star': 4}
{'descr': '不错 房间很干净 很舒服', 'star': 5}
{'descr': '离市中心较近', 'star': 5}
{'descr': '卫生差，隔音不好', 'star': 3}
{'descr': '前台服务员等我很久，服务态度不错，给予肯定。但是，床垫凹进去了一部分，床单底下是扩散的物资，枕头上面有血迹。。给我留下极差的体验。讲真，每次来江阴我都住这家如家，但是这次以后，我不会再来住了。如家是经济型酒店，我知道要求不能太高，但是基本的卫生条件都未有达标，又怎么对得起全国连锁的名号呢？', 'star': 3}
{'descr': '帮朋友订的房间，朋友非常满意，酒店干净，环境也很好，离小吃街不远，公交车站不远的位置，出行方便，非常安静！', 'star': 5}
{'descr': '房间可以的，性价比高，地理环境也不错。。。。。。。。。。。。。。。。。。。。。。。可以到处转转，环境一般', 'star': 5}
{'descr': '连锁酒店都是一样的，基本上都没有什么好说的', 'star': 4}
{'descr': '挺不错的，地理位置好，环境也不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间的卫生还是需要多多努力的啊，其他还好', 'star': 5}
{'descr': '房间有点小', 'star': 4}
{'descr': '内部装修还是如家一贯的风格，位置较好，就在步行街头、美食街旁，属市中心', 'star': 5}
{'descr': '地理位置好，没什么特别优的，也不是特别差……正常一般。', 'star': 5}
{'descr': '地理环境优越，就在市中心，出口逛个街，吃饭什么的都很方便……前台速度慢，住过几次一直慢……', 'star': 5}
{'descr': '房間較小，不是很乾淨', 'star': 3}
{'descr': '环境还可以，就是房间有点小', 'star': 3}
{'descr': '隔音不好，价格不错，位置很好。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错 服务态度也很好，出行也方便，不错 可以推荐，出差住宿的好地方。', 'star': 5}
{'descr': '不错，青果路的店，交通很便利。吃饭也很方便', 'star': 5}
{'descr': '闹市区的一家快捷酒店，比较方便，但美中不足的是没有停车位。', 'star': 5}
{'descr': '太吵、算是干净的酒店。隔音效果不敢恭维。。。。。。。。。。', 'star': 5}
{'descr': '到达江阴已经晚上了，工作一天很累，刚好在如家附近，就入住，住进去后发现无法上网，工作人员上来对我的电脑搞来搞去的，其实我的电脑是自动接收IP地址的，我告诉工作人员是酒店的服务器问题，他还不相信，在我的催促下他才去拔了电源重新启动，才可以上网，好郁闷！', 'star': 1}
{'descr': '还不错,在闹市区,交通比较方便，就是隔音效果差些 ', 'star': 5}
{'descr': '地理位置很好，买东西什么的都方便，不过繁华的地方总会很吵', 'star': 5}
{'descr': '服务很周到....................................', 'star': 5}
{'descr': '怎么说呢，地理位置很好，买东西什么的都方便，不过繁华的地方总会很吵，酒店的隔音效果不是很好，我隔壁看电视我都可以听到。比较吵！', 'star': 5}
{'descr': '房间太小了 房间类型太少  其他还行吧 交通比较方便', 'star': 5}
{'descr': '每次都会入住，位置非常好，吃饭购物很方便，价格也合理', 'star': 5}
{'descr': '还行，出门挺方便的。帮同学订的，都还挺满意。', 'star': 5}
{'descr': '很干净，设施还算不错  出入方便 周边美食很多', 'star': 5}
{'descr': '不错，第二次住了，出入非常方便，就在步行街旁', 'star': 5}
{'descr': '店里的pos机不好用  我在别的地方都可以用的卡 在这里就没法用 而且服务员爱搭理不理的   很没劲儿', 'star': 1}
{'descr': '地理位置好 ，在市中心，价位合理，购物用餐都很方便', 'star': 5}
{'descr': '很好很舒适', 'star': 3}
{'descr': '经济型酒店 性价比高  适合出差 就是隔音效果不好', 'star': 5}
{'descr': '房间的装修还可以和一般的如家都差不多，价格是还可以，位置还是挺好找的。', 'star': 5}
{'descr': '酒店位於步行街,購物吃東西十分方便,酒店環境很好!', 'star': 5}
{'descr': '地理位置不错离市中心非常近，\u3000酒店业蛮干净的。\u3000值得一住', 'star': 5}
{'descr': '还不错的，各方面都很好，就是隔音效果不好', 'star': 5}
{'descr': '感觉没有原来好了，新店需要保持！', 'star': 3}
{'descr': '房间装修也是简单还是挺干净也不是太大，服务态度还行，价格也就一般。位置很好就在市中心挨着公园挨着步行街。', 'star': 3}
{'descr': '青果路店第一次住，除了房间小点 其他都不错', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '不错，服务态度很好。房间干净整洁，住的很愉快，下次还会光临的。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '地理位置不错,别的设施和一般的经济型酒店没什么差别.', 'star': 5}
{'descr': '住的是商务大床房，感觉有点挤，不过离步行街比较近，整体还行', 'star': 5}
{'descr': '环境不错，态度尚可，卫生间太小，隔音不好。', 'star': 3}
{'descr': '优点：房间比较干净，床铺很舒适；缺点：卫生间较小，隔音一般。', 'star': 5}
