{'短评内容': '乐乐乐乐乐乐乐乐乐乐乐乐乐乐', '短评打分': 1}
{'短评内容': '不怎么满意！', '短评打分': 5}
{'短评内容': '可以可以可以可以可以可以可以', '短评打分': 5}
{'短评内容': '房间后面在施工总的来说还挺好服务待提高', '短评打分': 3}
{'短评内容': '房间有点小，到店价比携程便宜', '短评打分': 5}
{'短评内容': '好好学习了没事了我不要了', '短评打分': 5}
{'短评内容': '酒店介绍的页面图片不够详细，所以一开始预定的是230的标准房，住进去以后很失望，房间小，铺的木地板已裂口（即便不裂口个人也不喜欢）。第二天咨询了前台才知道有257的豪华标准房，看了房以后果断换了。只贵了27元，房间大了很多，地毯床具都比较新且干净。自助早餐说不上十分丰富也算可以了。酒店周围环境一般，交通较方便，小餐馆也较多。除了入住的第一晚总体比较满意。', '短评打分': 5}
{'短评内容': '酒店设施还不错，靠近轻轨站是最大的优点。缺点是没有电梯，搬行李很不方便。打扫的时间比较晚，有一天下午四点回酒店，竟然还在打扫！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '不错，房间舒适，安静，重新装修过，风格也很适宜商务。', '短评打分': 5}
{'短评内容': '还不错，B楼较新，装修较现代化，', '短评打分': 3}
{'短评内容': '整体还行，服务及时性需改善，最大的短板是房间没有大灯，不方便', '短评打分': 5}
{'短评内容': '交通便利、服务质量及硬件设施都还好！早餐也不错。', '短评打分': 3}
{'短评内容': '房间有点小；但卫生质量还可以，服务态度较好，早餐很丰富。', '短评打分': 5}
