{'短评内容': '房间有点拥挤。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '无早餐，网络信号一般', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '有停车场。位置不错。', '短评打分': 5}
{'短评内容': '有停车场，位置还行。', '短评打分': 5}
{'短评内容': '不值', '短评打分': 5}
{'短评内容': '邦朋友订的，她说还很满意，太棒了，再写33个了就可以获得30积分！', '短评打分': 5}
{'短评内容': '交通便利，附近环境不错，吃饭方便，服务态度很好！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比高！', '短评打分': 5}
{'短评内容': '还不错，周围也比较方便，三四楼有比较好的休闲，养生等', '短评打分': 5}
{'短评内容': '哈可以', '短评打分': 5}
{'短评内容': '好啊', '短评打分': 5}
{'短评内容': '周边修地铁较吵。酒店设施有点老旧。', '短评打分': 3}
{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '出差就来的地方，条件还是不错的，可惜没有早点', '短评打分': 5}
{'短评内容': '还可以，环境不错。在星沙办事还是很方面在这。。。', '短评打分': 5}
{'短评内容': '酒店从格局上还是不错的，家具比较新，跟隔壁的广圣很像，少了体重秤，卫生间没有电话，卫生打扫上没有广圣好，我刚入住的时候沙发上竟然还有用过的卫生纸，桌子上还有垃圾，电水壶里还有不知道放了多久的水，广圣每天在打扫房间的时候会帮你把杯子里电水壶里的水全部倒掉，衣服帮你叠好，但这里都不会，房间隔音效果很差，楼下的KTV很吵，晚上来来往往的人超级多，但是价格上同类房型比广圣便宜60左右。', '短评打分': 1}
{'短评内容': '房间干净，有电脑网络，价格合理，有一定的性价比', '短评打分': 3}
{'短评内容': '1、房间比较大，室外也很安静。\n2、只是对面为邮政局物流中心，晚上出行不太方便，基本很难打到的士。\n3、酒店网速较慢，pps很难顺畅播放。\n4、酒店服务员态度很好。\n5、酒店不提供一次性用品，要另外花钱买，比较贵。', '短评打分': 5}
{'短评内容': '感觉一般，没啥印象。\n\n长沙的士不厚道，出机场时绕道！；去机场时谈价！', '短评打分': 1}
