{'descr': '不错。环境好。隔音好。干净卫生。', 'star': 5}
{'descr': '这个很棒', 'star': 5}
{'descr': '离地铁距离有点远！', 'star': 4}
{'descr': '楼道有味道。其他还不错。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '这个服务好', 'star': 5}
{'descr': '干净卫生，服务态度好', 'star': 5}
{'descr': '不好，走廊特别味儿。里面的卫生也特差', 'star': 2}
{'descr': '有蚊子没毛巾，哪家酒店就一浴巾啊？早上起来电脑上一只钱串子，洗手台全是霉斑，WIFI根本不能用。再也不来了，差死了，床角以前的人扔的烟头，住了两天还在，打扫的都是闭着眼吗？', 'star': 1}
{'descr': '非常好实惠', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '性价比高，环境还行', 'star': 5}
{'descr': '服务态度好，就是离市中心远', 'star': 3}
{'descr': '还行吧，房间有点挤', 'star': 4}
