{'短评内容': '都很不错，物有所值！下次来还是选择你！', '短评打分': 5}
{'短评内容': '住得很舒适，服务也很热情，超值！', '短评打分': 5}
{'短评内容': '很好啊。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店环境可以很满意', '短评打分': 5}
{'短评内容': '喜欢喜欢喜欢喜欢喜欢喜欢喜欢', '短评打分': 5}
{'短评内容': '前台服务好 地址也方便去周边景点游玩\n价格也很优惠 房间也够大 舒适', '短评打分': 5}
{'短评内容': '早来了，被分到的房间小啊！看到对面的大房间就心痒！不过还是有点小情调滴…但这不是重要滴，重点是网速原来是只乌龟，叫我这只老兔子怎能按耐得住呢？还好，酒店提供多个全开放免密码的账号让你自由链接选择，结果发现原来都是一窝乌龟…太可爱了', '短评打分': 4}
{'短评内容': '总体还可以，说的过去', '短评打分': 5}
{'短评内容': '快捷型吧，也还行', '短评打分': 3}
{'短评内容': '早餐还可以，住1楼，房间不到15平方吧，一床一个沙发椅一个卫生间，空间不够宽广，刚进去有异味，没有洗衣机冰箱和阳台，凑合着住一晚', '短评打分': 4}
{'短评内容': '环境不错。交通便利', '短评打分': 5}
{'短评内容': '停电怎么办？', '短评打分': 2}
{'短评内容': '酒店提供的早餐，挺丰富的，还可以现炒。', '短评打分': 5}
{'短评内容': '高大上的房间，喜欢。', '短评打分': 5}
{'短评内容': '酒店的免费送的美宝莲洁面膏和潘婷护发素，炒鸡棒。', '短评打分': 5}
{'短评内容': '酒店位置离各个景点较近，交通便利，房间的装修风格也是挺温馨的，大厅的水果也是免费给客人吃的，强烈推荐。', '短评打分': 5}
{'短评内容': '服务佳，我住的是商务电脑房，非常好，床够大，我们三女生可以睡在一起！', '短评打分': 5}
{'短评内容': '房间很精致，隔音不是很好。半夜各种声音。房间很精致，隔音不是很好。半夜各种声音', '短评打分': 1}
{'短评内容': '很温馨，很浪漫！靠近商业街，方便购物！下次还会住！', '短评打分': 5}
{'短评内容': '不错，就是房间小，隔音非常差', '短评打分': 3}
{'短评内容': '都不错，就是小了点', '短评打分': 3}
{'短评内容': '交通还可以。有公交站。早晨出租车不是很好搭。可能高峰吧！房间OK啦，就是跑累了休息可以的。', '短评打分': 5}
{'短评内容': '旁边麦当劳，过马路有市场。买吃的方便。就是行李的斜坡位置不是很理想。', '短评打分': 5}
{'短评内容': '服务员都很有礼貌，亲切。说话口气很和善，不像有的酒店爱理不理的。', '短评打分': 5}
{'短评内容': '各方面都不错，就是精致大床房的电视机比较小。早餐还比较实惠的。', '短评打分': 5}
{'短评内容': '总体来说不错, 卫生间够大, 房间设计也不错, 上网方便有网线, 不过位置得仔细找一下.\n厦门的交通很堵, 也许是我赶上下班点了, 从火车站到这, 坐9路用了一个小时,但是到了之后就好找了, 在麦当劳后面.', '短评打分': 5}
{'短评内容': '休息可以的。就是没桌子。不过有线无线都有还是比较方便的。', '短评打分': 5}
{'短评内容': '＋酒店挺干净＇温馨！美中不足是房间不大！', '短评打分': 3}
{'短评内容': '住着还算温馨。没什么特别好，也没什么特别不好。', '短评打分': 5}
{'短评内容': '很干净很舒服的房间，下次再去', '短评打分': 3}
{'短评内容': '房间布置的挺温馨的，特色是其中一面墙是手绘的图，很简单但是感觉很舒服，房间也比较干净，店员服务态度也不错', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务较好，装修富有特色，客房温馨很有情调；有专门停车场，停车方便；周边生活便利，餐饮娱乐到处都是。', '短评打分': 5}
{'短评内容': '青年阳光酒店不错呢，下次我还住', '短评打分': 3}
{'短评内容': ' 房间小巧干净，性价比很高，周围小吃很多，推荐。', '短评打分': 3}
{'短评内容': '比较干净，安静，交通方便，服务员比较客气！喜欢哦！', '短评打分': 5}
{'短评内容': '不错，环境好，交通也比较便利。来厦门一般都住他们的连锁酒店', '短评打分': 5}
{'短评内容': '小旧 特别是装修有点吵 照片和真实差距较大 不推荐', '短评打分': 1}
{'短评内容': '服务可以，客房太小。', '短评打分': 3}
{'短评内容': '国庆节去的，比平时贵了100大洋，卫生环境不错，房间小了点，洗手间大小快和房间差不多了。周边交通方便。住的一楼，房间里可以清楚听到前台的声音，晚上有别的住客回来有点吵。', '短评打分': 5}
{'短评内容': '环境挺好的！价格也不贵，周边挺安静的！！！！！', '短评打分': 5}
{'短评内容': '很好，很精致，服务也不错，就是早餐差了点。前台也很热情。', '短评打分': 5}
{'短评内容': '酒店很不错，房间很精致，门口就是麦当劳，KFC,服务员多挺热情的。下次假如有机会还会来住。', '短评打分': 5}
{'短评内容': ' 房间不错', '短评打分': 3}
{'短评内容': 'Good hotel,good service', '短评打分': 5}
{'短评内容': '很不错，环境卫生很干净！就是价位有点高，最好带早餐。', '短评打分': 5}
{'短评内容': '不错的酒店,只是单间上网没有桌子,离机场很近!附近吃饭也比较方便!', '短评打分': 5}
{'短评内容': '基本还行吧，就是地毯不大干净，房间也不大。', '短评打分': 5}
{'短评内容': '该酒店的服务很好，卫生也很好，前台和经理非常的热情和认真，很好！', '短评打分': 5}
{'短评内容': '酒店離市心較遠, 房間也小, 不推薦. 如果不是因為它比較近機場和集美學校, 不會住.', '短评打分': 1}
{'短评内容': '周围找吃非常方便，交通也方便，我赶第二天很早的飞机，离机场不远。', '短评打分': 5}
{'短评内容': '位置不错，过年涨价100圆，不太地道。房间干净整洁，做旧的家具感觉不错。', '短评打分': 5}
{'短评内容': '厦门青年阳光酒店湖里店服务不错', '短评打分': 3}
{'短评内容': '楼顶的露天阳台非常帅。。。可惜现在天冷，否则会是一个纳凉喝啤酒的好地方～房间内也挺简约，稍微挤了点', '短评打分': 5}
{'短评内容': '，酒店的服务很好！设施也可以！就是大床房两个人送一份早餐不合理', '短评打分': 3}
{'短评内容': '旅店整体还是可以的，但是一条浴巾上有血渍，这个就有点过了，不过服务还是蛮好的，给我们详细提供了公交线路', '短评打分': 5}
{'短评内容': '比较小，但是经济又实惠，有点情调的小房间，周围快餐店，小吃街什么的都很全，主要是离机场还算近，打车十多块钱。主要是我十一去的，不好订房间。据前台小妹说，离集美近，但是轮渡加折腾也要一个小时~~这个无从考证。住的原因也是考虑离集美和机场都比较近的缘故。', '短评打分': 5}
{'短评内容': '周边交通比较方便，酒店服务也不错，每个房间的样子都不一样，比较有特色，长途市话免费不计时打，就是隔音不怎么好', '短评打分': 5}
{'短评内容': '环境不错，早餐有待改进。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店前台的态度非常好，让我觉得非常的满意。青年阳光，我和我老婆的最爱！', '短评打分': 5}
{'短评内容': '安静！总体表现比如家要好！网速特别，下载能达1M以上。', '短评打分': 5}
{'短评内容': '卫生，装修很好，很不错', '短评打分': 3}
{'短评内容': '前台服务人员的态度很好，房间虽然不大但是干净舒适，我住的房间可以看山景，不错。唯一不好的就是卫生间的门是透明的玻璃，2个人住一间就不方便了。。。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，虽然房间不大但是很舒适，下次还会入住！', '短评打分': 5}
{'短评内容': '非常好，各项条件和设施都很好', '短评打分': 3}
{'短评内容': '还不错，房间很温馨，就是有人送卡片，还敲门。', '短评打分': 5}
{'短评内容': '工作人员很热情  蛮好的', '短评打分': 5}
{'短评内容': '地理位置好,門口公共交通非常方便.就是經常有發黃色名片的老往房間塞應招名片,這點不好.', '短评打分': 5}
{'短评内容': '很满意 环境很好 卫生很好 服务很到位！', '短评打分': 3}
{'短评内容': ' 酒店服务不错，工作人员都挺nice。房间还算整洁舒服，布局比较合理。周边还有超市、小吃夜市街和直达码头的公交…下次考虑再来住。', '短评打分': 5}
{'短评内容': '环境不错 卫生条件好 总台服务态度蛮好的！', '短评打分': 3}
{'短评内容': '不错 很满意！', '短评打分': 5}
{'短评内容': '\n服务非常周到，很热情\n设施也不错', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '+非常满意', '短评打分': 5}
{'短评内容': '各方面对于一家快捷酒店来说都不错，比较安静，房内还能看山，特色大床房房间较大，不错。就是晚上有人来敲门，从门缝塞入不健康小卡片，这点应该注意监管。', '短评打分': 3}
{'短评内容': '商务什么的还是比较适合的，游客的话离景点是略远，可以选后滨店比较方便，特色大床房比较大，较舒服，设施也比较好。\n不足之处是晚上有人来敲门，没敢开，后来发现从门缝下塞进来一张色情小卡片，这方面的管理监控可能做得不够。', '短评打分': 3}
{'短评内容': '+优点：安静，服务不错，推荐特色大床房比较大，有吹风机，热水是锅炉的   缺点：离景区稍远', '短评打分': 5}
{'短评内容': '原本打算20号入住，但由于台风，所以提前一天从鼓浪屿上撤离，19号就入住了，卫生很好，服务人员的态度也不错，缺点是离市中心比较远，不过厦门本来就不大', '短评打分': 5}
{'短评内容': '房間比較小, 位置比較偏, 如果不是因為它離機場和集美較近, 不會選它. ', '短评打分': 1}
{'短评内容': '我已经住了很多次了，不错，就是早餐种类太少了，希望能改进些', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '我已经是多次入住这家酒店，个人觉得不错,下次还会继续选择', '短评打分': 3}
{'短评内容': '我已经是第四次入住青年阳光了，经济实惠，干净卫生', '短评打分': 5}
