{'descr': '早餐不用考虑附近一堆饭店，出门不到100米就是公交站，冬天强烈建议住靠南边的房间比较暖和。房间设施陈旧，都是隔板间，隔音不太好', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '还挺干净的', 'star': 5}
{'descr': '陈旧 服务一般 穷出差可以 价格也不低', 'star': 3}
{'descr': '还好还好', 'star': 3}
{'descr': '早餐还可以，不能加床，适合带孩子出行，位置去动物园，不过离地铁站远了点，有公交车到，总体来说还不错', 'star': 5}
{'descr': '离北京动物园真的很近，周围吃饭的地方也很多，交通便利，是去游动物园的不错选择', 'star': 5}
{'descr': '不怎么样  国庆还很贵4白+ 板房装修的', 'star': 5}
{'descr': '不错的 挺好的', 'star': 5}
{'descr': '不错的酒店，比较舒适。', 'star': 5}
{'descr': '服务热情', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '离海洋馆很近，交通也方便，不错的选择', 'star': 5}
{'descr': '角落里的酒店，这老板真会挑地方', 'star': 4}
{'descr': '门面小，停车位少，设施陈旧，周边环境一般', 'star': 3}
{'descr': '还不错，这个价钱连洗漱用品也不包含，也太抠了，标志也忒小了点，找了一个多小时找不到，不好的感受', 'star': 5}
{'descr': '服务很到位，晚上很安静', 'star': 5}
{'descr': '卫生还不错，设施简单但比较新', 'star': 5}
