{'短评内容': '酒店一般，', '短评打分': 4}
{'短评内容': '房间内设施老旧', '短评打分': 4}
{'短评内容': '办入住就等了半个多小时 ，房间很旧。电视也是坏的，马桶也是坏的 总之再不会去住了', '短评打分': 3}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '位置好，周边购物吃饭方便。对面有购物中心和大超市。房间大，卫生较好。窗户隔音不太好，比较吵。与周边酒店相比性价比高。', '短评打分': 4}
{'短评内容': '大环境好，装修比较旧！价格适中！无地方停车', '短评打分': 3}
{'短评内容': '酒店不错，前台王姓美女很不错，而且多送了一张小朋友的餐票', '短评打分': 5}
{'短评内容': '卫生太差 房间旧 真的不喜欢', '短评打分': 1}
{'短评内容': '周围很方便，离凯宾斯基酒店才一条马路', '短评打分': 3}
{'短评内容': '出行方便', '短评打分': 4}
{'短评内容': '地里位置相当不错，下次还住', '短评打分': 3}
{'短评内容': '在凯宾斯基后面，方便', '短评打分': 3}
{'短评内容': '房间挺干净的，布置的简单实用，购物美食都比较方便', '短评打分': 5}
{'短评内容': '房间还是蛮大的，当的起这个价钱，但是软件设施差的太远，远远不值这个价，感觉就像旅馆一样。营业员感觉好像也没经过专业培训，市话都要收0.7/分钟，不会再想住进这个酒店。', '短评打分': 1}
{'短评内容': '闹中取静.环境不错 服务态度好 干净 整洁', '短评打分': 5}
{'短评内容': '其实这酒店不是很新，设施方面也不是很好，给我感觉下次应该不会再次住入吧', '短评打分': 1}
{'短评内容': '交通便利，在小十字附近，附近有很多特色小吃，客房干净卫生，环境比较好', '短评打分': 5}
{'短评内容': '在市中心，火车站打车过去10元，坐车坐到大南门，走7分钟就到。旁边有亨特国际广场还有家乐福和面包新语，挺方便的。酒店2-11楼好像是政府的还是什么的，办公用的，一楼有旅行社和特产店，非常方便。房间很干净，视野也好，凭早餐卷吃早餐，有面、粉、鸡蛋、包子、稀饭什么的，不怎么好吃，但是肯定能吃饱。。。总体很满意', '短评打分': 5}
{'短评内容': '还行。。。。。希望下次再入住！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店一般，服务太差，要个枕头打了三四次电话，拿来的尽然是枕芯，没有枕套的枕头看上很脏，心里很不舒服，我也不会在住那里了。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位置有点难找,问了很多人都不知道.不过酒店服务和早餐都可以.', '短评打分': 3}
{'短评内容': '酒店设施实在陈旧，下水道堵塞，网络不通，墙壁上的开关盒也是坏的，虽然住在十二楼也吵的没法睡觉，只住了一天就逃离了，不会再去入住。', '短评打分': 1}
{'短评内容': '贵阳逸都酒店该酒店地处贵阳繁华地段，交通便利，只是价格有点高，别人容易选择价位低的快捷酒店 \n', '短评打分': 5}
{'短评内容': '该酒店地处贵阳繁华地段，交通便利，只是价格有点高，别人容易选择价位低的快捷酒店', '短评打分': 5}
{'短评内容': '房间空间还成，布局挺合理的，卫生打扫的很好，整体感觉还不错。', '短评打分': 5}
{'短评内容': '环境还不错，干净安静，住的挺舒适的。', '短评打分': 5}
{'短评内容': '我对酒店卫生方面很满意，房间打扫的很好，床上用品都很干净，卫生间也没什么异味，卫生方面可以给5分。', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺周到的，房间里干净舒适，住的挺满意的。', '短评打分': 5}
{'短评内容': '还凑合,房间挺大，但虽然在十九楼，外面的噪音还是挺大的，感觉整个城市都是嗡嗡的', '短评打分': 3}
{'短评内容': '虽然在19楼，还是挺吵得', '短评打分': 1}
{'短评内容': '这家酒店的卫生搞的不错，床上用品看着挺干净，卫生间也挺干净的，让人挺放心的。', '短评打分': 5}
{'短评内容': '周边环境比较安静，内部环境比较干净，睡眠质量还不错。', '短评打分': 5}
{'短评内容': '感觉空间挺大的，卫生很干净，设施一般，住的还是比较舒适的。', '短评打分': 5}
{'短评内容': '在市中心，位置很好，出行是很方便的，房间的卫生和设施都还不错，服务也可以，性价比还是比较高的', '短评打分': 3}
{'短评内容': '床比较舒服，有日式的和中式的两种选择。地段好，出行方便。房间里开关太多，有时候会找不到。', '短评打分': 5}
