{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '照片是酒店房间里拍的，要把手伸出窗外，其他人的评论都对，要住这里，得有心理准备。', '短评打分': 4}
{'短评内容': '自助旅游，离大研古城很近，很方便。既安静又干净，视线很好，能看到玉龙雪山', '短评打分': 5}
{'短评内容': '隔了一天再次入住竟然找不到订单，也是醉了。订了四个标间，只给了两间。幸好有两对夫妻，要不咋整！', '短评打分': 4}
{'短评内容': '还行吧，离古镇有点距离。', '短评打分': 5}
{'短评内容': '干净卫生，楼高，风景好', '短评打分': 5}
{'短评内容': '环境好，边上有广场，离古城近，这个时间没暖气有些冷，配有电热毯。', '短评打分': 5}
{'短评内容': '性价比还好吧', '短评打分': 4}
{'短评内容': '老牌三星，房间设施齐备，卫生不错，服务还行，早餐简单。住了两天', '短评打分': 4}
{'短评内容': '老牌三星，房间设施齐备，卫生不错，服务还行，早餐简单。', '短评打分': 4}
{'短评内容': '位于新城区，交通方便，但离古城稍远；服务较好；老牌三星，设施健全，早餐简陋；价格合理。', '短评打分': 4}
{'短评内容': '酒店位置很好：从机场坐班车进城，下车出来站在十字路口就看到酒店了（先看到农业银行）。阴面的房间直接可以看到玉龙雪山！\n不足：中午不提供午餐。中午我到2楼餐厅吃饭，看见很多人在就餐。可是被告知，这是职工午餐，不对客人营业！！！不可理解！！！\n去旁边的“宫房大酒店”，同样午餐不对散客开放！！最后走回有机场班车的“民航宾馆”才找到可以吃午餐的地方。说实在的，这个对游客不是太大问题。中午正在外面玩呢！', '短评打分': 5}
{'短评内容': '房间相当不错，隔音效果非常好，其他都不错，如果早餐再丰富一点那就更好了。', '短评打分': 5}
{'短评内容': '不专注于酒店经营，一去就要求买古城维护费，明知道买重复了，还不退还，仍然百般刁难，不愿退还，服务极差！！！', '短评打分': 1}
