{'短评内容': '还可以，订的三人房间，价格不错', '短评打分': 5}
{'短评内容': '服务态度好热情，环境好！', '短评打分': 4}
{'短评内容': '性价比超高的产品', '短评打分': 4}
{'短评内容': '枕头臭臭。好臭臭。', '短评打分': 3}
{'短评内容': '还可以吧，周围环境很不错，属于海阳市中心，非常繁华，房间里设施一般般，电视太老旧了，效果实在是太差了，其他的都还可以，毕竟价格在呢', '短评打分': 4}
{'短评内容': '房间即干净又宽敞，住着很舒服。', '短评打分': 5}
{'短评内容': '住着还不错，去海阳出差临时找的酒店，前台服务好，房间非常大，但是酒店空调制热不太给力，半夜睡着有点冷', '短评打分': 5}
{'短评内容': '非常不错的入住体验，下次还会去的卫生干净，位置好找，嗯，可以效果也不错，原本以为会比较闹的地方，嗯，跟效果非常好，晚上很安静。', '短评打分': 5}
{'短评内容': '经常住的酒店，下次还用，', '短评打分': 3}
{'短评内容': '位于海阳市老城区中心，交通商业发达。房间宽大清洁，设施简洁实用，物有所值。不足之处是酒店似乎没有专用停车场，门前的几个车位时常停满，白天停车很困难。', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '挺不错 第二次来了', '短评打分': 4}
{'短评内容': '一般  环境 设备一般', '短评打分': 3}
{'短评内容': '很好  很舒服  各种设施齐全', '短评打分': 3}
{'短评内容': '挺好的，帮朋友订的，很满意', '短评打分': 5}
{'短评内容': '不错的酒店，推荐', '短评打分': 4}
{'短评内容': '其他都不错就是卫生间太滑，在卫生间放个防滑垫是很难的事情吗？', '短评打分': 3}
{'短评内容': '酒店不错，门面比较小，服务热情。', '短评打分': 3}
{'短评内容': '酒店位置很好，房间面积较大。餐厅的菜也不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净卫生，相比其他连锁酒店价位偏高，早餐一般，去的稍晚就没热菜了', '短评打分': 5}
{'短评内容': '房间很大，取暖效果格外好，价位稍高一些，下次还来住', '短评打分': 5}
{'短评内容': '价格确实有点高，不过住的还舒服！早餐还可以！', '短评打分': 1}
{'短评内容': '位置很好，周围饭店、交通都很方便，房间很干净，很宽敞，不错，值这个价\n', '短评打分': 5}
{'短评内容': '酒店服务很好，房间也挺大装修不错，位置在市中心。唯一房间里没有阅读灯，光线挺暗，问服务员回答说他们就是设计的这种风格', '短评打分': 5}
{'短评内容': '还算不错，早餐也凑合还算不错，早餐也凑合还算不错，早餐也凑合还算不错，早餐也凑合', '短评打分': 5}
{'短评内容': '干净整洁，服务一般，服务生晕晕乎乎的，有点笨，早餐尚可，临路的房间有点吵闹。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '效率高，服务好，下次一定去。希望你们的店开的越多越好。', '短评打分': 5}
{'短评内容': '环境不错，位置可以，服务也行，达到满意，但停车场秩序有些乱，希望得到管理。', '短评打分': 5}
{'短评内容': '房间设施很好，位置交通方便，距离海边较近。', '短评打分': 5}
{'短评内容': '位置不错在市中心房间很大比较新就是咸决停车秩序有点乱', '短评打分': 5}
{'短评内容': '还不错，前台服务人员水平参差不齐，有待于提高。', '短评打分': 5}
{'短评内容': '一切都好，新开酒店，就是服务人员业务还不太熟悉，还有价格稍高，188', '短评打分': 5}
{'短评内容': '服务比较满意，环境还可以，唯一不习惯的是卫生间设计的有点不合理', '短评打分': 5}
{'短评内容': '房间很大，位置不错，很方便！', '短评打分': 3}
