{'短评内容': '经济实惠老板人不错', '短评打分': 4}
{'短评内容': '挺好的。环境不错。房间干净又整洁。住起来挺舒服的。而且很踏实放心。休息的特别好。身体很放松。最主要价格不贵。挺实在的地方，性价比很高。值得来的！', '短评打分': 5}
{'短评内容': '挺不错的，不贵。而且特别棒，在携程定的。挺方便的。而且住着挺舒服的，房间也挺干净的。睡的挺好的。休息的很好，第二天精神很好。精神十足！', '短评打分': 5}
{'短评内容': '还好，渔家乐，老板人挺好的，价格相比之下也算划算，位置离八仙渡很近，很方便从此出游八仙渡！', '短评打分': 5}
{'短评内容': '老板服务很好，价格很实惠，晚上晾衣服很方便，离蓬莱阁，三仙山，极地海洋世界等各景点很近，打车只要几元钱就能到，只是卫生间淋浴水小了点。', '短评打分': 5}
{'短评内容': '老板人特别好 房间比起其他的农家乐渔家乐也干净  下次来还会住这里', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '环境有些差，但是基本还好。', '短评打分': 3}
{'短评内容': '规模挺大的农家乐，还不错', '短评打分': 4}
{'短评内容': '总体来说，还可以。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '农家特色跟快捷宾馆还有差距，老板很热情，离海边很近', '短评打分': 3}
{'短评内容': '住的地方离景区很近，老板也很好，照顾的很周到，最后也是他帮忙订的火车票。赞一个', '短评打分': 3}
