{'短评内容': '。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不能加床，但是床很大，标间可以一个床放小孩', '短评打分': 5}
{'短评内容': '正常的经济型', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '早餐比较丰富', '短评打分': 5}
{'短评内容': '早餐品种挺多，还算可口。', '短评打分': 5}
{'短评内容': '成都附近几个方法激励口', '短评打分': 5}
{'短评内容': '还好，感觉也就那样了，挺安静的。', '短评打分': 5}
{'短评内容': '很好好好好好好好，非常好！！！！！！？！！！', '短评打分': 5}
{'短评内容': '我暂且保留对这家店的差评，如家是我们入住的首选，不知道这一次为什么会这样。先是明明各个网站上都有特惠房，却偏偏说预订了也不能确认，其次隔音非常不好，通道说话在房间听得很清楚。再次还有一系列的问题等待商家解决不知道会不会有一个满意的答复。', '短评打分': 4}
{'短评内容': '员工热情，细节体贴', '短评打分': 4}
{'短评内容': '酒店位置交通便利', '短评打分': 5}
{'短评内容': '环境还可以。服务员没有看见', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错 出门在外还是如家好啊 全国各地都一样', '短评打分': 5}
{'短评内容': '不错不错不错非常不错', '短评打分': 5}
{'短评内容': '很不错啊，好评', '短评打分': 5}
{'短评内容': '不错，很干净，也很方便', '短评打分': 3}
{'短评内容': '就是位置远了点，其它都挺好', '短评打分': 5}
{'短评内容': '离机场比较近，挺好的，方便，以后从青岛机场转车可以住在这里', '短评打分': 5}
{'短评内容': '房间比较干净，但有点小', '短评打分': 3}
{'短评内容': '这家酒店离机场比较近，乘机方便。服务态度很好,但卫生设施一般', '短评打分': 5}
{'短评内容': '前台服务态度比较好，房间环境卫生还行，就是卫生间的淋浴设施一般', '短评打分': 5}
{'短评内容': '基本设施都具备。房间还是比较干净的。服务也不错。', '短评打分': 5}
{'短评内容': '房间小了点，早餐品种少了点，其他还行。酒店离火车站好远', '短评打分': 5}
{'短评内容': '环境和其它如家一样，比较整洁。房间太小，入住的那间号称有窗户，但是拉开帘一看，外边被广告牌堵了个严严实实。早餐非常一般。', '短评打分': 5}
{'短评内容': '房间很小，但是很暖和，位置也不错，隔音效果少差点', '短评打分': 5}
{'短评内容': '酒店第二次住，感觉不错，电视小了点，水量小，热水不太够。', '短评打分': 3}
{'短评内容': '内部设备挺好，服务员态度较好。交通方便，周边银行、商业等配套较完善', '短评打分': 5}
{'短评内容': '房间太小，隔音效果也不好，在城阳指教中心西侧马路，吃饭的地方往东走一条街，很多小吃。\n坐车在指教中心车站下，就看到了。\n大家以后评论酒店，最好把坐车方式写上。', '短评打分': 5}
{'短评内容': '选择的大床间，房间的确太小了。不过挺干净，位置也比较繁华，交通方便', '短评打分': 5}
{'短评内容': '酒店服务态度好，没有宽带不好，整体一般。', '短评打分': 3}
{'短评内容': '地理位置很好，服务员也比较热情，房间干净整洁，就是房间里温度太高，明明空调也没看，也不知热气那里来的。', '短评打分': 5}
{'短评内容': '我是如家金卡会员,如家的服务及卫生做得可以,但我认为餐厅能吃中晚餐就更好了,全因没有几家可以吃中晚餐的!!!!!', '短评打分': 5}
{'短评内容': '酒店比较干净，服务很好，总体还可以吧，性价比挺高的', '短评打分': 3}
{'短评内容': '挺好的，这个价钱的酒店就不错了，就是隔音效果差，还有附近吃饭的地方难找', '短评打分': 5}
{'短评内容': '酒店干净，服务热情', '短评打分': 3}
{'短评内容': '不错，比较满意', '短评打分': 3}
{'短评内容': ' 还不错，就是房间有点小！', '短评打分': 3}
{'短评内容': '酒店前台服务态度很好  我结帐的时候把钱包遗忘在了前台  前台工作人员主动归还给了我  我很感动  ', '短评打分': 3}
{'短评内容': '旅馆很好', '短评打分': 3}
{'短评内容': '房间隔音差  木有自己的停车场。。 其他方面还不错啦 不过感觉可能刚开始营业 服务态度也不是很专业。。', '短评打分': 1}
{'短评内容': '这次一共定了一个标准间和一个商务大床房，饭店其实不在正阳路上，是靠近正阳路的一条之路上，当时来的时候大家寻找的时候费了时间。房间都非常小，商务大床房我们是一家三口住的，基本上进去了就没法转开身，如果不是因为这边距离青岛机场很近我想大概不会定到这儿。距离这家如家三五百米的地方，在正阳路上有一家包子铺，包子不错，当天晚上我们就在那里解决了晚饭。', '短评打分': 1}
{'短评内容': '空间太小，价格贵，前台接待服务态度差，卫生间灯老坏，不值，不值。', '短评打分': 1}
{'短评内容': '工作人员服务态度还不错，但可能是旅游旺季的关系，预留的房间非常小，卫生状况也不理想，一打开门就有一股潮湿的霉味', '短评打分': 1}
{'短评内容': ' 房间比其他城市小。要求开通长途时，服务员估计太忙，告之用手机，房间没热水也不通知，一般', '短评打分': 3}
{'短评内容': '酒店刚刚成立，服务还需慢慢提高，早餐很有青岛风味。', '短评打分': 5}
{'短评内容': '还不错~比较干净 网速也不错 就是房间有点小~', '短评打分': 5}
{'短评内容': '卫生再好点    屋子的窗户有点小           还行', '短评打分': 5}
{'短评内容': '房间很干净，床很舒服，但是房间有点小', '短评打分': 3}
{'短评内容': '＋各方面都比较不错，性价比还算过的去，就是电视节目少！', '短评打分': 3}
{'短评内容': '离机场比较近，环境还行，安静，去机场的话可以建议这个酒店', '短评打分': 5}
{'短评内容': '离机场比较近，就是周边人气比较差，打车不是很方便', '短评打分': 5}
{'短评内容': '位置可以，隔音差，隔壁的电视机声音听得见', '短评打分': 5}
{'短评内容': '如家是我达到每座城市首选酒店之一  如家就是有家的感觉\n', '短评打分': 5}
{'短评内容': '不错，新开的很干净，环境也不错，唯一的小缺点网速有点慢', '短评打分': 3}
{'短评内容': '还可以。就是房间有点小，中、晚没有餐。我下次去还会住', '短评打分': 5}
{'短评内容': '新开的 各方面都不错。环境也好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境挺好，很整洁，很温馨，就是有点小了，大点就好了，服务人员挺好。', '短评打分': 3}
{'短评内容': '青岛旅游、出差的好选择 安静 舒适，不足之处就是空间小了点 ', '短评打分': 5}
{'短评内容': '我已入住感觉像家一样舒服', '短评打分': 3}
{'短评内容': '服务还不错，就是位置有点偏，，总之就是如家品牌的吧', '短评打分': 5}
{'短评内容': '3服务与环境都不错', '短评打分': 3}
{'短评内容': '早餐厅的品种如果能够提供的更多些，我想天天在此用餐！', '短评打分': 5}
{'短评内容': '服务态度很好，价格有点贵了。商务大床房免费提供纯净水2瓶超出想象！', '短评打分': 5}
{'短评内容': '如果价格能够降低点就太理想了。负责打扫卫生的服务员态度超好！有求必应。感谢！', '短评打分': 5}
{'短评内容': '房间的隔音稍微差点。服务员敲对面的房间，我以为在敲自己的房门呢。呵呵', '短评打分': 5}
{'短评内容': '干净！服务好！如果能够再便宜点就更好了。', '短评打分': 5}
{'短评内容': '感觉统一服务标准，干净。就是房间小点。如果能提供报纸就更理想了。', '短评打分': 5}
{'短评内容': '六楼有个房间的卫生间的门不太好，关不上！别的都还行~', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '嗯，还不错~床很舒服，屋内感觉很好。另外，可能是因为新开的屋内设施都很新,不错呦~', '短评打分': 5}
{'短评内容': '房间特别小，一个人的话，周边吃饭不方便！', '短评打分': 1}
{'短评内容': '房间中规中矩就是如家风格。如果去城阳区出差住在这个地方还算可以了。', '短评打分': 5}
{'短评内容': '房间干净整洁，服务热情周到；住在这里很舒心，出行也非常方便。会继续支持这里~', '短评打分': 5}
{'短评内容': '闷热啊~~地暖现在有点热了，感觉怪燥人的。唯一的小遗憾就是没找到空调遥控~~哎！其他一如既往', '短评打分': 5}
