{'短评内容': '规规矩矩斑斑驳驳', '短评打分': 5}
{'短评内容': '还算整洁吧。比较安静。便宜', '短评打分': 5}
{'短评内容': '房间有气味，网络超慢。。。还是得去连锁的好一些', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不会再使用携程旅行', '短评打分': 3}
{'短评内容': '房间还是很不错。楼下有一个酒吧。晚上，可以小坐。', '短评打分': 4}
{'短评内容': '位置挺好好，卫生勉勉强强', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境可以，挺安静的', '短评打分': 5}
{'短评内容': '卫生条件还不错，就是设备老旧，出行还算方便，对面还有商场', '短评打分': 3}
{'短评内容': '其他都能勉强接受，就是空调声音太吵，影响睡眠，我们赶了一天的路了，本来想好好休息的，结果吵的都没睡好', '短评打分': 4}
{'短评内容': '设施陈旧。交通不便。卫生一般。不会再入住。服务态度一般', '短评打分': 3}
{'短评内容': '性价比低。交通不方便。设施陈旧。不会再住', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '打扫服务员会翻行李', '短评打分': 1}
{'短评内容': '卫生有待提高 厕所和浴室卫生都要注意保洁', '短评打分': 3}
{'短评内容': '很好的选择，推荐给大家', '短评打分': 3}
{'短评内容': '房间还是不错的，就是楼下舞厅真让人头疼啊。', '短评打分': 4}
{'短评内容': '一般般，有点吵', '短评打分': 4}
{'短评内容': '刚刚进去的时候感觉就是装修的比较久了，进房间的时候感觉卫生一般，不过还行，电梯没办法直接到要去的楼层，还要走楼梯，整体感觉和照片的是差不多，但是我住过的感觉是一般，但是对的起这个价格。还有就是晚上的时候楼下的酒吧好像有低音震感。', '短评打分': 1}
{'短评内容': '我在26-9-2012訂了29-6-2012雙人房(人民幣158)兩天當天下午6:45分到,酒店說沒有收到我的訂單,說了很久才說只剩下一間,但是要人民幣188,再一翻投訴才說168,入住之後,發現有蟑螂,衛生差勁,.這一次是我出外,租酒店以來第一差勁的酒店.(衛生差,內部溝通有很大問題). 這是我親身經歷,你們要住的話要考慮清楚 !', '短评打分': 1}
{'短评内容': '\n酒店住宿条件很赞的说，美中不足的就是因为在酒吧附近，晚上九点过后一直到深夜两点左右会比较吵点。', '短评打分': 3}
{'短评内容': '环境不错！也挺干净的！服务态度也挺好的！不过十二点前有点吵！', '短评打分': 5}
{'短评内容': '酒店应该是新装修的，房间还算比较干净、舒服。但最受不了的是晚上隔壁卡拉ok的声浪实在太大', '短评打分': 3}
