{'短评内容': '京东订酒店，价格一直都很优惠，酒店硬件软件都还行', '短评打分': 5}
{'短评内容': '很喜欢喜来登品牌，空间较大，交通方便，服务很好，非常满意！', '短评打分': 5}
{'短评内容': '房间一般般 比较老', '短评打分': 5}
{'短评内容': '非常糟糕的入住体验，酒店周边环境不佳是其次，客房设备老旧，进入房间一股霉味（而高楼层是油漆味...），服务人员倒是客气，但业务能力弱，告知商务中心21:00关门，其实周末是19:00；告知酒店对面有打印店，其实没有... 到休息时间发现衣柜灯开关坏了，关不了... 各种差，不会再住第二次！', '短评打分': 2}
{'短评内容': '住了很多次 房间的空调太旧 插销太旧 早餐太贵 选择不多 性价比太差 确实要注意细节 好的方面就是工作人员都很热情 房间也够大', '短评打分': 4}
{'短评内容': '市中心房，停车可以免费，每天省42元每天', '短评打分': 5}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '发票出了点小插曲，京东客服的态度点赞。希望之后订单系统改善', '短评打分': 5}
{'短评内容': '不便宜，環境還可以，算是OK', '短评打分': 5}
{'短评内容': '不知什么原因，卫生服务质量下降！', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '用spg 会员订728也不含早 那肯定花578通过京东订啊哈哈', '短评打分': 5}
{'短评内容': '很舒服很享受', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '家庭出游  总体来说  可以', '短评打分': 5}
{'短评内容': '总体来说  不错', '短评打分': 5}
{'短评内容': '前台接待的有个胖胖的蛮凶的  其他的都很好  很和善', '短评打分': 5}
{'短评内容': '优点：酒店环境高大上 ，服务好，自助早餐比较给力，品种多，口味好。缺点：床太软太软了，睡得浑身不舒服。早上9点 落地玻璃窗外面有人在清理窗户 ，想想没拉窗帘的房间会被看透，就很尴尬', '短评打分': 5}
{'短评内容': '房间卫生干净整洁哈哈哈哈哈哈哈哈哈。周边环境非常便利哈哈哈哈哈哈哈哈哈。酒店服务热情周到哈哈哈哈哈哈哈哈哈。设施设备十分完善哈哈哈哈哈哈哈哈哈。好评！！', '短评打分': 5}
{'短评内容': '房间卫生干净整洁哈哈哈哈哈哈哈哈哈。周边环境非常便利哈哈哈哈哈哈哈哈哈。酒店服务热情周到哈哈哈哈哈哈哈哈哈。设施设备十分完善哈哈哈哈哈哈哈哈哈。好评！！', '短评打分': 5}
{'短评内容': '酒店位置比较方便，虽然设施有点旧了，但想想这样环保健康，所以总体感觉不错。', '短评打分': 4}
{'短评内容': '房间大而干净，服务员的态度友善，靠近地铁2号线，出入方便，一个很好的酒店。', '短评打分': 5}
{'短评内容': '服务周到，设施成旧', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': 'Very gooood...................very nice.............................................................', '短评打分': 5}
{'短评内容': '太老了，太旧了，价格还特贵，停车场还在对面，上当受骗', '短评打分': 1}
{'短评内容': '位置可以，总体服务很好，', '短评打分': 4}
{'短评内容': '设施老旧，服务一般', '短评打分': 4}
