{'短评内容': '我住过最差的宾馆 没有之一 只是离酒吧近点 其他的一无是处 连矿泉水都没有 还要叫押金 老太婆就是个低能儿 我也是醉了 200多的房间环境脏的要死 还6楼没有电梯', '短评打分': 1}
{'短评内容': '就是一般般…我不小心定错酒店了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '0分差评！晚上去到酒店说什么晚于下午6点的预定时间所以已被退房处理，且不说到下午6点也没有打电话询问就直接退房，经过追问酒店前台承认是前一晚的客人直接续住所以没有留房间给我们，那些房客中午就续住了岂不是等于中午就没有留房？！再看看酒店的布置，这就要200一晚？？简直不能再坑！！', '短评打分': 1}
{'短评内容': '0分差评！晚上去到酒店说什么晚于下午6点的预定时间所以已被退房处理，且不说到下午6点也没有打电话询问就直接退房，经过追问酒店前台承认是前一晚的客人直接续住所以没有留房间给我们，那些房客中午就续住了岂不是等于中午就没有留房？！再看看酒店的布置，这就要200一晚？？简直不能再坑！！', '短评打分': 1}
{'短评内容': '对这所旅店真的无语，下次肯定是不会再来这家了，环境什么的就不说了，马桶还老是堵。最主要的是退房后我要开发票，前台服务员借口不会开发票，浪费我的时间，因为还有急事不得不走了，旅店这样的服务态度你们说说看谁能忍。', '短评打分': 1}
{'短评内容': '酒店还算干净', '短评打分': 4}
{'短评内容': '从来没有住过设施这么差的酒店，不对，是旅馆，想来想去唯一可以算作优点的就是离地铁口近了吧，虽然不贵150，但也不值这个价', '短评打分': 2}
{'短评内容': '还可以，干净，卫生', '短评打分': 4}
{'短评内容': '五角场区域交通最便利', '短评打分': 4}
{'短评内容': '周围环境非常方便，各种商场。卫生设施还可以这个价位', '短评打分': 5}
{'短评内容': '位置很好价钱又便宜还会来的。', '短评打分': 3}
{'短评内容': '还可以   。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在万达边上交通便利，但免不了会吵闹，房间里发现有蟑螂，设施很陈旧，不太满意。', '短评打分': 3}
{'短评内容': '这旅馆真不想提，小，老，旧，脏他全占了', '短评打分': 3}
