{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '很不错，点个赞不要再写了。很不错，点个赞不要再写了。很不错，点个赞不要再写了。很不错，点个赞不要再写了。', '短评打分': 5}
{'短评内容': '位置给10分，其它方面比较一般，肯定不值这么贵（当然也可能望京，又是民航干部局）。房间小了点，算满意吧！', '短评打分': 5}
{'短评内容': '酒店环境好 交通位置方便 ', '短评打分': 5}
{'短评内容': '没有吃早餐，', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '按照点评分类进行评论。1，卫生，单人房，房间内卫生良好2，周边环境，吃饭可在酒店内进行办理，因本人没有办理，不予以评价。周边有新世界商城，有地铁公交，交通较为便利。3，酒店服务，个人认为，前台有问必答，服务态度良好。4，设施，仅对单人间评论，有有线宽带，无wifi。', '短评打分': 4}
{'短评内容': '周边环境好', '短评打分': 5}
{'短评内容': '位置方便，环境好，设施比较新！', '短评打分': 5}
{'短评内容': '酒店环境好', '短评打分': 1}
{'短评内容': '看着像学校教师房改装的', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': 'ABC座的房间比较老式，都是上了一定年纪的，并缺乏翻新。不过周边还算方便，出门就是地铁口。D座是全新楼，很过瘾。', '短评打分': 3}
{'短评内容': '设施陈旧', '短评打分': 4}
{'短评内容': '价高', '短评打分': 5}
{'短评内容': '陈旧设施', '短评打分': 4}
{'短评内容': '陈旧些', '短评打分': 4}
{'短评内容': '设施陈旧些', '短评打分': 4}
{'短评内容': '环境也好  交通也方便 隔音效果也很好 总之很棒', '短评打分': 5}
{'短评内容': '房间卫生尚可', '短评打分': 3}
{'短评内容': '周围有工地', '短评打分': 3}
{'短评内容': '交通方便,环境还好,就是房间有点小.             总体还可以', '短评打分': 5}
{'短评内容': '就这样吧，300块的标间，就都这水平吧，', '短评打分': 1}
{'短评内容': '安静', '短评打分': 3}
{'短评内容': '环境不错，学校里面，干净卫生，主要来这里考试特别的方便', '短评打分': 5}
{'短评内容': '安静，干净，服务好，就是价格高了点。360的房费，加两个人的早餐，都到400了', '短评打分': 5}
{'短评内容': '中航培训学校内，三星酒店价格，招待所的环境。入住还要走几栋楼', '短评打分': 1}
{'短评内容': '住二日感觉很好 特别是干净 安静 价低', '短评打分': 3}
{'短评内容': ' 挺好挺干净', '短评打分': 3}
{'短评内容': '四星级价格，招待所的环境', '短评打分': 3}
{'短评内容': '房间装设一般，即使是团价，比有些酒店价位仍然是偏高了。希望下次入住能有所改观。', '短评打分': 5}
{'短评内容': '环境挺好   卫生也干净  房间也比较大  基本上挺好的   就是洗澡水温不够高', '短评打分': 5}
{'短评内容': ',北京紫英阁宾馆总体不锴,就是难找。', '短评打分': 3}
{'短评内容': '挺好。离我公司很近。', '短评打分': 3}
{'短评内容': '房间还可以，比较安静，设施一般。目前正在装修，找门口有点费劲。', '短评打分': 5}
{'短评内容': '很好，北京紫英阁宾馆性价比很高，服务态度也好。谢谢！', '短评打分': 5}
{'短评内容': '服务周到，价格合理，房间干净整洁，地理位置较方便。', '短评打分': 3}
{'短评内容': ' 普通标间还可以 颇有招待所风范', '短评打分': 3}
{'短评内容': '位置还行，卫生还行，给朋友定的，下次还来', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '住过几次了，这儿的高级单人房还是值得推荐地···', '短评打分': 5}
{'短评内容': '在这附近是比较好的，很安静，交通也还不错，服务很周到', '短评打分': 5}
{'短评内容': '还不错，下次还会入住\n的吧还不错，下次还会入住\n的吧', '短评打分': 5}
{'短评内容': '酒店环静还可以，价格满实惠的', '短评打分': 3}
{'短评内容': '房间很不错', '短评打分': 3}
{'短评内容': '天天涨价,名不副实;条件相对于180来说还可以,但住的人一多就一天一个价格,害得我们中途退房换别的宾馆,真扫兴...', '短评打分': 1}
{'短评内容': '酒店比较老式的感觉但还算干净，服务一般，像快捷酒店一样，性价比不高。而且不好找', '短评打分': 1}
{'短评内容': '还行吧~  价格挺便宜的~ 。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的选择。距离闹市很近，又很安静很舒适，说是酒店，似乎别墅一样。', '短评打分': 5}
{'短评内容': '酒店位置较好，车位充足，环境安静。但大理石地面在冬季显得冷面。', '短评打分': 5}
{'短评内容': '已经入住过两次紫英阁酒店，非常非常喜欢贵酒店！我们带孩子利用寒假去附近的望京医院看病，便入住了贵酒店，酒店的环境幽美、安静，入住的房间也非常整洁，设施齐全，房间内还有一个小冰箱，酒店管理的也非常好，从经理到工作人员及保洁，他们对客人礼貌、热情、友善、服务周到，尤其那位和蔼可亲的男经理,可以说是贵酒店的形象大使，更是位非常合格的经理，我相信，贵酒店在这位经理的带领下今后会更红红火火。这座酒店是我今后', '短评打分': 5}
{'短评内容': '服务态度很好。。。还帮着你把行李送到房间。。。环境也很好。。。下次还会住', '短评打分': 5}
{'短评内容': '客人入住较满意。', '短评打分': 3}
{'短评内容': '设施比较陈旧 好多设施都比较落后 而且价格相对比较贵\n周围也没用什么饭店 烧烤 听说 要走两站路 才有超市', '短评打分': 1}
{'短评内容': '有事取消预订', '短评打分': 3}
{'短评内容': '很不错的酒店，离机场不远， 打车大概50-60元。但是 比机场附近酒店 安静了许多。下次还会入住 ！\n', '短评打分': 5}
{'短评内容': '宾馆大院非常安静，房间房间干净，服务员态度很和睦，还有食堂，我很满意，我们大年初二住进去后，又续订了15天。。。', '短评打分': 5}
{'短评内容': '还成吧~', '短评打分': 3}
{'短评内容': '还可以,就是地方太难找', '短评打分': 3}
{'短评内容': '这个酒店是一个很一般的酒店，价格还可以，当然各项指标也符合价位，交通不太方便，在闹市边上一处僻静的地方。打车也不是很方便。', '短评打分': 5}
{'短评内容': '房间真的很好，尤其服务员的态度非常好，我是大年初二住进去的，心情非常愉快！真诚感谢你们！', '短评打分': 3}
{'短评内容': '环境很安静，周围的购物环境也很好，早点很好吃的，很给力。', '短评打分': 5}
{'短评内容': '我们在贵酒店入住了十天，感觉非常满意，服务周到、热情，设施齐备，是我们入住过最好的酒店，从经理到服务员都给我们留下了深刻的印象，下次到北京来我们一定还会入住贵酒店。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '酒店地理位置很好，房间很干净，酒店里的餐厅做的菜品也很不错，推荐！', '短评打分': 5}
{'短评内容': '在这个价格的基础上已经很超值了,位置不错,房间也还干净,就是小了点儿.', '短评打分': 5}
{'短评内容': '住入酒店后让人百思不解的是一个三星级酒店居然使用的是公用拖鞋？！什么年代了起码的卫生条件是应该注重的！一次性的拖鞋在最为普通的商务酒店都配备，这家酒店没有考虑过传染病的传播吗？这家酒店唯一可取的就是前往机场乘坐民航大巴方便。', '短评打分': 5}
{'短评内容': '感觉还不错，卫生挺好，比较安全，如果开车去机场，交通还是很方便的。离大鸭梨饭店很近，所以如果到机场送客人，我还是会选择这里的。', '短评打分': 5}
{'短评内容': '房间不错，价钱也不高，比较安静，就是周围吃饭买东西都不容易', '短评打分': 5}
{'短评内容': '还不错啦…', '短评打分': 5}
{'短评内容': '房间大，服务不错', '短评打分': 5}
{'短评内容': '环境比较安静，附近购物方便\r\n餐厅送的早点很实惠，品种也很多', '短评打分': 5}
{'短评内容': '＋很好很干净很静', '短评打分': 5}
{'短评内容': '入住时的价格和预定的价格不一样，核实房价后。酒店按照预定价格安排入住。', '短评打分': 5}
{'短评内容': '根据房型 在不同的楼栋里，有点麻烦， 房间很小\r\n但很安静， 离繁华市区较远。', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还好了，就是普通招待所的标准，也许我定的房间标准低吧。有点是安静 安全！就在民航管理学院里面。', '短评打分': 3}
{'短评内容': '饭店服务非常好，很舒适。可能是因为位于一条小路上的缘故，前往酒店时接连换了好几辆出租车 出租车司机都不知道怎么走。总之，还是很满意的 下次还会去的。', '短评打分': 5}
