{'descr': '很不错，服务态度很好', 'star': 5}
{'descr': '忘拍照了，地理位置很好，天安门边上，走哪哪方便的位置，订的无窗，到店还给升级为有窗户的，服务不错', 'star': 5}
{'descr': '脏乱差，还不给退款', 'star': 1}
{'descr': '交通方便，服务好。', 'star': 5}
{'descr': '在一环内定的，价格很是便宜，床单像家具的那种，但是感觉很脏，很久没换了一样，大床是两个标间床拼一起的睡觉容易咯的疼，做了一个噩梦，房间很小，要求不高的可以考虑，离天安门很近，另外墙两边的插座可以换了，插头插上很松呀', 'star': 4}
{'descr': '这个房间如果要求不高的可以，设备简陋但是都还可以用咯?，胡同难找，应该在一号门广场东下，然后门广场东站搭公交去东华门（就三站），对面胡同进去就是，按照店家说的前门站下找不到路远着呢。它附近公交就是东华门站', 'star': 5}
{'descr': '卫生很干净，床也很宽敞，就是窗户是内窗，不过晚上落个脚还是很不错的，离故宫**都很近。', 'star': 5}
{'descr': '房间很好，服务也不错', 'star': 5}
{'descr': '很好的', 'star': 5}
{'descr': '很一般', 'star': 3}
{'descr': '我在家里空间里5枚', 'star': 5}
{'descr': '环境、服务都还不错', 'star': 5}
{'descr': '环境一般般  看房子改造的 最大的优点就是离天安门近，可以走过去  ', 'star': 3}
{'descr': '房间内环境一般，洗澡毛巾还得给前台要。里面洗漱工具也没', 'star': 4}
{'descr': '好！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '跟网上的一样，这个价格，设施均ok', 'star': 5}
{'descr': '市区低价 也只能这样了', 'star': 3}
{'descr': '离故宫确实近，走路15分钟左右，附近相对价格算差不多了。但是如此的价格招待所的设施环境。。。只能说有得有失吧。', 'star': 3}
{'descr': '卫生一般，设备不全，连开水瓶也没有，喝点热水半夜还要起来去走廊接热水。', 'star': 1}
{'descr': '酒店地理位置不错，距离故宫不是很远，这里的服务生态度不错，比较热情周到，性价比高', 'star': 5}
{'descr': '位置好，距离王府井，天安门都较近，服务人员态度不错，热情周到，房间舒适度到位', 'star': 5}
{'descr': '这家酒店就是位置好，离景点很近，价格还算合理。', 'star': 3}
{'descr': '服务人员很热情，英语说得很好，房间收拾的挺干净，价格也比较合适。', 'star': 3}
{'descr': '地理位置很好，离故宫、王府井很近，游玩很方便。', 'star': 5}
{'descr': '酒店挺受欢迎，有很多老外住这，服务人员态度很热情，也很耐心，位置很好，去故宫很近。', 'star': 3}
