{'descr': '性价比高，服务不错。', 'star': 3}
{'descr': '环境不错，空间挺大的，服务人员态度挺好的。', 'star': 5}
{'descr': ' 房间不错，就是网速慢', 'star': 3}
{'descr': '满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意', 'star': 5}
{'descr': '从酒店出来步行15分钟左右能到地铁，距离市中心有些远，房间偏小，一些基础设施还算齐全，卫生条件一般，其他都还凑合 \n', 'star': 5}
{'descr': '在一楼住宿的，到半夜的时候有点吵，都谁不了觉。', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '设施设备良好，服务尚可，就是房间太小，窗户小采光不好。', 'star': 5}
{'descr': '房间卫生条件很不错，打扫的挺干净，住宿环境一般，酒店距离市中心远，但周边交通挺方便，总体感觉还可以', 'star': 5}
{'descr': '从酒店出来步行15分钟左右能到地铁，距离市中心有些远，房间偏小，一些基础设施还算齐全，卫生条件一般，其他都还凑合', 'star': 3}
{'descr': '酒店住宿环境还行，房间有点小，但是挺干净整洁的，交通还算方便，服务比较一般', 'star': 3}
{'descr': '周围靠近生活区，有停车场，能停大客车，酒店服务很好', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '位置稍远，地铁还好，就是需要走15分钟，比较干净，世博会期间还算价格划算，也是200以上，比虹桥的汉庭店  强许多，房间大小还凑合，', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '+很好', 'star': 5}
{'descr': '地理位置有点偏，房间也不大，房间里设备还算可以…', 'star': 5}
{'descr': '\u3000房间有点小,但是挺干净整洁价格适中,交通也挺方便的!不过人不够热情~', 'star': 5}
