{'短评内容': '好，地理位置优越', '短评打分': 5}
{'短评内容': '交通便利，早餐不错，四个蔬菜还有红薯鸡蛋。这个价位的酒店算非常好的。', '短评打分': 5}
{'短评内容': '早餐还可以，不知道能不能加床，适合带孩子，酒店位置很好，有很大的停车场，停车很方便，不过出租车司机不太友好。', '短评打分': 5}
{'短评内容': '总体不错，只是停车不太方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，服务态度也好，早餐一般般。哈哈。旅游是个不错的选择', '短评打分': 5}
{'短评内容': '地方安静，卫生也不错，交通什么的都还方便，就是离超市有些远了，稍处偏僻，各有好处吧。', '短评打分': 5}
{'短评内容': '位置在仰口路，比较好找，关键就是安静，周边都是居民楼，早餐略简单，服务也一般般，毕竟价位在这摆着，想要舒适就不用来这了。', '短评打分': 4}
{'短评内容': '环境一般般吧，不过房间倒是挺大的', '短评打分': 4}
{'短评内容': '位于青岛市老年大学院内，环境幽静，无噪音。距湛山寺200米，寻幽佳地', '短评打分': 5}
{'短评内容': '挺好的 还会再来', '短评打分': 5}
{'短评内容': '离海边很近，位置不错，前台办理人员态度很好。携程的活动太给力了，11月11日上午十点抢到的只需要11元，便宜的不要不要的，大赞。', '短评打分': 5}
{'短评内容': '整体还算不错，放房间干净，但是早餐拆强人意', '短评打分': 5}
{'短评内容': '房间面积够用，主要是酒店的地理位置挺好，交通便利，出门往东的延吉三路有很多公交站点，去各个景点都有公交可以坐到，不需要换乘。同时很安静，不会有噪音影响休息，和青岛老年大学共用一个停车场，很安全，', '短评打分': 3}
{'短评内容': '真是一般，走廊就像旅馆，哪像个酒店啊', '短评打分': 3}
{'短评内容': '以前住过，环境雅，出行方便，青岛风太大，还下雪了，', '短评打分': 5}
{'短评内容': '总体不错，环境比较安静', '短评打分': 4}
{'短评内容': '离家很近，总体不错', '短评打分': 4}
{'短评内容': '位置还可以，真的的不错,值得推荐.....位置还可以，真的的不错,值得推荐.....位置还可以，真的的不错,值得推荐.....', '短评打分': 5}
{'短评内容': '房间虽然装修有点老，但是还算干净。总体而言还可以、', '短评打分': 5}
{'短评内容': '虽然位置在老年大学里面，很安静，但是，确实性价比不高。入住后一天，就打算换地方了。内部设施规格，也就是普通的快捷酒店而已，到不了商务酒店的级别。价钱，也过高了。不推荐。', '短评打分': 1}
{'短评内容': '入住海天e家3天，整体感觉不错。', '短评打分': 3}
{'短评内容': '很好的酒店', '短评打分': 3}
{'短评内容': '环境不错，安静。去奥帆得转车，但也还算方便吧。', '短评打分': 5}
{'短评内容': ' 很安静的酒店，房间挺大', '短评打分': 3}
{'短评内容': '如果对公交比较熟悉，位置尚可，房间大，采光好，青岛天潮湿没办法，酒店周围小饭店挺多，超市也有。总体不错了', '短评打分': 5}
{'短评内容': '住过很多很多次了，满满的回忆。', '短评打分': 3}
{'短评内容': '海天e真的不错！', '短评打分': 3}
{'短评内容': '总体来说还不错  地理位置很好 交通比较方便 就是室内比较潮湿 ', '短评打分': 5}
{'短评内容': '空间挺大的，整体感觉还不错，但是细节上还有些问题', '短评打分': 5}
{'短评内容': '，酒店环境不错，挺安静，交通也不错。就是被子一直没换过。但是总的来说很好。酒店放假采光特好', '短评打分': 3}
{'短评内容': '总体还是不错滴，比较安静，出行也很方便。卫生打扫的很干净', '短评打分': 5}
{'短评内容': '服务和位置都很不错，房间很干净。\n下次会再住。', '短评打分': 5}
{'短评内容': '酒店条件一般，房间的开关也有问题，性价比较差。', '短评打分': 3}
{'短评内容': '朋友在这里住了一晚，感觉不错，是外地来旅游的。', '短评打分': 5}
{'短评内容': '住着不错安静，隔音比想象中的要好。出去周围比较便利。', '短评打分': 3}
{'短评内容': '房间干净，房间有网线，大堂有WIFI。酒店位置不错，安静，服务员态度不错，设施稍旧，房间之间隔音不太理想。', '短评打分': 5}
{'短评内容': '酒店很干净，服务很周到，离五四广场步行的话15分钟左右，我是端午节带爸妈来青岛玩住的这家，老人家很喜欢，下次再来还定这家！', '短评打分': 5}
{'短评内容': '挺干净的，环境也不错，就是不太好找，从火车站打车的话不到20元，或者在华联商厦那儿坐26路公交，到海水浴场下车，换604到老年大学下车，就在大学里面', '短评打分': 3}
{'短评内容': '不错的.中国年前夕去的，很干净，地方容易找也不错，以后有机会再去喽', '短评打分': 5}
{'短评内容': '院子很大，停车很方便，特别适合开车去的朋友，地理位置不错，购物游玩都很方便', '短评打分': 5}
{'短评内容': '非常安静的一家酒店，特别安静，吃喝玩乐也比较方便，大门口对面有便利店，有饭店，烧烤店，出门左手上坡100米有海鲜店，右手边有个火锅店，因为时间关系没有去吃\n\n价格稍微有点贵，房间设施尚可', '短评打分': 5}
{'短评内容': ' 酒店确实不错 三星 在大学内安静 旁边有汉庭七天 价格要低 且房间大 比昨晚团购的米罗亚好多了', '短评打分': 3}
{'短评内容': '酒店很干净，还不错', '短评打分': 3}
{'短评内容': '酒店在青岛老人大学里，打车司机都不知道老人大学在那里，但说去仰口路就没问题，酒店很安静，住的是高级大床房，房间很大很干净。酒店出门店就有公交站，有车直到八大关、台东商业街、啤酒街、云霄路等，去中山路、栈桥只需转一次车，交通挺方便的。', '短评打分': 5}
{'短评内容': '环境比较安静，位置稍稍有点偏，因为在老年大学里面，条件还可以，就是房间稍微小点，但是考虑到价位还是不错的地方', '短评打分': 5}
{'短评内容': '周围环境真的很不错，闹市中难得的安静之处。。就是房子稍微有点旧了，但是还是很干净', '短评打分': 5}
{'短评内容': '很干净，很安静，性价比高，下次去还会去这儿，同时推荐朋友去', '短评打分': 5}
{'短评内容': ' 还可以，就是有点旧。不过在湛山寺附近，地角不错。', '短评打分': 5}
{'短评内容': '房间蛮大的·地理位置不错·去哪都感觉很近~', '短评打分': 5}
{'短评内容': '交通便利，环境安静，酒店干净，酒店服务态度也好！非常棒 每次去青岛都住那', '短评打分': 5}
{'短评内容': '如果是这种便宜酒店还是可以推荐的，因为价格很便宜而且周围环境很好，只是酒店房间并不尽如人意，不是很干净，墙面还有窗户都比较脏~', '短评打分': 1}
{'短评内容': '在仰口路上，老年大学院内，很安静，卫生还可以', '短评打分': 5}
