{'短评内容': '一如既往的好！', '短评打分': 5}
{'短评内容': '入住太麻烦，繁琐', '短评打分': 5}
{'短评内容': '很不错，值得推荐！', '短评打分': 5}
{'短评内容': '很不错，值得推荐！', '短评打分': 5}
{'短评内容': '闹中取静，只是卫生间和房间隔一段距离，洗漱和去厕所有点不方便！', '短评打分': 4}
{'短评内容': '房间挺棒的，虽然厕所不在房间里，感觉不错。自动窗帘，蓝牙音乐', '短评打分': 5}
{'短评内容': '住了三天，位置很好，闹中取静，外面再吵再闹房间都很安静，卫生也很棒，每天有人来打扫，店家服务态度很好，详细的给你介绍入住的注意事项，下次来厦门还是会想住这家店。', '短评打分': 5}
{'短评内容': '如家小筑 真的有家的感觉 屋子的主题非常漂亮 老板和前台姐姐超热情 积极帮助我们解决问题 离海边也很近 周围吃的很丰富 这几天没饿过肚子hhh', '短评打分': 5}
{'短评内容': '就是厕所真的真的太小了，照片看上去很大呀！地理位置不错，在闹市区，我更喜欢比较宁静的地方', '短评打分': 3}
{'短评内容': '小店很干净，位置也比较好 找，离海边和公交站近，前台服务也很周到。', '短评打分': 5}
{'短评内容': '小店很干净，位置也比较好找，离海边和公交站近，前台服务也很周到。', '短评打分': 5}
{'短评内容': '環境好好吖，前台的美女好熱情，下次再來廈門，一定會再去這裡', '短评打分': 5}
{'短评内容': '酒店位置很好，出门到哪都方便。房间隔音有点差，旁边住客带了孩子，很吵闹', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
