{'短评内容': '好评！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店非常不错，环境很好，早餐样式很多，价格也很合理。总体来讲下次还会预定。', '短评打分': 5}
{'短评内容': '早餐很丰富，房间很干净，这次还给升级为贵宾房了，下次还是首选。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，可以，早餐也还好！还不错，可以，早餐也还好！还不错，可以，早餐也还好！还不错，可以，早餐也还好', '短评打分': 5}
{'短评内容': 'bnnfghm', '短评打分': 5}
{'短评内容': 'vbmbvcxzv', '短评打分': 5}
{'短评内容': '设施很好，房间很大很漂亮，但是服务可以做得更好', '短评打分': 5}
{'短评内容': '硬件很好，房间很大，环境非常漂亮，但是服务有待提高', '短评打分': 5}
{'短评内容': '酒店硬件不错！早晨丰富！下次过来晋江还会考虑入住！', '短评打分': 5}
{'短评内容': '酒店真的不错，下次来晋江还住国宾酒店', '短评打分': 5}
{'短评内容': '回家哈哈哈哈哈跟哥哥哥哥吃饭高会回家奶奶法规和姐姐你你你xfvbnncbnnmm said it had not been', '短评打分': 5}
{'短评内容': '凤凰计划经济坎坎坷坷和改革和经济困难时陪在你爸爸那边哥哥和姐姐家宝贝你好好过沟沟壑壑白白嫩嫩j', '短评打分': 5}
{'短评内容': '交通不太方便，其他都不錯', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店开业三年，比较新，房间不错比较大，房间内的设施还比较齐全。周围没有什么吃的，只能吃酒店的中餐或者自助餐。', '短评打分': 4}
{'短评内容': '味道重，灰层多。还没有空调。一晚500多的房费，竟然省空调费。非常之差的感受。', '短评打分': 2}
{'短评内容': '环境很好，早餐不错。', '短评打分': 5}
{'短评内容': '出差', '短评打分': 5}
{'短评内容': '早餐非常不错，房间也行，五星的配置。', '短评打分': 5}
{'短评内容': '很好，一楼有自助餐。', '短评打分': 5}
