{'短评内容': '很好的店家，开车接送我们，给升级了好房间，谢谢李老弟！', '短评打分': 5}
{'短评内容': '老板人不错，有点周折外理妥贴', '短评打分': 5}
{'短评内容': '整体感觉不错，早上还有早点吃，服务态度很好！', '短评打分': 5}
{'短评内容': 'The owner is really friendly. I got to have breakfast with him even it was too early. The location is not bad. It is walking distant to the old town and there are a lot of restaurants nearby. The room', '短评打分': 4}
{'短评内容': '总体很好哦！房间很有个性，入住效果很好。', '短评打分': 3}
{'短评内容': '家庭客栈，老板很好，她说：“国庆期间我们也不涨价，毕竟大家赚钱都不容易。”让我很感动。', '短评打分': 3}
{'短评内容': '总体还不错，楼上有早餐，本人是南方来，气候干燥有点适应不了，还有点高原反应，胸闷气短，晚上嘴干舌燥…', '短评打分': 3}
{'短评内容': '客栈很好，全木质建筑，老板热情', '短评打分': 3}
{'短评内容': '老板一家人非常热情，各方面条件都不错，是这几天住得最好的客栈了，点赞！', '短评打分': 5}
{'短评内容': '酒店是藏式风格的，挺不错，老板娘很热情，早餐也可以，晚上睡觉很安静。不足的地方是房间稍微小了点，另外就是门口店招灯晚上应该亮起。我们到的有点晚，跟着导航已经显示到达目的地，但因为黑灯瞎火的、酒店位置又有点背，转了好几个来回才找到。不过总体还是推荐！', '短评打分': 4}
{'短评内容': '选择可住的，住??特色的房间', '短评打分': 4}
