{'短评内容': '连续住了一星期，被奖励了两个苹果，受宠若惊。', '短评打分': 5}
{'短评内容': '这次房间里有苹果了', '短评打分': 5}
{'短评内容': '酒店早餐不错，空气质量也好，鸟语花香，在商业中心附近，吃东西也方便，唯一不足就是酒店网络不好，希望有所改观', '短评打分': 5}
{'短评内容': '位置不错！设备有些旧了，但总体还是舒适，晚上也算是安静，只是被子有些硬，一动就有响声，早餐也很简单。', '短评打分': 5}
{'短评内容': '酒店早餐相当丰盛，这个价位的酒店早餐一般没有这么好，环境很好，鸟语花香，空气质量很好，服务态度也很好，美中不足就是网络不太好，下次还住这里！', '短评打分': 5}
{'短评内容': '不错的酒店，环境很好', '短评打分': 5}
{'短评内容': '相当于芜湖的政府招待所，条件很好。庭院式宾馆，环境好。特别好的地方就是饭做得好，春节期间厨师也没休息。', '短评打分': 5}
{'短评内容': '还不错，下次还来。性价比很高，', '短评打分': 5}
{'短评内容': '酒店安静，早餐丰富，服务细心', '短评打分': 5}
{'短评内容': '该酒店干净整洁，卫生状况很好！交通也很方便，服务人员态度热忱，使宾客有宾至如归的感觉！以后还会来入住！非常满意，都是五颗星!', '短评打分': 5}
{'短评内容': '很好的宾馆，我们很喜欢  下次我们还会去住的，   花园也是很美的，我们大家都很喜欢这样的，谢谢！期待下次再去！', '短评打分': 4}
{'短评内容': '很好的宾馆  服务也是很好很好很好的    下次我们还会去住的，尤其是我父亲这样的老人家  宾馆的花园也是很美的，印象很深刻！！！', '短评打分': 4}
{'短评内容': '贴心的服务员，优美宜人的园林景观，可口的早餐，到芜湖首选就是铁山！', '短评打分': 5}
{'短评内容': '虽然是政府找到贵宾的 怎么感觉 那么滴破旧！？', '短评打分': 3}
{'短评内容': '一处不想离开的地方。。。。。。', '短评打分': 5}
{'短评内容': '房间很大很干净，隔音还须加强。院内环境优美，早晚散步很惬意', '短评打分': 3}
{'短评内容': ' 很好. 住了几次了, 感觉还是很好. 房间很大. 很舒服.', '短评打分': 3}
{'短评内容': '钟情于这个酒店N年了，房间条件一般，但超喜欢这酒店的环境，很安静，晚上散步不错', '短评打分': 5}
{'短评内容': '不错~~~~三百多可以的，环境也好，房间很大，晚上不会吵。', '短评打分': 5}
{'短评内容': '入住铁山宾馆，感觉很好。', '短评打分': 3}
{'短评内容': '室内干净舒适，室外环境很优美。浴室再改造一下就更好了。', '短评打分': 5}
{'短评内容': '一如既往的喜欢，安静（虽然房间没对面海汇好，环境一绝啊）', '短评打分': 5}
{'短评内容': '环境很好的酒店，据说中央领导人来也住这里，就是出去打车要走一段路。网速超快，下载速度在500K－1M，就是早饭质量太差了点。', '短评打分': 5}
{'短评内容': '位置环境都不错，特别是它在山坡上，自然环境比其他的酒店好多了，但是服务的人员可能还是国企的意识，所以并没想象中那么好~~~', '短评打分': 5}
{'短评内容': '4星级，环境还可以，可是服务非常一般，尤其是这儿接待政府会议比较多，散客住在那儿颇不受重视，自助餐花样很少，没什么选择，房间内设施也比较陈旧了，比起正儿八经的四星级差太多了。性价比低', '短评打分': 1}
{'短评内容': '很好！。。。。。。。。。。。。。。。。。。。。。。下次换来住。', '短评打分': 5}
{'短评内容': '很好！。。。。。。。。。。。。。。。。。。。。下次换来', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是房间与房间的隔音效果一般，周围环境相当不错啊', '短评打分': 5}
