{'短评内容': '前台服务很热情，该宾馆性价比很好！交通方便，我住德是单人间，空间相对还是可以的。这就是我以后的常住点了！', '短评打分': 5}
{'短评内容': '早餐不错，阿姨很热情，位置还挺好，停车场不大，但是一般没问题。', '短评打分': 5}
{'短评内容': '酒店环境舒适 服务周到', '短评打分': 5}
{'短评内容': '挺好得 服务态度也很好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '一般吧，房间没有窗。', '短评打分': 3}
{'短评内容': '卫生条件差，房间太小，和照片上的不一样', '短评打分': 1}
{'短评内容': '卫生，卫生，卫生床单一块块脏东西没洗干净，这一晚上都没脱衣服睡的。估计是卫生最差的一个连锁酒店，影响品牌形象啊。', '短评打分': 4}
{'短评内容': '服务还可以', '短评打分': 4}
{'短评内容': '床大，卫生，空调热，服务员态度好，推荐入住。', '短评打分': 3}
{'短评内容': '很好，下回有机会再来', '短评打分': 3}
{'短评内容': '很好。有机会下次再来', '短评打分': 3}
{'短评内容': '非常好，还带早餐，希望下次还来！', '短评打分': 3}
{'短评内容': '不错环境好，还有早餐', '短评打分': 3}
