{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店环境挺好满意', '短评打分': 5}
{'短评内容': '这次是带着妹妹出游，因为行程安排准备第二天去南山，所以感觉酒店离景区稍微近点，看网上评论不错就定了这间酒店，当天到达酒店已经是晚上8点多钟了，去哪儿网订了闪住，不用付押金，并且办理入住也很快。180度海景房安排在五楼，晚上看不到海，不过很安静，第二天早上阳光明媚，大海就在眼前，推开阳台门真的是美景尽收眼底，果断让妹妹在阳台上臭美了几张，房间环境和设施也都不错，小朋友晚上还兴奋的泡了个泡泡浴，说说酒', '短评打分': 5}
{'短评内容': '酒店住的非常舒服，很赞', '短评打分': 5}
{'短评内容': '可以的选择！', '短评打分': 5}
{'短评内容': '酒店不错，自助早餐不错，性价比高。', '短评打分': 5}
{'短评内容': '刚刚入住，以后再也不来了。sb酒店', '短评打分': 1}
{'短评内容': '第二次入住，很不错的，离海边近，离机场也不远，泳池很大，这边的沙滩沙子细腻一点，最后一天了，要走了，很喜欢这个酒店，更喜欢三亚这个城市。', '短评打分': 5}
{'短评内容': '酒店总体上还可以，但是两件事让我很不舒服。一个是床单有块污渍，因为没有及时发现，之后发现的时候居然说是我们弄的。可见酒店的培训与管理有些问题。另外大堂放了个自行车，孩子玩的时候受伤了，不开心。', '短评打分': 4}
{'短评内容': '不错啊，挺好的，离海边近，一分钱一分货，挺满意', '短评打分': 5}
{'短评内容': '挺好的，性价比高。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的，性价比高。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '太慢了，预定确认太慢了。', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '京东购物很方便，送货快。产品很不错。', '短评打分': 5}
{'短评内容': '还可以还可以', '短评打分': 4}
{'短评内容': '11111111111', '短评打分': 5}
{'短评内容': '三亚湾的酒店，出门就是大海，风景很不错！', '短评打分': 5}
{'短评内容': '东西好吃，景色也很好，就是设施稍微老旧，但是不影响多少体验，整体还是很不错的', '短评打分': 5}
{'短评内容': '蛮方便的，对比了几个旅游的网站，还是京东价格最划算，真是不错！', '短评打分': 5}
{'短评内容': '价格实惠，设施很旧了，不过酒店挺大，绿化不错，就靠着海边', '短评打分': 5}
{'短评内容': '每次到三亚，必住几天三亚湾，每到三亚湾，必住戴斯，因为戴斯的酒店入住价格合理，服务一流，早餐合口味，泳池干净，酒店对着的海滩宽阔。也记不清住了几次戴斯酒店了，今次再入住时前台的服务员一查说我们已经多次入住并立即帮我们免费从升级到高级海景房。发现三亚湾愈来愈美，绿道建好了，海滩很干净，没有了临时摆摊和沙滩摩托的干扰，漫步沙滩真是一件非常惬意的享受。退房时才发现这次没再收11元/人的政府价格调节基金，问其原因说是取消了，感觉三亚向国际旅游岛的美誉更进了一大步。', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯，，，还行，送机比较好 酒店干净！', '短评打分': 5}
{'短评内容': '很不满意，什么破酒店啊！', '短评打分': 1}
{'短评内容': '这个真的不错 性价比很高 就是地理位置在机场 可能稍微有点不方便', '短评打分': 5}
