{'短评内容': '非常温馨', '短评打分': 5}
{'短评内容': '很不错，出差不错', '短评打分': 5}
{'短评内容': '出差还可以，', '短评打分': 4}
{'短评内容': '还不错，就是空调要晚上才开', '短评打分': 4}
{'短评内容': '老旧！不值这个价', '短评打分': 2}
{'短评内容': '设施陈旧', '短评打分': 4}
{'短评内容': '还可以吧。宾馆的设施稍微有点旧了。不过地段很好。离萧山汽车总站很近。大概走个十分钟就能到。。就是房间的窗户密合不严。漏冷风进来。。', '短评打分': 3}
{'短评内容': '环境，地点不错，价格也实惠！', '短评打分': 5}
{'短评内容': '附近商圈环境不错的酒店 有早餐就更好了', '短评打分': 4}
{'短评内容': '跟同事一起出差客户请吃饭的饭店旁边，正好图方便住下的，酒店周边环境还不错，不过内部设施都比较老了，临时住一晚将就吧。', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '订了三间  总体还不错', '短评打分': 3}
{'短评内容': '总体还不错，价格也合理', '短评打分': 3}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '感觉还可以不过，地点有点不太好  靠近大山', '短评打分': 5}
{'短评内容': '不错 ， 位置不错，  距离汽车站和火车站都很方便', '短评打分': 5}
{'短评内容': '不错  ， 位置很好 ， 离火车站和汽车站都比较近', '短评打分': 5}
{'短评内容': '房间还好，安静', '短评打分': 3}
{'短评内容': '环境很优雅，设置还好，就是房价太贵，能稍微便宜点更好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '好，安排老外入住了，说挺好的，还算干净，对得起这价了', '短评打分': 5}
{'短评内容': '＋房间设施太陈旧', '短评打分': 3}
{'短评内容': '酒店性价比较高', '短评打分': 3}
{'短评内容': '环境还是z不错的，床比较人舒适，性价比很高，交通方便\n', '短评打分': 5}
{'短评内容': '开元阳光有点陈旧，设施还过的去，商务房上网收费偏高，很不合理！', '短评打分': 5}
