{'短评内容': '饭没熟，上金顶方便，看到日出了', '短评打分': 4}
{'短评内容': '位置好找，条件整体很好。比较满意！', '短评打分': 5}
{'短评内容': '位置好找，条件整体很好。比较满意！', '短评打分': 5}
{'短评内容': '酒店位置很好找，导航直接过去了，离报国寺很近。卫生条件挺不错，值得推荐', '短评打分': 5}
{'短评内容': '早餐可以，能加床', '短评打分': 5}
{'短评内容': '还好吧，这个价钱这么大的房间绝对值了，非常赞，周边吃的很多，来峨眉山玩住这里挺好，满意，下次来也会住这！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常满意的一家酒店', '短评打分': 5}
{'短评内容': '电梯该换了，老坏，总走楼梯的', '短评打分': 4}
{'短评内容': '下面有个幼儿园有点吵，早上退房服务员声音很大很吵', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '酒店还不错，装修比较新，就是床垫睡着不舒服，磕背', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '房间大价格会合适，很不错', '短评打分': 3}
