{'短评内容': '哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '真的很好啊 ', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '酒店地理位置好，环境不错，很清净。房间干净、温馨舒适，服务员很贴心，送了小礼物，晚上还有白米粥，挺好喝的，早餐品种挺多，味道蛮好的。', '短评打分': 5}
{'短评内容': '酒店环境很好，设施齐全，房间布局完美，但周围交通不太方便', '短评打分': 5}
{'短评内容': '酒店还可以，不过楼下的冰火楼包厢服务态度极差，菜的味道不行', '短评打分': 5}
{'短评内容': '京东订酒店性价比很高，不错的酒店！', '短评打分': 5}
{'短评内容': '服务很好，很贴心！！！！！', '短评打分': 5}
{'短评内容': '服务差 环境差 早晨差 多了不想说', '短评打分': 5}
{'短评内容': '在酒店附近探望亲人，订的标准房间，大堂小帅哥免费帮升级高级房，服务很贴心，特别推荐哦！', '短评打分': 5}
{'短评内容': '房间虽小，五脏俱全，干净，装修有格调，夜间还有甜品～很不错', '短评打分': 5}
{'短评内容': '非常满意，晚上有送报纸和小礼物，还有糖水吃，非常贴心，谢谢！', '短评打分': 5}
{'短评内容': '房间还行吧，比起前几年有点老了', '短评打分': 5}
{'短评内容': '环境好，卫生好', '短评打分': 4}
{'短评内容': '酒店环境很好，服务也很周到，干净卫生。', '短评打分': 5}
{'短评内容': '服务周到，卫生。', '短评打分': 5}
{'短评内容': '设施齐全，环境清净', '短评打分': 5}
{'短评内容': '很好的酒店到省政府办事很方便的', '短评打分': 4}
{'短评内容': '不错，睡的很好，会再来', '短评打分': 4}
{'短评内容': '不错，很安静，会再来', '短评打分': 4}
{'短评内容': '套房很大很舒适！不错！', '短评打分': 3}
{'短评内容': '房间很舒适，可就是不太大！', '短评打分': 3}
{'短评内容': '的确，如其他入住的人所说的，床很舒服，这没说的。\n由于第二天早上出发的早，让酒店门童给安排出租车，当时被告知如果是订车的话，出租车一般要收30RMB的叫车费，想一想酒店位置偏，一大早应该不容易打到车，就同意了。第二天早上，门童记错了时间，导致出租车来完了20分钟。等我们上了车后，司机却下了车去跟门童在说些什么，坐在后面的同事发现是在给门童递钱。。。', '短评打分': 5}
{'短评内容': '地方比较安静  装修的很有感觉  特别是床很舒服哦  以后外出需要会继续住哦', '短评打分': 5}
{'短评内容': '环境很好  房间装修的很精致  地理位置比较安静', '短评打分': 5}
{'短评内容': '非常好的一家酒店，舒适，景观优美。下次可考虑继续入住', '短评打分': 5}
{'短评内容': '酒店品质不错，就是我这个房间网络有问题，工作人员搞了好久才连上，不过第二天还是连不上', '短评打分': 5}
{'短评内容': '房间不大，但很精致干净  含双早  还不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务员彬彬有礼，住的很舒服，但是好象专门接待台把子旅行团，吃早餐全是台把子，没地方坐了。交通没有车是不太方便', '短评打分': 5}
{'短评内容': '很新装修典雅的酒店，周围环境开阔空气好，距新省府只有几十米。到二楼餐厅吃饭，湘菜做得不错，本来找零39元，找回二张20元的新钞，老板很会做，赞一个，但最好自己有车到该酒店，否则不方便有点远了。', '短评打分': 5}
{'短评内容': '很精致很新的酒店，各级服务人员服务到位，房间装修也不错，那个床褥睡觉好舒服。网速非常快，下载居然可以达到2M多。二楼餐厅装修豪华，虽有点小贵，但口味很不好。唯一缺点就是交通不方便位置太偏了', '短评打分': 5}
{'短评内容': '酒店不算很大，硬件很不错，床果然很舒服，很安静。2天的优惠价很强大。\n缺点就是位置偏避，交通不便，若按500多元/天的价格就明显偏高了，另外早餐水准要有所提高，吃早餐地方太小，7点到餐厅都坐满了人，没地方坐。', '短评打分': 5}
{'短评内容': '饭店很新,装潢典雅,感觉不错,客房布置很精致,饭店所处位置有些偏,购物不方便.', '短评打分': 5}
{'短评内容': '酒店环境不错，就是交通还不是很方便，已改下次还会来', '短评打分': 5}
