{'短评内容': '环境优美，服务周到，床很舒服，停车方便', '短评打分': 5}
{'短评内容': '酒店环境不错，但管理还有待提高', '短评打分': 5}
{'短评内容': '花园式酒店，设施不错，紧邻台儿庄车站（李宗仁纪念馆），离古城西门不远。停车方便。只是院落水池卫生较差。 ', '短评打分': 5}
{'短评内容': '酒店硬件还是不错的。挺满意！', '短评打分': 5}
{'短评内容': '卫生很好，环境优美', '短评打分': 5}
{'短评内容': '卫生，环境，服务好', '短评打分': 4}
{'短评内容': '很喜欢这家酒店，环境好！', '短评打分': 5}
{'短评内容': '酒店很好，非常不错，以后还会常住', '短评打分': 5}
{'短评内容': '硬件服务都不错。', '短评打分': 5}
{'短评内容': '硬件服务都不错。', '短评打分': 5}
{'短评内容': '环境确实不错', '短评打分': 5}
{'短评内容': '早餐差了，其他还可以', '短评打分': 4}
{'短评内容': '都不错，卫生都几好?！', '短评打分': 5}
{'短评内容': '干净，卫生，服务员态度很好。', '短评打分': 3}
{'短评内容': '一般情况，服务很一般。', '短评打分': 3}
{'短评内容': '枣庄清御园君廷酒店枣庄清御园君廷酒店', '短评打分': 5}
