{'descr': '还好吧，设施一般', 'star': 4}
{'descr': '大位置不错，但周边还是脏乱差的，自己人住住可以。必竟价格优势。', 'star': 3}
{'descr': '离金台夕照地铁站大概十几分钟走路，标间空调太老了，噪音挺大的，其他方面挺好的', 'star': 4}
{'descr': '还不错，好评～推荐大家住哦～～～很适合商务出差～～～环境和卫生都还不错～～～要是有免费早餐更好啦～～', 'star': 5}
{'descr': '酒店位置非常可以，附近就是大裤衩儿，去财富中心办事很方便', 'star': 4}
{'descr': '还不错，可以住，可以住，可以住，可以', 'star': 1}
{'descr': '还可以。毕竟在这个地段。', 'star': 4}
{'descr': '比想象中好很多，性价比很高', 'star': 5}
{'descr': '其他都好，就是不像网上说的离英国大使馆签证处很近，步行至少50多分钟', 'star': 5}
{'descr': '还不错！', 'star': 5}
{'descr': '还不错的酒店', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '房间过于小了，估计只有10平米，没有介绍上说的那么大。隔音也不是很好', 'star': 4}
{'descr': '离大裤衩非常近，办事很方便，就是房间比较小，不过没办法，在北京这个国际大都市，花这样的价钱，又要住的近，实在是选择不多，性价比还算是可以吧', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '环境很好', 'star': 5}
{'descr': '稍有点偏。  不胡同里。。。', 'star': 4}
{'descr': '还行吧。。。不过我通知不太满意。。不如展春园那家好。。', 'star': 4}
{'descr': '环境还不错，前面停车还方便。\r\n房间干净。下次还会再住', 'star': 5}
{'descr': '还不错了，至少还算干净，但是房间没有吹风机，要去前台拿（打电话问的时候说是有的。。。）\n\n卫生间木有肥皂哦~ 不过有沐浴液之类的\n\n说是有无线网，实际上无线网是用不了的。。。有线还要前台开通', 'star': 5}
{'descr': '这家酒店价格还可以，就是关门开门时声音太大。卫生间多几个去臭的就好了。', 'star': 5}
{'descr': '除了隔音差，其他都还行。不过连隔壁房间住客的手机震动我都能听到的酒店真是第一次碰到，不幸中的大幸是隔壁住客是中东人，我完全听不懂他说啥，当听催眠曲了~~', 'star': 5}
{'descr': '市区里面的酒店,闹中取近的地方.\n标准的如家酒店，装修是一样的风格', 'star': 5}
{'descr': '不错，很好，位置夜黑规范化郭晶晶东方红国 豪华房改呵呵 很好的话', 'star': 5}
{'descr': '这是我住过最差的如家，环境差，脏，墙壁不隔音。', 'star': 1}
{'descr': '很安静，感觉不错。商务大床房，略有点小，不过感觉比较干净。', 'star': 5}
{'descr': '如果追求实惠，可以选择；如果追求品质和感受，就选择其他星级酒店。', 'star': 5}
{'descr': '地理位置不错，周边环境也可以，作为商务型酒店，性价比应该算是可以。以后还会利用。', 'star': 5}
{'descr': ' 服务很好', 'star': 3}
{'descr': '距离使馆区近，交通便利方便。房间环境好！', 'star': 5}
{'descr': '这次出差在附近，主要是方便。房间还行，干净。', 'star': 5}
{'descr': '位置很好，后面就是央视大裤衩，地铁10号线就在附近，交通出行也特方便，紧靠cbd，驻华使馆区，重要是价格很便宜。推荐。。', 'star': 5}
{'descr': '房间很小隔音差', 'star': 3}
{'descr': '比较经济实惠，不过房间光线和透气不是太好！', 'star': 5}
{'descr': '房间有装修的味道，其他还好，地段不错，总之性价比高啊', 'star': 3}
{'descr': '这次住的三楼，电梯到了3楼右转下楼再上楼转到像个阁楼的地方，建议不要住三楼，还有隔音太差.', 'star': 3}
{'descr': '酒店不错，交通比较方便，至少到大使馆区是比较方便，最多14块钱能打的到大使馆区。\n坐公交车也是很方便的。', 'star': 5}
{'descr': '比较干净，就是墙壁隔音的效果比较差。\n早餐么，一般吧，还凑合。', 'star': 5}
{'descr': '住的很舒服，东西很齐全，就是靠门口的房间晚上有点吵，下次往里面一点就好了', 'star': 5}
{'descr': '酒店蛮干净的，交通也挺方便的。\n只要跟出租车司机说，京广桥往东方向600米，就可看到右手边酒店的灯框。\n楼层比较矮，我住的是一楼，窗户几乎可以忽律没有。\n里面的布置还是比较温馨的，应了如家。\n早饭15元自助，马马虎虎吧。', 'star': 5}
{'descr': '  酒店服务很好！', 'star': 3}
{'descr': '地理位置相对较偏，除此以为，其他的都不错', 'star': 5}
{'descr': '山东同事来北京出差，在京广桥附近，交通很便利，离地铁等都很方便。如家的品质可以的，价格适中，推荐入住。', 'star': 5}
{'descr': '帮同事第二次定这个酒店，住宿环境可以的，符合如家一贯的品质。推荐。', 'star': 5}
{'descr': '环境不错，去哪也还是蛮方便的，离地铁站不远', 'star': 5}
{'descr': '这家如家是我住过最小的如家，家具非常的陈旧。最大问题在于房间还不隔音，隔壁房间说话声都能听得一清二楚。', 'star': 1}
{'descr': 'good 地点很好。办事很方便。还会入住的。', 'star': 5}
{'descr': '如家京广桥店周围交通便利,酒店环境尚可,性价比高.推荐大家入住.', 'star': 3}
{'descr': '酒店不错，位置也很好，离我们公司比较近的。', 'star': 5}
{'descr': '，还可以，就是要18点退房就好了', 'star': 3}
{'descr': '地点方便，很好找。就是门缝里塞进来的小卡片很多', 'star': 5}
{'descr': '就在大裤衩背后~~~地点很好找，只是小卡片多了一些~~~', 'star': 5}
{'descr': '该店服务人员服务态度十分到位，让我有到家的感觉，下次我还上如家。该店离地铁只要10分钟路程，方便。', 'star': 5}
{'descr': '好，温度太高，服务很好。地图标注不明显。有停车位但是进院子不好进。', 'star': 5}
{'descr': '帮朋友订的，如家应该没有任何问题的,就找离办事的地方近的', 'star': 5}
{'descr': '不错的不错的不错的不错的不错的不错的不错的不错的不错的', 'star': 5}
{'descr': '屋子暖和   隔音太差   床单被罩好像不干净  不过酒店估计都这样  表面看着干净', 'star': 1}
{'descr': '酒店位置还可以，处在商业区，方便 ，去CBD办事方便。 ', 'star': 5}
{'descr': '入住不爽：1、隔声效果极差；2、服务态度一般；3、被子太厚容易上火；4、黄色小条太多；5、给点面子，以后的缺点在此省略。\n', 'star': 1}
{'descr': '位置不好找，好像是厂房改建的，房间里还有一股味，但是工作人员服务态度还是不错的！', 'star': 1}
{'descr': '如家一贯的干净整洁。\n但酒店的隔音效果不好，隔壁连咳嗽都能听见，宾馆不能重新盖，还是降降价吧。', 'star': 5}
{'descr': '跟其他差不多，都还可以吧！就是洗手间味道较重，影响睡眠，可能就我那一间房的问题吧。\n\n另外地点不太好找。', 'star': 5}
{'descr': '比较安静，房间整洁，但隔壁打开电视能听到，有点吵人。推荐', 'star': 5}
{'descr': '酒店所在地理位置交通很便利，价格也还合理，因为预订当天下午没能及时到店，所以打前台电话帮忙保留房间，前台服务人员态度还不错，房间还可以，只是有一股烟味，可能之前客人留下的没处理干净，总得来说还不错。', 'star': 5}
{'descr': '挺好的，离新光，万达都很近，交通方便，服务也可以', 'star': 5}
{'descr': '挺好！', 'star': 3}
{'descr': '合格的商务酒店，斜对面是麦当劳，在一个院子里面，不过还算好找。', 'star': 5}
{'descr': '还不错了，卫生都不错，就是墙板太薄了，开始看了评论怕被噪音扰到，入住那2天隔壁都好安静，庆幸，哈哈。。。。位置还是不错的，CBD 天安门 北京站', 'star': 5}
{'descr': '酒店很干净整洁，但是房间实在很小，而且有一股霉味！', 'star': 3}
{'descr': '在居民楼院内，有家的感觉。坐地铁的话，下车得走上几分钟的路。总体感觉还是挺好的。', 'star': 5}
{'descr': '酒店不错，内部环境很好，房间很舒适。服务态度也很好。下次还会入住。', 'star': 5}
{'descr': '服务一般，胜在位置不错，交通很方便。房间挺干净的，就是比较憋屈。不过在这寸土寸金的地方，也算可以了', 'star': 5}
{'descr': '赞位置好，但隔音差！能在大裤裆下面，也算是便宜的酒店了', 'star': 5}
{'descr': '哈哈，刚才发错了，上次帮朋友订的，在CBD办事，别的地方没房了，找了半天只有这里有，位置和交通宵错，只是不熟那条街的人还不大好找！其实就在小庄那，下次有去的朋友打车说去京广桥东200米，小庄那就找到了！', 'star': 5}
{'descr': '交通很方便！对安阳不熟的朋友住这比较方便!', 'star': 5}
{'descr': '房间隔音确实查 其他都一如既往的好 就是晚上有大小册子的 像书签一样 不用说都知道是什么了吧 哎 无语', 'star': 5}
{'descr': '＋前台服务周到热情', 'star': 3}
{'descr': '这个如家不错 挺满意 就是隔音效果差', 'star': 3}
{'descr': '出差交通方便，走着就到目的地了，交通成本省了，房间很干净，服务也都还可以。周围交通还算方便，但周边的吃饭的地方不是很多。价格相比较其他的如家快捷，有些小贵。\n', 'star': 5}
{'descr': '连锁经济酒店 各方面没问题\n位置有些偏 还算好找\n\n.............................................................\n', 'star': 5}
{'descr': '房间设施一般，卫生做的太差。。。隔音效果差  不建议入住此如家。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '服务不错， 在小区里， 幽静. 就是离地铁站需要走一段路， 另外的士司机一般都找不到， 我们从车站打车打了一个多小时都没有找到。 没有窗户的房子没有其他的好', 'star': 5}
{'descr': '出差就住如家，方便，便宜，安全！总之样样都好，推荐！', 'star': 5}
{'descr': '商务大房都没电脑。有点说不过去啊。', 'star': 3}
{'descr': '经常在北京出差，如家也住习惯了。每次都会找出差地方近的如家。还行吧。', 'star': 5}
{'descr': '服务非常好，房间很干净，如果要吹毛求疵的话就是电器有点老。', 'star': 5}
{'descr': '房间很干净，服务也都还可以。周围交通还算方便，但周边的吃饭的地方不是很多。', 'star': 5}
{'descr': '房间有点小 服务员很好 地方有些难找 不过很推荐', 'star': 5}
{'descr': '大位置可以，就是找的时候麻烦了一点，指示的太少', 'star': 5}
{'descr': '是给公司客人安排的，我也不知道情况，应该还不错。', 'star': 5}
{'descr': '比较远啊，以前给客人安排，没人说什么，我也不知道情况，现在有人反映一般。', 'star': 5}
{'descr': '性价比凑合，但是离单位比较远，所以每次都希望找个方便的。', 'star': 5}
{'descr': '地理位置方便，价格也很便宜。只是周围吃东西的地方太少。总的来说还是很不错的。员工很热情。', 'star': 5}
{'descr': '一般的快捷酒店，服务有点不是太好，将预定的两间留了一间', 'star': 1}
{'descr': '地理位置方便 硬件环境一般 隔音效果太差 早晨种类 不够丰富', 'star': 5}
{'descr': '床上明显有人睡过 有根长头发 床上明显有人睡过 有根长头发 床单有睡过的痕迹', 'star': 1}
{'descr': '离单位很近，安排客户住宿来公司非常方便。而且比较好找。', 'star': 5}
{'descr': '卫生和早餐不是太好，而且我因为晚到打电话保留后，竟然将我预定的两间只留了一间，有点不太合适。', 'star': 1}
{'descr': 'ok,还可以，就是指示牌不明确，服务态度还可以', 'star': 5}
{'descr': '因为住在一层，楼道里只要有客人走，就会影响到，隔音差些，其他的还好', 'star': 5}
{'descr': '房间较小，隔音较差，相对性价比低了一点。还是推荐的。', 'star': 5}
{'descr': '还行吧，服务不错，也挺干净的，不过隔音非常不好，比较潮，手机信号也是相当的不好', 'star': 5}
{'descr': '环境不错，交通便利，就是隔音效果差，早上清洁阿姨的车太恐怖了', 'star': 3}
{'descr': ' 酒店虽小，还算舒适。', 'star': 3}
{'descr': '非常不专业的前台，房间隔音异常的差，性价比不高，不会推荐。', 'star': 1}
{'descr': '还不错，离客户的公司比较近。酒店设备有点陈旧，不过还过得去', 'star': 5}
{'descr': '房间内设施完备 很温馨 但隔音实在太差了 隔壁聊天听得一清二楚 搞的前半夜基本没睡', 'star': 3}
{'descr': '就是近，比较方便。而 且 定 了好 几次了   ', 'star': 5}
{'descr': '态度很好', 'star': 3}
{'descr': '房间隔音比较差，有点受不了，隔壁的声音都听的一清二楚。', 'star': 1}
{'descr': '给客户安排的，已经住过一次了。具体情况不太清楚，离公司近，价格相比是便宜些', 'star': 5}
{'descr': '给公司同事订的。离公司近，比较方便。之后又给订了一次，既然客户没说改地，应该还可以吧', 'star': 5}
{'descr': '地方挺方便,但就是附近吃的地方少点', 'star': 3}
{'descr': '这个酒店位置的确是很好，很容易找，但是隔音效果实在是太差了', 'star': 1}
{'descr': '不错，简单干净。\n就是隔音效果太差了，半夜无法入睡。\n麻请改善。', 'star': 5}
{'descr': '房间比较小，隔音效果不好，地理位置不错,乘车方便', 'star': 5}
{'descr': '房间比较小，隔音效果不好，商务大床的窗户和对面的窗户紧挨着。位置还不错，早餐很一般！', 'star': 3}
{'descr': '地理位置不错，就是酒店略有点隐蔽，呵呵其他都不错，品质一如既往', 'star': 5}
{'descr': '地理位置好，周围环境好，就是有点不好找。', 'star': 5}
{'descr': '窗户太小，通风不好，房间隔音太差了，其它还好', 'star': 1}
{'descr': '房间隔音太差了！窗户小，通风不好！其它还好', 'star': 1}
{'descr': '地点相当不错，在很僻静的院子里，比较安静一点，唯一缺点是不太好找，开车转了好几个弯才进去。另外性价比还不错。', 'star': 5}
{'descr': '房间很干净', 'star': 3}
{'descr': '干净，快捷，方便，不错，下次去还推荐同事去住，位置在京广桥附件，能看到铁裤衩', 'star': 5}
