{'descr': '走去车站很方便，设施和想象的差太多，总的来说还可以吧', 'star': 4}
{'descr': '交通方便，房间比较大，但是隔音效果不是很好，另外楼层内房间布局不太好，找半天都没有找到自己的房间号', 'star': 4}
{'descr': '服务不错。临湖。', 'star': 5}
{'descr': '路边，真的好吵！！！不过离火车站近', 'star': 4}
{'descr': '离火车站就四五分钟方便，房间也没有卫生干净', 'star': 5}
{'descr': '感觉整体来看看还不错 但是这个价格和这个窗子我很不舒服 另外装修也不是我很喜欢的类型  倒不如说算是勉强能接受的情况', 'star': 5}
{'descr': '太差劲了，设施老久，布局不合理，周围环境差', 'star': 1}
{'descr': '房间很好，就是没机会住上就走了！', 'star': 5}
{'descr': '666666666', 'star': 5}
{'descr': '前台胖子服务态度差.说话臭', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '我住的是汉庭酒店火车站店，我敢肯定！这是我这辈子住的最最烂的酒店之一。价格还很贵。有图为证，希望过来人吸取我的亲身经验，不要去那里住。', 'star': 5}
{'descr': '环境很好，装修风格很棒，给人很新鲜的感觉', 'star': 4}
{'descr': '设施齐全、整洁有序。', 'star': 4}
{'descr': '总的来说地理位置靠近火车站，比较方便，走过去五分钟，周边也有不少吃饭的地方，就在玄武湖旁边，环境还不错，但是酒店的设施有点旧了，卫生间的声音太大了。', 'star': 3}
{'descr': '酒店性价比还不错，而且靠着玄武湖，早晨起来散步方便，但是还是有点味道，虽然是很多酒店都有的问题，不过服务态度还是不错的，建议大家入住。', 'star': 3}
{'descr': '完全颠覆对汉庭酒店的看法，管理水平下降太快，已经沦为超低端旅店了。酒店破旧，味重。', 'star': 3}
{'descr': '幫父母定的，交通很方便，設施也不錯。', 'star': 4}
{'descr': '整体比较干净，还蛮好的，离火车站比较近', 'star': 4}
{'descr': '到南京火车南站很便利', 'star': 3}
{'descr': '还行', 'star': 4}
{'descr': '酒店位置不错，就在南京火车站对面。服务生态度也好，房间干净，出差中转的不错选择', 'star': 5}
{'descr': '比较干净，稍有气味，位置离火车站很近，很方便', 'star': 5}
{'descr': '不错哦', 'star': 3}
{'descr': '酒店一般吧', 'star': 3}
{'descr': '汉庭嘛。估计都一样。还行，没什么特别好说的。就住了一晚', 'star': 5}
{'descr': '酒店前台服务很好，早餐一般，因所住房间临街有点吵。南京火车站出站右手走路大约走个几分钟，莫168酒店对面。', 'star': 5}
{'descr': '干净整洁，早餐也不错，虽然不包含在房费里，加上交通便利，是经济型酒店之首选。', 'star': 3}
{'descr': '因为是去接一位夜晚到南京的客人，所以选择了这家店，挺好的，离火车站很近，附近有KFC和麦记，酒店有免费停车位，很方便。', 'star': 5}
