{'短评内容': '方便，里面设施还是有点旧', '短评打分': 5}
{'短评内容': '没有早餐，适合带孩子，酒店周边吃饭方便，有停车场', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间挺大，出行购物都很方便，也很容易找', '短评打分': 4}
{'短评内容': '酒店还不错，周边环境好，卫生条件也不错，非常安静，设施齐全，服务极时，内部构造简洁明了，价格适中，适合旅行体息。', '短评打分': 5}
{'短评内容': '这个还是不错的，恩施也很不错，就是物价比省内其他位置高，交通算是方便，毕竟有高铁，避暑的好选择，哈哈。。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '涨价太多。', '短评打分': 4}
{'短评内容': '……价格高了', '短评打分': 4}
{'短评内容': '房价高了!', '短评打分': 4}
{'短评内容': '还行，贵', '短评打分': 5}
{'短评内容': '还下错，小贵', '短评打分': 5}
{'短评内容': '价格有点偏高，卫生不咋的，床单几天都没给我换，有点吵、148一晚居然不带早餐。', '短评打分': 4}
{'短评内容': '房间还可以就是无线网太差', '短评打分': 3}
{'短评内容': '好很好的酒店……以后去了还去', '短评打分': 3}
{'短评内容': '房间还行就是放假隔音不是很好', '短评打分': 3}
{'短评内容': '干净整洁，服务不错。房间暖风不太给力。', '短评打分': 3}
