{'短评内容': '老板人不错，亲自接送到客栈，房间中规中矩，在古城内', '短评打分': 5}
{'短评内容': '总体感觉很好，老板态度好', '短评打分': 5}
{'短评内容': '感觉很安静，环境还不错，这个价钱算是挺实惠的了，老板人也很好，还有接送。', '短评打分': 5}
{'短评内容': '位置好..老板人也不错...', '短评打分': 4}
{'短评内容': '环境不错，四合院结果，曲径通幽，闹中取静。', '短评打分': 5}
{'短评内容': '客栈老板人不错  地理位置很好找 北门进去一直走  他家店铺还被好多游客误认为是景点  门口拍照的特别多', '短评打分': 4}
{'短评内容': '挺不错的酒店，价格比较公道，老板是一个有风度的人。院子里面环境不错，装修也很有感觉。', '短评打分': 5}
{'短评内容': '只能说是个农家院，算不上宾馆', '短评打分': 3}
{'短评内容': '老板很客气，请我们喝酒', '短评打分': 5}
{'短评内容': '我是给父母定的，老板去火车站接的，十分感谢，而且因为不是旺季还给升级了房间，十分满意，饭菜也不错，下次我自己也去这里住', '短评打分': 5}
{'短评内容': '客栈位置很好，离北门很近，也很好找。外面很热闹，客栈却很安静，土炕睡着很舒服。洗漱用品有点简陋，可以自己带。', '短评打分': 5}
{'短评内容': '挺好的  干净卫生 服务好', '短评打分': 5}
{'短评内容': '老板态度很好呢，房间也干净，很不错哦', '短评打分': 5}
