{'短评内容': '位置好，离武侯祠和锦里特别近', '短评打分': 5}
{'短评内容': '第二次去住了，市中心，交通方便，服务态度超级好，干净卫生', '短评打分': 5}
{'短评内容': '房间挺大的', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '前台非常热情，酒店装修很格调。位置不错，赞一个！', '短评打分': 5}
{'短评内容': '很有特点。服务态度好。周边环境很便利，里耍都和363都近', '短评打分': 5}
{'短评内容': '很好客栈，虽然楼内稍显有点年头，但是房内干净，地理位置好，附近有名火锅很多，离锦里武候祠走路10分钟多点。再加上成都景区直通车，这里到那都方便。服务很好，人家知道的地方会告诉你怎么走或打车大约价格。晚上也安静。果断续房一天。', '短评打分': 5}
{'短评内容': '环境不怎么卫生', '短评打分': 2}
{'短评内容': '服务还可以，环境不好，很脏', '短评打分': 3}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '空调开始不好用，回来好了。', '短评打分': 5}
{'短评内容': '性价比特别高的一家客栈，现已更名为酒店。房间大约有30平方米，除常规配备外，还配备了茶桌、牌桌、电脑等，床也是非常干净，总之超乎意料之外，棒极了！', '短评打分': 5}
{'短评内容': '挺不错的酒店，很有特色', '短评打分': 5}
{'短评内容': '距离锦鲤很近，客栈位于一个小区内，房间比较安静，有费地下停车很方便，只是客房里要么灯泡坏了没有及时更换！要么浴巾、毛巾、床单清洗不干净！以后不会再入住。', '短评打分': 3}
{'短评内容': '环境比较陈旧，卫生间不好用，老是爱堵，再去不会订了。', '短评打分': 4}
{'短评内容': '酒店位置算挺好。就是环境一般，有待改善', '短评打分': 4}
{'短评内容': '酒店设备差，环境差，完全不推荐！', '短评打分': 2}
{'短评内容': '酒店十分差，环境设施都极差，完全不推荐！', '短评打分': 2}
{'短评内容': '感觉好极了', '短评打分': 4}
{'短评内容': '酒店不错，和预想的差不多。比较满意', '短评打分': 3}
{'短评内容': '飞机晚点特意通知前台保留房间。是四川民居风格，周边地理位置很是优越！', '短评打分': 3}
{'短评内容': '大堂很温韾的一家酒店房间干净被子舒服不过灯光不明亮不能看书很不方便', '短评打分': 3}
{'短评内容': '很有特色的主题客栈，就是电梯和楼梯太旧给大家感觉很没安全感，另外前台男服务员很好的服务态度值得学习', '短评打分': 3}
{'短评内容': '还不错，环境还是比较安静，离锦里确实比较近，附近购买东西比较方便', '短评打分': 5}
{'短评内容': '酒店整体环境不错，服务也周到，值得推荐.交通也特别方便', '短评打分': 5}
{'短评内容': '不错，环境不错，服务也周到.离锦里也近，值得推荐', '短评打分': 5}
{'短评内容': ' 天子一号房，三百多，那房间，那设施，无话可说了……', '短评打分': 3}
{'短评内容': '很舒服的客栈，装修的很有风格，古香古色。房间很干净，洗手间有点小，住在2楼很安静。价位也比较合适，略微高。酒店服务态度非常好，服务员很热情也很有礼貌。酒店离锦里很近，走7、8分钟就到。酒店对面是个公园，旁边是耍都，有很多好吃的。推荐之，下次来成都还会住在这里。', '短评打分': 5}
{'短评内容': '非常不错，环境老好的，睡的非常舒服，装修很个性！', '短评打分': 5}
{'短评内容': ' 非常不错睡得很舒服', '短评打分': 3}
{'短评内容': '这家酒店真没法夸它，热水有限制，但也得让人洗完啊。它们热水使用标准是二人份的洗脸，一人份的快冲，慢一点你就会很难看！', '短评打分': 1}
{'短评内容': '春节期间去的，没有想象中的那么好，而且房间冷，本来定10晚的后来只住一晚就搬了。', '短评打分': 1}
{'短评内容': '酒店很好，服务卫生都不错，房间布置很人性化，性价比很值，下次还会入住。', '短评打分': 5}
{'短评内容': '位置不錯, 走路5分鐘到錦里. \n地方整潔, 價錢也便宜', '短评打分': 5}
{'短评内容': '酒店大堂感觉还不错，可以休息喝茶，房间条件感觉一般，早餐口味很家常', '短评打分': 3}
{'短评内容': '不错，房间里没有吹风机，早餐的稀饭和包子还有咸菜虽然简单但是比较可口', '短评打分': 5}
{'短评内容': '号称是什么主题酒店，只是一个噱头，房间细看很陈旧，不如锦江之星199的房间来得干净整洁。', '短评打分': 1}
{'短评内容': '不错的酒店，物有所值。交通也很方便，服务员也很热情。顶一个。', '短评打分': 5}
{'短评内容': '房间很好，宽大舒适，就是没有车位，每日要缴纳停车费近30元，开车的朋友还是另远住处吧。', '短评打分': 3}
{'短评内容': '还算不错的一家酒店，处在锦里旁边，非常方便小吃和参观锦里古街，早餐吃起来还不错。不过酒店大堂向房间去得这段路由于是和别人共用不是很好，缺乏一些订票、旅游等服务。还算比较特色。', '短评打分': 5}
{'短评内容': '宽敞，舒适，是到成都最好的选择！下次来会继续入住！', '短评打分': 5}
{'短评内容': '环境优雅，交通便利，很好！', '短评打分': 3}
{'短评内容': '房间很舒适，很满意！', '短评打分': 3}
{'短评内容': '：条件尚可，设施有取巧嫌疑。', '短评打分': 3}
{'短评内容': '锦里人家客栈环境非常好，房间大，主题双人房够特色，喜欢，舒适！', '短评打分': 3}
{'短评内容': '已按时入住', '短评打分': 3}
{'短评内容': '已入住锦里人家', '短评打分': 3}
{'短评内容': '酒店的位置还不错，除此之外就没有值得推荐的地方了。早餐非常简单，房间坐落在很旧的公寓楼里面所以房间非常低，窗子关不严实很不安全。最夸张的是房间里面的欢迎手册上面是一整页的赔偿价目表，包括椅子130元，空调3000什么的，吓的我什么都不敢碰，生怕登出的时候被叫住说房间里面什么东西不能用了要赔个几百块。第一次见到这样的酒店，希望也是最后一次。', '短评打分': 1}
{'短评内容': '非常棒,我和妹妹都很喜欢.下次来还住这里.', '短评打分': 3}
{'短评内容': '四川旅行中的第三个酒店。一进大堂就感觉很舒服，装修风格很乡村，但不土，很随意很成都的感受。房间内装修也超喜欢，画着不同的壁画，还有细心的装饰。距离锦里步行大约十多分钟。起得晚，没吃到早餐。走到大街上找不到吃早点的地方，不知道成都人是不是吃早餐，所有饭馆11点才开门，饿的我们呀。。。', '短评打分': 5}
{'短评内容': '我们住的是伴侣间，房子很宽畅，装修很不错，蛮有特色的。不过房间卫生还有待提高，特别是卫生间的卫生。还有就是床有点硬，如果睡习惯软床的人会不习惯。总之，不是特别有洁癖的人呢，这个房间还是很不错的。服务员态度很好。对了，房间里还有免费的书可以读，很贴心。这里锦里很近，走路大概5－8分钟这样。', '短评打分': 5}
{'短评内容': '有特色', '短评打分': 3}
{'短评内容': '这家的位置和设施都很好，值得住的酒店。。。', '短评打分': 5}
{'短评内容': '挺不错，位置在耍都旁边。并且设施都挺好。。。。。', '短评打分': 5}
{'短评内容': '再次入住该酒店，酒店地处繁华位置，对酒店服务很满意。', '短评打分': 5}
{'短评内容': '没什么时间好好住，不过酒店环境还可以', '短评打分': 3}
{'短评内容': '幽静、整洁、新颖、满意！', '短评打分': 3}
{'短评内容': '感觉还是不错，挺好的。', '短评打分': 3}
{'短评内容': '不错，风格独特，附近有好玩好吃的。装修风格挺温馨的。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店楼内有3家旅馆，环境一般，服务不错，交通方便，附近还有“耍都美食城”可以去尝尝', '短评打分': 5}
{'短评内容': '酒店的位置很好,就在耍都对面,走到锦里也很近,周围吃的非常多.有点酒店式公寓的感觉,走廊的装饰和灯光感觉有点压抑,床不是太舒服,早餐的品种有点少,不过总体还算不错,价格在这个档次有点小贵,', '短评打分': 5}
{'短评内容': '闹中取静的一个小宾馆，距离锦里很近，距离河边也很近，对面就是耍都，吃饭很方便。房间也不错，就是电梯只有一个，而且慢一些。总的说来很不错。', '短评打分': 5}
{'短评内容': '装修有特点，环境尚可，位置不错', '短评打分': 3}
