{'短评内容': '干净整洁，位置不错，交通便利，尤其是前台服务态度很好', '短评打分': 5}
{'短评内容': '干净整洁，出行方便，尤其是前台的服务态度不错。', '短评打分': 5}
{'短评内容': '干净舒适便利', '短评打分': 5}
{'短评内容': '酒店位置方便，火车站几分钟的步行路程，因为十一特别难订房间，之前订了一个万里海景公寓，又烂又小，随意无奈之下只好碰碰运气，发现这一家汉庭还有房子，前台小哥人很好给我们给了一间大床的房子，总之连锁比哪些私人旅馆强太多，以后绝b只住连锁。', '短评打分': 5}
{'短评内容': '入住酒店时前台说我订单取消了，要重新计算价格重新付款，可是我并没有取消订单，我真的不知道这是怎么回事', '短评打分': 3}
{'短评内容': '很不错，环境好', '短评打分': 5}
{'短评内容': '很不错，离着火车站很近！！', '短评打分': 5}
{'短评内容': '很不错，离着火车站很近！！', '短评打分': 5}
{'短评内容': '好，就是有稍微有点小。不过可以接受。晚上也安静。好好好', '短评打分': 5}
{'短评内容': '商务出行还可以', '短评打分': 3}
{'短评内容': '携程的地图是错的 最好按地址找 。离火车站是很近，可以寄存行李这点也很不错，服务挺好。然后房间挺小的。', '短评打分': 4}
{'短评内容': '还可以，距离火车站比较近', '短评打分': 5}
{'短评内容': '还是不习惯汉庭快捷啊', '短评打分': 3}
{'短评内容': '没有电梯有点坑爹', '短评打分': 5}
{'短评内容': '干净，还可以', '短评打分': 5}
{'短评内容': '房间比较小，在走廊最里面，里面窗户坏了。电视感觉给红绿色盲看的，人嘴都是绿色的', '短评打分': 4}
{'短评内容': '酒店不错，前台小哥服务态度也一级棒！点赞', '短评打分': 5}
{'短评内容': '地段特别方便，服务周到', '短评打分': 3}
{'短评内容': '代人预定 快捷酒店 位置挺好', '短评打分': 4}
{'短评内容': '离火车站近，但是条件差些', '短评打分': 3}
{'短评内容': '位置很好，逛街，去火车站，栈桥方便', '短评打分': 5}
{'短评内容': '位于车站附近步行不超过10分钟，距离劈柴院、中山路步行都很方便，最近的观光点就是栈桥，步行约20分钟。当然如果你对青岛的美食小吃不是很感冒，那就不用考虑这家了，客房空间很小，性价比较低，就是图个离车站近。', '短评打分': 5}
{'短评内容': '比较方便，离火车站很近。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '忠实粉丝，还是那么舒服！服务很到位！也比较方便！价格硬道理！', '短评打分': 5}
{'短评内容': '地方比较偏，房间很小，上楼还需爬楼梯，是在不方便', '短评打分': 1}
{'短评内容': '1，酒店卫生，干净\n2，离火车站方便\n3，不过没有电梯，有行李比较麻烦。', '短评打分': 5}
{'短评内容': '服务员态度很好，房间也干净，只是房间真的很小很挤。', '短评打分': 5}
