{'短评内容': '市中心地段，房间环境也很好，就是布局有点小，床很舒服，', '短评打分': 5}
{'短评内容': '前台很友好，挺漂亮，性价比不错，楼下就有士多店，装饰还算时尚', '短评打分': 5}
{'短评内容': '卫生设施太差 但是竞价比不错 自己考虑吧', '短评打分': 1}
{'短评内容': '实惠是事实 但是卫生真的不是很好 进房间上厕所的时候发现 尽然马桶里的便便还有 还是冲不下去的那种 - -', '短评打分': 1}
{'短评内容': '软床房没有照片看的那么好，卫生间比较陈旧，房间内的饮料在我退房那天就要过期了。。。不知道其他房间怎么样。。。宾馆的电梯只能到四楼，住五楼还要走一层楼梯，很奇怪。。。宾馆的地理位置还是不错的。。。很方便。。。', '短评打分': 1}
{'短评内容': '房间里的设施不错，很齐全，也挺新的，就是房间太小了，有点拥挤，四周环境挺安静的，外面不是街道，总体来说很不错', '短评打分': 5}
{'短评内容': '房间比较坑爹..卫生间有点旧..门会响的', '短评打分': 1}
{'短评内容': '酒店还是不错的，住的也舒服，服务也很好，设施也不错', '短评打分': 5}
{'短评内容': '房间很小东西很全，地段也好！服务还算不错，就是感觉有点生硬！OK的', '短评打分': 3}
{'短评内容': ' 没有想象中的好，灯光有点晕呼呼，总体还行。', '短评打分': 3}
{'短评内容': '酒店挺干净的，韩式休闲房很不错，交通便利，步行10分钟可到鲁迅故里，也能寄放行李，下次再去绍兴，一定还会住这里的', '短评打分': 5}
{'短评内容': '条件还不错的挺干净的', '短评打分': 3}
{'短评内容': '虽然房间有点小，但布置的很不错。。而且旁边交通和饮食都蛮方便的', '短评打分': 5}
{'短评内容': '第一次往这里感觉很好很干净，设备齐全，网速超给力，服务太度也很好！下次还来', '短评打分': 3}
{'短评内容': '还行，就是现在在装修，那个油漆味还是蛮重的！', '短评打分': 5}
{'短评内容': '除了卫生间有点味道之外，还是可以的，还有房间没有照片显示的那么大', '短评打分': 5}
{'短评内容': '不错，干净，设施齐全', '短评打分': 3}
{'短评内容': '本人初到绍兴，带着行李不方便，租个酒店房间想稍事休息一下，并存放行李。没想到房间内气味恶劣，一刻也无法停留。', '短评打分': 1}
{'短评内容': '酒店虽然还是比较干净的，但是服务不是一般的差。首先房间内的食品没有明码标价，打电话过去也只是随便说个价格。其次，我退房的时候，硬要说我拆过那个安全套的外包装，然后一定要问我拿钱，我跟他们凭良心说，我根本碰都没去碰那个东西，那个外包转应该是前一个客户住过拆过的然后他们查房的时候没有查仔细，就怪到我的头上了，后来我仔细想想，他们这种明显是骗客户钱的行为，如果那个安全套外包装拆过的仍然放在那房间里，他们', '短评打分': 1}
