{'短评内容': '房间倒是挺干净的，也比较大，就是房间里没有餐巾纸。', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺不错   房间挺大   卫生干净房间设施齐全', '短评打分': 5}
{'短评内容': '很不错，适合家庭个人都不错！', '短评打分': 5}
{'短评内容': '酒店非常不错', '短评打分': 5}
{'短评内容': '很好，干净整洁', '短评打分': 4}
{'短评内容': '房间干净整洁，出行方便，比较便宜', '短评打分': 4}
{'短评内容': '房间干净整洁', '短评打分': 4}
{'短评内容': '酒店位置好，出行方便房间干净整洁', '短评打分': 4}
{'短评内容': '很繁华，延路很好找，就在路边，旁边就有饭店。房间干净整洁', '短评打分': 4}
{'短评内容': '有待改进', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店门前干净，大厅也干净，服务也会，就是房间有蟑螂', '短评打分': 5}
{'短评内容': '酒店门前很好，位置方便，环境卫生好', '短评打分': 5}
{'短评内容': '交通便利，卫生整洁，价格便宜，服务良好，值得推荐。', '短评打分': 4}
