{'descr': '整体及格，就是附近生活店面比较少', 'star': 4}
{'descr': '房间有点小 空调噪音太大开的话几乎没法睡觉 实在懒得换 将就两天算了', 'star': 4}
{'descr': '价格实慧，交通方便，设施一般，服务还行。', 'star': 4}
{'descr': '有点失望，房间很一般，和预期差太多', 'star': 3}
{'descr': '还行，设施比较陈旧了', 'star': 2}
{'descr': '附近环境嘛，有个酒吧一条街还是比较方便，打车起步价，至于房间设施嘛，电视看不了，而且居然还有其他房间打电话问我们怎么调电视，晚上有火车，靠近马路，很吵的', 'star': 4}
{'descr': '都很不错啊  下次来无锡还住这家', 'star': 3}
{'descr': '离火车站较近，经济实惠，前台服务态度很好！总体还是不错的！下次还会入住！离酒店不远有个酒吧街，非常热闹。吃的东西挺多的。', 'star': 5}
{'descr': '还不错，值得推荐，还可以吧', 'star': 3}
{'descr': '，，，，，还不错', 'star': 5}
{'descr': '酒店离火车站很近 出去比较方便 性价比也很高', 'star': 3}
{'descr': '环境还行，有点偏，但蚊子比较多,离汽车站和火车站较远', 'star': 5}
{'descr': '环境可以，交通方便，价格实惠，实实在在的好', 'star': 5}
{'descr': '—米兰风尚酒店地理位置优越，方便停车，周边餐饮店距离很近。房间设施基本可以满足需要。', 'star': 3}
{'descr': '十房间陈旧，卫生条件待提高。', 'star': 3}
{'descr': '房间布局很漂亮 服务很贴心 还备有针线包', 'star': 3}
{'descr': '还不错，很好值得去住，安静卫生，可以推荐给朋友去住', 'star': 5}
{'descr': '很满意', 'star': 3}
{'descr': '好可以，基本满意', 'star': 3}
{'descr': '地方有点偏，而且服务跟不上，网线、电蚊香都需要自己下楼去拿~', 'star': 1}
{'descr': '还好', 'star': 3}
{'descr': '家间还行，只是比较偏，也许运气不好，我房间看到一只大老鼠爬上吊顶', 'star': 3}
{'descr': '太吵了', 'star': 3}
{'descr': '好吵，火车在外面跑啊跑啊的。还有早上起来突然发现浴巾和床单都是破的。', 'star': 1}
