{'descr': '档次不错，交通便利，只是觉得价格稍高一点，总之还不错', 'star': 5}
{'descr': '一般，非常一般的酒店，但位置不错，在中天体育馆的对面。入住的床单没有换，能看到女人留下的头发，估计是钟点房留下的。后来反映了一下，调了房间。网速还可以。', 'star': 1}
{'descr': '还行，如果坐常州到南京的机场大巴的话非常方便', 'star': 5}
{'descr': '酒店位置不太好找，交通还算方便，房间环境也很不错，就是早餐简单一些.', 'star': 5}
{'descr': '没想想的那么好，浴室挂帘发霉了，其他也一般吧', 'star': 3}
{'descr': '隔壁是妇幼活动中心，早上7.8点就开始打鼓，根本没办法睡觉。房间设施比较陈旧。再也不住了。', 'star': 3}
{'descr': '离南大街后门是蛮近的啦，不过500m肯定不止，在广化桥过去呢。房间好小，空调却还打不热，刚开始的房间浴室居然是坏的，后来还换了个房间。不过服务员和清洁员态度都还不错。', 'star': 5}
{'descr': '开车去的 去的晚 走的早 没啥值得参考的意见 还行', 'star': 3}
{'descr': '帮别人定的 不太清楚 不知道怎么样 不多说', 'star': 5}
{'descr': '酒店交通方便。电视机太旧，提供的牙膏、牙刷太次。', 'star': 5}
{'descr': '这家感觉不是很好，环境不好，服务态度差，其他都一般，价格高', 'star': 1}
{'descr': '退房时间应更人性化些', 'star': 5}
{'descr': '服务态度一般，虽然不算差，但是基本上也算不上热情。本来是3楼的房间，后来发现空调有问题调整到9楼。最大的毛病是在闹市边，窗户未作隔音处理，我对噪音很敏感的，觉得无法正常休息。装修略显呆板，整体性价比算是不错，但是下次我是不会去住了。', 'star': 1}
{'descr': '连锁酒店基本上服务还可以.硬件设施还不错，就是位置有些偏.出行有点不便，其它各方面还不错.', 'star': 5}
{'descr': '酒店综合水平比较高，硬件设施和卫生条件还可以.位置也不错，周边交通比较便利.', 'star': 5}
{'descr': '酒店卫生不好，入住时床单有点湿，服务也一般，地理位置很好。', 'star': 1}
{'descr': '位置还行算市中心吧,不过周边没地方逛逛的,而且周边吃饭的地方几乎没有.', 'star': 5}
{'descr': '酒店挺干净的，面积也比较大，整体上感觉不错', 'star': 5}
{'descr': '外面的马路比较吵,过了12点才能安静下来!', 'star': 5}
{'descr': '酒店比较新，不错..', 'star': 5}
{'descr': '这个价位的酒店还算不错，安静舒适，而且很干净。', 'star': 5}
{'descr': '房间干净，设施新，地段可以，价格合适，推荐入住。', 'star': 5}
{'descr': '酒店的设施条件有点陈旧了，价格还是挺合适的', 'star': 5}
