{'短评内容': '早餐好吃，前台服务员漂亮。', '短评打分': 5}
{'短评内容': '服务态度很好，环境也很，早餐确实不咋的。 房灯及电视开关放在床头，睡觉不小心就碰到！！！这个设计太low了。', '短评打分': 5}
{'短评内容': '环境不错，服务周到，强势推荐', '短评打分': 5}
{'短评内容': '干净卫生，服务热心，早餐很好', '短评打分': 5}
{'短评内容': '酒店服务还不错 但是房间不舒服  定的豪华房间感觉很少感觉像普通标间 说好的7:30-10点的早餐 9:20去吃 居然说收了 差', '短评打分': 4}
{'短评内容': '这个酒店旅游好方便，干净卫生，服务周到，还会来的哟！', '短评打分': 5}
{'短评内容': '服务非常好，酒店很棒，前台给了升级了房间，下次还会来。', '短评打分': 5}
{'短评内容': '很赞很舒适666', '短评打分': 5}
{'短评内容': '很好很赞很舒适', '短评打分': 5}
{'短评内容': '不错经常住', '短评打分': 5}
{'短评内容': '位置，他们在修地铁，所以有点难找\n设施，外观看着不错，可能我们订的特价房原因，给安排的把头的房间。有点小。朝修地铁那面白天会吵，朝后面小街那面晚上又比较热闹。所以各有千秋吧。里面设施中规中矩。\n早餐七点半开始，还不给提前，比较不人性。\n总体性价比一般。另外，千万不要在酒店背面的小街上买流动摊位的水果什么的，简直坑你没商量！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '服务态度好，服务非常到位', '短评打分': 5}
{'短评内容': '酒店装修旧了，中央空调制冷不给力，都是英文，旁边也没有空调使用说明。最可气的是停车住宿还要给过夜费二十元，真不知道酒店那张所谓停车票有什么意义。', '短评打分': 3}
{'短评内容': '不错，物有所值', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错&hellip;&hellip;不错?', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '过得去吧！仃车收费不太好', '短评打分': 5}
{'短评内容': '很给力！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '总体环境不错，十楼在装修。', '短评打分': 5}
{'短评内容': 'Jfcvugcv', '短评打分': 5}
{'短评内容': '还可以还可以', '短评打分': 5}
{'短评内容': '房间大，床铺大，很好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '挺干净的，住着还行?', '短评打分': 5}
{'短评内容': '还可以不错的', '短评打分': 5}
{'短评内容': '给爸爸妈妈定的、含早餐、挺不错的', '短评打分': 5}
{'短评内容': '住的8楼，团购的，划算，晚上还可以去后面的步行街吃夜宵，早餐的煮粉不会忘记，下次还来吃', '短评打分': 5}
{'短评内容': '除了门口在修路，其他都好方便，旁边有个大农贸市场', '短评打分': 5}
{'短评内容': '第一次入住，感觉不错。下次还住。', '短评打分': 5}
{'短评内容': '很不错的体验，周边吃行方便。', '短评打分': 5}
{'短评内容': '房间环境不错，值得入住吧！价格也很亲民，尤其在携程上预定，便宜了好多。为这次入住点赞！三十二个赞哦！', '短评打分': 5}
{'短评内容': '很好的酒店，出差南宁一直住这里，前后有近六，七年了。以前常常客满，现在门前在修地铁，有一点点嘈，但尚可接受，也不是酒店的责任。这次和同事分别住了两天，同事很赞赏。周边饮食娱乐很多，有不同档次。酒店服务认真友好，也专业，早餐可以，同时楼下也有一个中小型餐厅，可供午晚饭', '短评打分': 5}
{'短评内容': '很好的酒店，出差南宁一直住这里，前后有近六，七年了。以前常常客满，现在门前在修地铁，有一点点嘈，但尚可接受，也不是酒店的责任。周边饮食娱乐很多，有不同档次。酒店服务认真友好，也专业，早餐可以，同时楼下也有一个中小型餐厅，可供午晚饭', '短评打分': 5}
{'短评内容': '不错的酒店，出差南宁一直住这里，前后有近六，七年了。现在门前在修地铁，有一点点嘈，但尚可接受。周边饮食娱乐很多，有不同档次。酒店服务认真友好，也专业。', '短评打分': 5}
{'短评内容': '还不错，每次来都座这里！', '短评打分': 5}
{'短评内容': '酒店环境一般，服务较好。周边在修地铁，交通不太方便。', '短评打分': 5}
