{'短评内容': '没法说这酒店', '短评打分': 2}
{'短评内容': '老牌酒店，离学校很近', '短评打分': 5}
{'短评内容': '酒店内房间设施卫生差 差 差', '短评打分': 2}
{'短评内容': '188价格住火车站条件。太坑了', '短评打分': 1}
{'短评内容': '一般般的环境！', '短评打分': 3}
{'短评内容': '差得一塌糊涂，空调打了一晚居然不热，被子又薄，，还在装修，难看，又吵', '短评打分': 1}
{'短评内容': '还可以、就是觉得贵了点', '短评打分': 4}
{'短评内容': '这个酒店不是一般的烂，房间很小，摆两张就没地方了，卫生间连门都没有，洗脸池头上是喷头，洗澡都不方便。就是普通民房改造的家庭旅馆。楼道，地上全是垃圾，简单没法住。酒店位置也是在七弯八拐的小巷子里，楼道就是一迷宫，而且到处都脏得要命。通过携程订要146元一间，别人到现场酒店直接付款只要70元一间。真是服了携程，怎么不核查一下就把这种烂酒店挂出来。劝大家都别订这酒店。真心劝大家！更可恨的是，我们交了钱准', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '还行，感觉不值这个价', '短评打分': 3}
{'短评内容': '房间内发现有蜘蛛、蟑螂，设施存旧，又没有手机充电器提供，感觉真的太差了，幸好生在农村，长在农村，不然不知道睡不睡得着啊！', '短评打分': 1}
{'短评内容': '洒店比较僻静，房间太小，没看到服务员', '短评打分': 3}
{'短评内容': '房间很大，就是地方有点不好找。', '短评打分': 4}
{'短评内容': '离学校很近，方便，大床很舒服，酒店服务不是很满意，总是到了下午才收拾房间，洗漱用品也是要才给，洗澡很方便，随时都可以', '短评打分': 4}
{'短评内容': '尽管该酒店室内设施陈旧简陋，但价格还便宜，服务员的服务质量还可以。建议自己结账的客户选择该酒店。', '短评打分': 5}
{'短评内容': '一般，过得去！', '短评打分': 3}
{'短评内容': '空调不能用啊  要修过才能用，总台电话打不通，这个价位在赣州有点高', '短评打分': 1}
{'短评内容': '120块钱的酒店跟60块的旅馆没什么两样。。冷水澡。。没有吹风机。', '短评打分': 3}
{'短评内容': '没热水，而且地方很难找特别对于外地人，房间布置也不值这个价', '短评打分': 1}
{'短评内容': '除了价格便宜，很像招待所。厕所太老式，蹲坑的，装修很旧，走廊灯光很暗。', '短评打分': 1}
{'短评内容': '环境很好 周围安静 卫生也还可以  这个价位的宾馆已经不错了', '短评打分': 3}
{'短评内容': '经济适用，舒适温馨、服务规范，交通便捷让宾客体验关爱备至', '短评打分': 5}
{'短评内容': '这个酒店在应科院对面，我因为公务员面试在应科院，所以定了这个酒店。房间不错，比较安静，装修也比较新，不足之处是卫生间太小了，太落后，蹲坑式的，相当压抑，与其价位不符合。', '短评打分': 5}
{'短评内容': '服务蛮热情，设备比较齐全，周围环境还好，总之比较满意。赞！', '短评打分': 3}
{'短评内容': '环境蛮好~~价位还差不多~~~~~~~~~~~~~~！！', '短评打分': 5}
{'短评内容': '环境一般,不是太好找,服务态度让我很不爽', '短评打分': 1}
