{'短评内容': '可以吧', '短评打分': 5}
{'短评内容': '一般  住着出行方便', '短评打分': 4}
{'短评内容': '很一般。设备简陋。隔音效果也很差。服务态度还算可以吧！', '短评打分': 4}
{'短评内容': '被子有些不干净，隔音效果不好', '短评打分': 4}
{'短评内容': '距离地铁口几步路，交通方便。房间隔音效果巨差，走廊的声音听得很清楚，要放很久才有热水', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '环境不错，服务也很好，整体环境比较方便，周边有超市，吃饭地方选择多', '短评打分': 5}
{'短评内容': '酒店还不错，各方面都还可以，交通也算便利。吃饭啥的也还方便，价位低廉。', '短评打分': 5}
{'短评内容': '这家挺好的，环境挺干净；交通方便，地铁燕南站0距离；服务态度也不错。', '短评打分': 5}
{'短评内容': '便宜无好货，窗户都没有，空气差死了，隔音也差', '短评打分': 3}
{'短评内容': '没有想象中的好，房间太小，比较简陋！太吵！', '短评打分': 1}
{'短评内容': '房间潮湿，床单、枕巾不干净，黑压压一片，真是不值！！不推荐！', '短评打分': 1}
{'短评内容': '就在地铁站旁，交通非常方便，附近很多购物和饭店，但酒店是在办公大楼上，很多人挤电梯。', '短评打分': 3}
{'短评内容': '交通方便，价格较适中，房间一般，就是潮气味太大了！', '短评打分': 5}
{'短评内容': '不错！还可以！就是房间有一些旧！卫生间有一些味道！', '短评打分': 5}
{'短评内容': '房间有点吵，而且里面的东西都比较旧，住起来不舒服', '短评打分': 1}
{'短评内容': '酒店简单了一些〉服务不够好', '短评打分': 3}
{'短评内容': '＋房间还可以，就是有点味道，不过周围环境很好，有很多饭店，一出宾馆门就是地铁口和沃尔玛，很方便', '短评打分': 3}
{'短评内容': '地点很好，交通很便利，就是所处环境是交通大厦，人员比较复杂，服务质量还比较好！地点很好，交通很便利，就是所处环境是交通大厦，人员比较复杂，服务质量还比较好！', '短评打分': 5}
{'短评内容': '位置很好找，就在燕南路地铁B口出来就到，周边吃、购物都非常方便，住房略显得挤，洗手间设计感觉不是特别好，属于经济实用型，适合没有特别高要求的居住，总的来说值得推荐', '短评打分': 5}
{'短评内容': '还可以吧，价格比较合理。卫生方面也不错，干净。', '短评打分': 5}
{'短评内容': '位置不错，交通也方便，门口就是地铁入口；但正好遇到装修，早上8点就开始叮叮咚咚，很是吵杂；房间的配备未能及时更换&补充，提倡环保也要满足宾客所需，希望改进。', '短评打分': 5}
{'短评内容': '酒店设施还可以，服务也不错，下次还会选择的.\n', '短评打分': 5}
{'短评内容': '我郁闷了的，第一次住这差的', '短评打分': 2}
{'短评内容': '太失望，下次不会再选择的', '短评打分': 2}
