{'短评内容': '订单失败没有住怎么让我评论呢', '短评打分': 5}
{'短评内容': '酒店就在中华路附近，中华路上全是小吃，有名的饭店“上屿水产”就在附近，凭酒店房卡还可以9折。岛上其实很小，一天就能逛全。我们定的大公主房，房间很棒，水特别大，浴缸一会儿就满了。酒店前台很好，我们12点多就到了，也安排我们入住，酒店环境很好，好多游客拍，不用犹豫了，来的来了，一定要住好一点', '短评打分': 5}
{'短评内容': '早餐很好。房间很大。旁边就是上屿水产。报酒店名称还能打折。酒店位置很中心。前台的小哥很好。帮忙提行李。', '短评打分': 5}
{'短评内容': '设施比较陈旧了，但地理位置不错，出行很方便。', '短评打分': 3}
{'短评内容': '离龙头路很近，就是距离码头有些远，环境很好，早上有提供早餐，住了两天，整体好评。', '短评打分': 5}
{'短评内容': '不错，很好，下次还会去', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境舒适很好，交通便利，服务不错，下次有需要还会再来。', '短评打分': 5}
{'短评内容': '环境很好，交通便利，干净卫生，服务不错，下次有需要还会再来。', '短评打分': 5}
{'短评内容': '位于底楼，潮气重，湿度约95', '短评打分': 3}
{'短评内容': '还行吧，就是有点小贵！', '短评打分': 5}
{'短评内容': '还行吧，就是有点小贵！', '短评打分': 5}
{'短评内容': '好，风景如画，清洁卫生，服务太度很好，很温馨，下次再订这店。', '短评打分': 5}
{'短评内容': '外面环境不错，房间较简陋，过早预订反而贵了很多，当天订的话竟能便宜100', '短评打分': 5}
{'短评内容': '鼓浪屿很美，不过黑森林风实在是享受不了', '短评打分': 5}
{'短评内容': '环境好，超安静！', '短评打分': 4}
{'短评内容': '很不错，带女儿，小公主房，宝贝喜欢', '短评打分': 5}
{'短评内容': '位置还可以，比较幽静，周围吃喝玩乐比较多', '短评打分': 4}
{'短评内容': '酒店位置离景点、龙头路都很近，十分方便。房间很干净，应该是这次在厦门住的三个地方卫生最好的啦。院子里景色不错，很多人在庭院和门口拍照。早餐不错，就是太清淡啦。推荐……', '短评打分': 5}
{'短评内容': '第二次入住还行', '短评打分': 3}
{'短评内容': '第二次入住还行', '短评打分': 3}
{'短评内容': '第二次入住还行', '短评打分': 3}
{'短评内容': '酒店环境很好。价格稍贵。房间有霉斑。早餐只有牛奶不提供咖啡。还有早餐巨难吃', '短评打分': 4}
{'短评内容': '酒店是别墅改造，外观很漂亮，周边不是商业区比较安静，这点不错。有露天咖啡厅和餐厅。设施齐全。房间墙皮有点斑驳，最好粉刷一下。插电处有脱落迹象。总体来说还是不错的', '短评打分': 4}
{'短评内容': '环境还不错，适合朋友一起，在院子里聊聊天，比较安静，但离商业区还是有段距离的', '短评打分': 5}
{'短评内容': '适合发呆的地方，静静的坐到醒。还好，我想要的幸福生活方式和风细雨绵绵无尽无休。', '短评打分': 5}
{'短评内容': '很不错，闹中取静，就是距离内厝奥码头稍远，距三丘田稍近。', '短评打分': 3}
{'短评内容': '29日入住的李家庄大公主房，房间内好多抽屉的门把手都已经脱落，卫生间的龙头上的冷热标志也没有，新的牙刷竟然没有牙口并已经开封，卫生间的的窗户尽然也是没有阻挡的。窗帘不遮光。800元的房间竟然达不到3星标准，非常的失望。', '短评打分': 1}
{'短评内容': '不错，第一天团购被啃了…岛上的宾馆到底不错', '短评打分': 3}
{'短评内容': '环境和服务都非常好,早餐的牛奶很好喝,三文治的味道不错,要是面包不要那么硬就更好了', '短评打分': 5}
{'短评内容': 'WIFI不给力，位置稍远！价格和硬件不成正比~！', '短评打分': 1}
{'短评内容': '旅馆位置在足球场附近新四海边上的巷子里，很好找。\n普拉提一号和二号是一楼靠近前台的两间，偶尔会有点吵，不过晚上休息时是很安静的。晚上11点有门禁，要开门需要联系前台。\n早餐八点半开始，是两小块三明治和牛奶/咖啡，很好吃，本以为会不饱，但是一上午居然都不饿。\n房间的床超级舒服，枕头也很软，一次性拖鞋很厚，穿着很舒服。普拉提二号间的空调正对着洗澡间，不对卧室空间，洗澡出来觉得太冷了，但是睡觉又觉得刚刚', '短评打分': 5}
{'短评内容': '非常有情调的旅馆，坐落在菽庄花园附近，闹中带静，酒店环境很好，就是餐厅太贵了', '短评打分': 5}
