{'短评内容': '店主人超好的～会帮你计划安排行程～', '短评打分': 5}
{'短评内容': '老板挺热情，在古城外', '短评打分': 4}
{'短评内容': '客栈老板一家人非常nice，给了我许多帮助，真心感谢。房间干净，不闷，晚上睡得很好。', '短评打分': 5}
{'短评内容': '客栈环境不错，就是离古城稍微远一点，走着也可以到，就是倒腾的慌。客栈里边大部分都是外国人，算是开阔了眼界吧，就是房间内部比较挤，有点憋屈，我住了两晚，老板娘只给了我一天的洗漱用品，还是应该服务周到一点。', '短评打分': 4}
{'短评内容': '老板和老板娘都很好，这里时有外国友人，一共住了两天，除了厕所有些味道其余都很好。老板娘的早餐实惠又好吃。下次来平遥还要再住在这里', '短评打分': 5}
{'短评内容': '老板人很好，环境有点潮湿，离古城很近。我们到了找不到路，老板还来接我们，非常贴心。可能因为是自营的旅店，别具特色', '短评打分': 5}
{'短评内容': '很好啦，老板一家很棒！', '短评打分': 5}
{'短评内容': '老板和老板娘服务态度都非常好，店在古城北门外不远处的一个胡同里，晚上比较肃静，偶尔有路过的火车鸣笛声。店里有老板娘自己家酿的醋卖，建议买点，另外客栈里可以提供餐食，做的也很不错，推荐野菜。如果想去王家大院玩，老板还能帮忙联系包车，又见平遥的票也可以帮买，还有优惠。老板娘自学英语，可以和住店的外国友人正常沟通，非常让人佩服！推荐大家去这家客栈，服务真心非常好！下次去平遥玩，我们还会去住的！', '短评打分': 5}
{'短评内容': '老板人不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这是我去过最好的青旅，没有之一！古色的晋家小院，最善良好客的店长姐姐，漂亮的平遥古城。此行山西，不需！谢谢姐姐大清早去接我，谢谢帮迷糊的我到处找学生证，呵呵，我很喜欢这里。有空还会来的！', '短评打分': 5}
{'短评内容': '对比住在城内，个人觉着住在城外更加幽静，晚上玩累了回来还可以坐在院子里聊聊天。而且老板娘人超好，这么便宜的价格竟然还去火车站接??? 遇见新的小伙伴，一块游古城，也很不错，第二天同屋还来了一位金发碧眼的外国美女，也是不错的体验哦', '短评打分': 5}
{'短评内容': '旅店很干净，也很安静，老板娘人很好，很热情，送了饮料，夜里还送我去了火车站，不错的体验', '短评打分': 5}
{'短评内容': '十一假期去的，人很多，这家价格很实惠，于是定了两间房，导航导过来的，不算难找，我觉得比住在古城里好找多了，古城都是小胡同，都转晕了。老板娘果然挺好的，睡大炕挺舒服的，离古城也近，挺好的，下次去还可以考虑住在那！', '短评打分': 5}
{'短评内容': '老板娘人很好～第二天一早要赶火车～还开车送我们到车站～', '短评打分': 5}
