{'短评内容': '酒店位置很不错，也有停车场，房间也宽大，一直是我出差的首选。', '短评打分': 5}
{'短评内容': '朋友说很喜欢', '短评打分': 5}
{'短评内容': '回水寨住一晚还不错的选择！', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 3}
{'短评内容': '不错，性价比高，房间也不错。', '短评打分': 4}
{'短评内容': '还是比较舒适', '短评打分': 5}
{'短评内容': '每次回去都是订这里，一定要打电话去酒店确认。', '短评打分': 5}
{'短评内容': '每次回去都是订这里，一定要打电话去酒店确认。', '短评打分': 5}
{'短评内容': '环境好，位置好。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '第二次住了', '短评打分': 5}
{'短评内容': '酒环境还可以！卫生要加强！店', '短评打分': 4}
{'短评内容': '可以 乘车方便', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '设施齐全、环境也不错，就是后面那个楼客房晚上比较吵，楼下有KTV唱歌唱的很晚，休息不好', '短评打分': 4}
