{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务员很耐心', '短评打分': 4}
{'短评内容': '早餐还行，位置不错', '短评打分': 2}
{'短评内容': 'KTV在4楼，简直不能住，虽然价格不高，但是这样的不安静让人不能入睡', '短评打分': 2}
{'短评内容': '服务挺好', '短评打分': 5}
{'短评内容': '挺好的&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还好吧，就是房间有点吵，有点吵', '短评打分': 5}
{'短评内容': '服务还行，就是离KTV太近了，太吵', '短评打分': 5}
{'短评内容': '整体还可以，住着舒服', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '干净利落，出差都是这里', '短评打分': 5}
{'短评内容': '很不错  每次都入住这里  不错', '短评打分': 5}
{'短评内容': '不错干净，没有异味', '短评打分': 5}
{'短评内容': '信赖如家', '短评打分': 5}
{'短评内容': '出行方便，价格适中', '短评打分': 5}
{'短评内容': '太吵了，几乎一晚上没睡着，有滴答滴答的声音，把空调、换风扇关了也没用，五楼的！', '短评打分': 1}
{'短评内容': '替别人订的，据说还可以的，便宜。', '短评打分': 5}
{'短评内容': '房间隔音差了些，能听见隔壁打鼾，还有KTV的唱歌声。别的还好。', '短评打分': 5}
{'短评内容': '这次比上次的房间好，没有听到KTV的歌声，睡得很安稳', '短评打分': 5}
{'短评内容': '这次的房间比较宽敞，很舒适，床很软，卫生间很干净，服务态度好', '短评打分': 5}
{'短评内容': '房间很干净，床单好温馨。墙纸很好看。就是隔音不好，不过在六楼还好！', '短评打分': 3}
{'短评内容': '房间干净，价格便宜，停车不是很方便。隔音效果差。', '短评打分': 5}
{'短评内容': '干净整洁，舒适，很适合外出暂住。。服务也很好，设备齐全', '短评打分': 5}
{'短评内容': '环境还可以。', '短评打分': 3}
{'短评内容': '该酒店干净卫生，房间都在5楼和6楼，有两个电梯，早餐就在5楼很方便。晚上靠着KTV有的房间可能会有影响。 总体好评！', '短评打分': 5}
{'短评内容': '感觉服务特别好，前台服务人员态度一级棒。房间也比较干净，总之不错~', '短评打分': 5}
{'短评内容': '＋装修比较新，住起来很舒服', '短评打分': 3}
{'短评内容': '隔壁是好乐迪，但，只要不是紧挨着的房间就不吵。性价比高。', '短评打分': 5}
{'短评内容': '位置很好，房间很干净，但是没窗口，就县城来说性价比不算高。', '短评打分': 3}
{'短评内容': '酒店地理位置，环境都不错！酒店地理位置，环境都不错！酒店地理位置，环境都不错！酒店地理位置，环境都不错！酒店地理位置，环境都不错！', '短评打分': 5}
{'短评内容': '酒店里有较重的消毒水的味道，酒店占用大厦的5、6两层，4层是KTV，第一天入住时6层没空房，后来服务员主动帮换的6层，服务员态度较好。', '短评打分': 5}
{'短评内容': '很好,很安静', '短评打分': 3}
{'短评内容': '该酒店地处该县中心位置，周边环境好，酒店房间大，干净，设施好。经济实惠，早餐也不错。以后出差首选。', '短评打分': 5}
{'短评内容': '不错，我很喜欢，环境也很好，服务态度很不错', '短评打分': 5}
{'短评内容': '干净卫生，就是有点吵，也许是特价房的原因，KTV里的声音听的很清楚，而且一直到半夜，我去，不怕吵，可以一试', '短评打分': 5}
