{'短评内容': '楼下早餐不错', '短评打分': 5}
{'短评内容': '商务出差性价比较高', '短评打分': 5}
{'短评内容': '附近小吃的很多', '短评打分': 5}
{'短评内容': '服务特别好，环境整洁', '短评打分': 5}
{'短评内容': '非常棒，很用心的服务！', '短评打分': 5}
{'短评内容': '整体环境不错就是觉得厕所格局小了点，不过床是睡着很舒服，电视联网的可以看一整天不出门', '短评打分': 5}
{'短评内容': '你对JS里咯么宏图姑姑him', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店卫生条件不错！而且服务态度也很好！', '短评打分': 5}
{'短评内容': '环境非常不错，服务员态度也非常好，值得去住', '短评打分': 5}
{'短评内容': '超级棒！', '短评打分': 5}
{'短评内容': '比周围酒店干净', '短评打分': 5}
{'短评内容': '干净 可以', '短评打分': 3}
{'短评内容': '位置很好，就在路口，前台服务意识有待提高', '短评打分': 4}
{'短评内容': '晚上到店里登记的两个前台态度极其恶劣，早上退房的态度很好，本来开开心心去玩的，被两个前台搞得连晚上吃饭的心情都没有了。不过环境卫生还是挺好的，', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店好，住着舒服好好好，，，，，', '短评打分': 4}
