{'短评内容': '一般般，', '短评打分': 3}
{'短评内容': '酒店价位比较亲民，地理位置不错在二环旁边，周围还有华润万家超市和立丰国际，提供的用品比较少，只有一次性拖鞋和手纸', '短评打分': 4}
{'短评内容': '房间比较小，只提供一次性拖鞋，周围有华润万家超市和立丰国际，环境不错，但是前台登记稍微慢了点，一直说查不到预定记录', '短评打分': 4}
{'短评内容': '很干净卫生安全 离交大也近', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '孩子高考入住，方便。好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '脏乱差！房间小不说，脏、污最让人受不了', '短评打分': 2}
{'短评内容': '酒店相对还好了，房间小。还算干净。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间太小，枕头发黄，根本没洗干净，厕所离床很近，还有味道，住都没住，直接退房，房间隔音效果极其差', '短评打分': 2}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '性价比高，交通方便，周围也比较热闹，设施非常新，有机会还会来。   服务态度也不错，还是值得推荐一下的。   房间也算干净整洁', '短评打分': 5}
{'短评内容': '很小，很一般', '短评打分': 3}
{'短评内容': '前台服务挺热情周到，态度也很好，我要出去办事不知道怎么走，她们耐心的告诉我路线，使我顺利到达。房间虽然有些小，但是很温馨舒适，也很干净！值得推荐的一家快捷酒店，晚上洗澡放松身心，热水很给力，总体感觉很好，非常满意，下次一定还会再来的！', '短评打分': 5}
{'短评内容': '价格和环境还可以，就是卫生间实在是太小了，另外，无线网络也经常不能上，建议网络再改善下', '短评打分': 5}
{'短评内容': '酒店被子不干净，没杯子喝水，没梳子，牙刷沐浴乳洗发水得自己买！很差，绿色环保酒店一点也不符，不会再去了！', '短评打分': 3}
{'短评内容': '，特意要的大房型，结果还是很小，而且与网站提供的图片不符！预定价比门市活动价每天高12元…总之这不是次愉快的入住经历…', '短评打分': 3}
{'短评内容': '整洁卫生', '短评打分': 3}
{'短评内容': '房间太小了，而且床板比较硬，还不提供免费的一次性洗漱用品。如此以来，我觉得价格有点太贵了。不过比较喜欢酒店的风格，很可爱。', '短评打分': 1}
{'短评内容': '酒店旁边就是华润万家超市，门口就有公交车，交通很方便。房间很干净，但是洗手间没有门这点很不方便，也不知道是怎么设计的，一次性用品还得另买，其他的都还比较满意...', '短评打分': 5}
{'短评内容': '热水供应很好，就是房间小了点，隔音效果不行，总体还算满意！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '客房很小，通风性差，每间客房距离很近比较拥挤。设施方面也比较简陋，没有一次性的洗漱用品提供，只有到服务台花钱购买。位置到是很方便，离公交站很近，旁边也有超市。', '短评打分': 1}
{'短评内容': '房间整洁，但上网是用无线局域网，对电脑要求有无线功能............', '短评打分': 5}
