{'短评内容': '服务很赞', '短评打分': 5}
{'短评内容': '据说评价不是很好', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '不能打专票', '短评打分': 2}
{'短评内容': '如前面点评，卫生间真的味道很大', '短评打分': 3}
{'短评内容': '还可以，比附近的其他酒店好', '短评打分': 4}
{'短评内容': '只想说环境太差了，服务也太差了，一点儿都不够档次，就是地理位置离公司近，否则不会选择，和绿洲假日差太远了', '短评打分': 3}
{'短评内容': '价廉物美，房间很干净，住得很舒心哦。其实9楼还有海鲜小火锅，据说味道很不错，也很值得推荐哦。不足是位置可能稍微偏了一点。', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '整体很简洁舒适～就是床头没有插座～对于我这样要边充电边听故事睡觉的人～会觉得不便', '短评打分': 4}
{'短评内容': '酒店服务不到位，环境卫生更差', '短评打分': 2}
{'短评内容': '就在家对面，很方便，每次来客人都住那', '短评打分': 5}
{'短评内容': '房价挺实惠，房间挺大，不错', '短评打分': 4}
{'短评内容': '卫生，干净', '短评打分': 5}
{'短评内容': '空调不给力。网速不错', '短评打分': 4}
{'短评内容': '除了空调不给力别的还可以。网速不错', '短评打分': 4}
{'短评内容': '都还不错', '短评打分': 4}
{'短评内容': '金瑞酒店设备比较旧，房间小还有味道，配套用品也不全。', '短评打分': 3}
{'短评内容': '还过得去，交通不是很方便，边上的小饭店都比较脏。', '短评打分': 5}
{'短评内容': '卫生条件可以，位置偏了一点。如果是在附近办事的话可以考虑。', '短评打分': 5}
{'短评内容': '南通金瑞大酒店还行！就是周边没有什么小饭店！', '短评打分': 5}
