{'短评内容': '人很好 老板人很好很照顾外地来的人 顺路在他们家买了一个舞阳河的门票 还包接送 很划算 价格也很实惠 经济型出游不错的选择', '短评打分': 5}
{'短评内容': '总结一句话、下次如果在去肯定不住这里了', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '性价比实在太低了，三百住出五十块的感觉，真心坑。', '短评打分': 2}
{'短评内容': '环境一般，但是在古城里这么便宜的价格，已经不错了', '短评打分': 4}
{'短评内容': '房内设施一般，房间异味很大', '短评打分': 4}
{'短评内容': '老板人很好，就是地段有点偏。不过去步行街很近。', '短评打分': 5}
{'短评内容': '卫生一般', '短评打分': 3}
{'短评内容': '卫生一般', '短评打分': 3}
{'短评内容': '整体干净舒适，性价比高', '短评打分': 4}
{'短评内容': '就房间的价位来说性价比还是不错的，接待的人也很有耐心，宾馆没有停车场，停车要到附近公共停车场才能停车，其他都还挺不错的！', '短评打分': 4}
