{'descr': '房间很干净，环境很好', 'star': 5}
{'descr': '很不错，卫生，干净', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '新装修的66666', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '服务好卫生好新装修值得推荐', 'star': 5}
{'descr': '很好，新装修的', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '住好几次了', 'star': 5}
{'descr': '总体还可以', 'star': 5}
{'descr': '真的很棒', 'star': 5}
{'descr': '环境不错，挺安静的，隔音效果可以，周边环境也比较安静，购物逛街可以去不远的虹口足球场场龙之梦，值得推荐', 'star': 5}
{'descr': '大堂服务态度还不错，酒店就很简单的那种，毕竟价格在那里，床单也说不清换没换过，有股味道，楼下有免费停车这个很好！', 'star': 3}
{'descr': '房间呢有点老旧，不过呢，整体还算干净，整洁，相对来说不错的，而且价格就这样吧200多。但是离地铁比较近，会比较吵。如果体育场有演唱会，那会更吵。', 'star': 5}
{'descr': '卫生不错，在小区的旁边，房间还算是干净，装修的有点旧，价格也比较实惠。安全不错。交通也比较方便。周围吃饭什么的都很方便', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '还可以。就是房间有点小', 'star': 4}
{'descr': '房间蛮干净的，周围吃东西什么的也比较方便。。。就是隔音效果不怎么好，因为第二天要早起考试，可是隔壁房间有女生一直在聊天，动静蛮大的。。。最后无奈之下打了电话过去，但也还是有点吵。。。其他方面挺好的。。。', 'star': 5}
{'descr': '就一小旅馆…距离凯德龙之梦很近，其他真的太不满意了，还有各种招嫖小卡片！', 'star': 3}
{'descr': '性价比总体还行，房间隔音不好', 'star': 4}
{'descr': '下火车一提民航酒店，出租车司机都知道了；床品尚好，洗浴时热水有忽冷忽热；房间不大刚刚好，比较安静，前台速度很快，应该表扬。', 'star': 5}
{'descr': '离地铁站还真是不远，除此之外没啥说的，前台服务员面无表情，就像我自愿去的活该！', 'star': 1}
{'descr': '很方便，旁边就是机场大巴', 'star': 3}
{'descr': '汉庭价格实惠，就是隔音略差，还可以吧，偶尔住住都还行。', 'star': 5}
{'descr': '1)交通方便\n2）桌子小的可怜\n3）洗澡水小的更可怜\n简单完毕', 'star': 5}
{'descr': '旅店干净，交通方便，价格适宜，服务员文明礼貌，餐厅做的排骨炖豆角非常好吃。', 'star': 5}
{'descr': '小广告啊啊啊，难道没人管么？？？？？真实的', 'star': 5}
{'descr': '其他不错就是没有吹风机，实在是很纠结，早餐还行', 'star': 5}
{'descr': '交通很方便，楼下就是民航大巴，房间挺干净', 'star': 3}
{'descr': '环境不错啊，房间比较大，再多多优惠就更好了，', 'star': 5}
{'descr': '我是昨天晚上住的，在床上发现二个小虫，而且房间有异味。', 'star': 1}
{'descr': '环境一般般，服务态度一般般，价格较贵，入住原因完全因为赶飞机（楼下直接能做机场大巴）', 'star': 1}
