{'短评内容': '底下广场舞挺吵的', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '交通可以，有停车位，只是设施陈旧，图的就是有早餐，带孩子方便，不用乱跑，定的双早，结果因为入住率没有早餐，一个房间退20餐费', '短评打分': 3}
{'短评内容': '环境还好，服务很好，卫生情况还好', '短评打分': 4}
{'短评内容': '一般一般般', '短评打分': 4}
{'短评内容': '酒店环境还可以，服务也不错，网上订的，实惠！', '短评打分': 5}
{'短评内容': '不次不错就是出入口不好找', '短评打分': 4}
{'短评内容': '明显的传统酒店，但是跟上了时代的步伐，很不错。非要挑毛病的话，只能说wifi不好用。', '短评打分': 5}
{'短评内容': '没有中评，给个好评吧。老酒店，位置不算在市中心，老装修了，房间里还放了一张空床，挺恐怖的。隔音条件像隔一个纸板一样。', '短评打分': 5}
{'短评内容': '很好找，很方便，经济实惠。酒店设备太旧了', '短评打分': 5}
{'短评内容': '服务很好，卫生条件也还可以，就是要含早餐的话就更好啦', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，但是房间很干净，性价比还是挺高的，值得推荐。', '短评打分': 5}
{'短评内容': '服务 卫生较好各方面都较良好   就是设施比较旧', '短评打分': 5}
{'短评内容': '和朋友们的评论相符，总体不错，对得起这价，性价比高！', '短评打分': 3}
{'短评内容': '比较干净，挺安静，酒店的设施还比较齐全，服务人员态度较好。', '短评打分': 5}
{'短评内容': '房子味道太大了，难闻得很。位置太偏。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店干净卫生，性价比很高，服务态度也很好，是一家值得推荐的酒店！', '短评打分': 5}
{'短评内容': '旁边有条道路正在修，所以很吵，房间服务、质量一无是处，我们是半夜到的，去到房间发现房卡开不了房间，进了房间之后插座没有电、电视机打不开、空调不制冷，于是要求维修，几次三番电话之后服务员很不耐烦的来了，说她没有办法，于是我们要求更换，更加不耐烦的给我们换了一间房子，还好这间的空调还算凉快，可是睡到清晨活活被热醒，我们是要了三间房，三间房的空调都不制冷了，因为是中央空调，所以严重怀疑是被关掉了，没办法', '短评打分': 1}
{'短评内容': '酒店干净，服务态度比较好，还有温馨晚点。可能因为入住人较少，当晚七层空调制冷不太好，感觉不到空调的凉爽。', '短评打分': 5}
{'短评内容': '广厦洒店环境良好,卫生服务很好,唯有离市中心偏远.', '短评打分': 3}
{'短评内容': '干净、舒适、服务态度也挺好 缺点：希望能设有早餐', '短评打分': 5}
{'短评内容': '房间很大，门口有停车位，卫生干净，服务业不错，推荐', '短评打分': 5}
{'短评内容': '\r\n我已入住汉中广厦大酒店808房。感觉不错，清爽子卫生，服务很好，有求必应。王本杰', '短评打分': 3}
{'短评内容': '房间很大，服务很好，卫生干净，推荐', '短评打分': 3}
{'短评内容': '该酒店各方面条件还是较好', '短评打分': 3}
{'短评内容': '服务员态度不错，很热情。。洗澡水好，很大，很给力。。床单干净（这是最重要的），只是电视不能看，这个价格值了，。。上网很给力啊。。', '短评打分': 5}
{'短评内容': '很干净,很好', '短评打分': 3}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '整体来说，性价比很高，就是房间冷，空调还不吹热风，天暖和住很合算。\n顺便推荐一下汉中不错的小吃，面皮最好吃的是老城墙的面皮和东大街的一品飘香，肉夹馍最好吃的是老城墙旁边那家，羊肉泡馍最好吃的是国贸南面的老马家羊肉泡馍。面皮基本是午饭过了就关门，羊肉泡馍也是饭点限量供应，感觉不够商业化，想吃要赶早，肉夹馍倒是一直开，但关的也比较早。\n希望对来汉中旅游出差的朋友，同行有帮助。', '短评打分': 5}
