{'短评内容': '离车站近，有停车场，卫生很干净！', '短评打分': 5}
{'短评内容': '洗漱用具什么的要自费，', '短评打分': 4}
{'短评内容': '离车站近', '短评打分': 5}
{'短评内容': '一般般，自费的太多。', '短评打分': 3}
{'短评内容': '早点旁边就可以吃，买东西，出行都很方便', '短评打分': 5}
{'短评内容': '差不多，卫生一般，沙发上和浴室内头发没有打扫干净，床头软席上有鼻涕状污渍，抖一下还有好多灰尘，最严重的是所有东西都要自己出钱买。', '短评打分': 1}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '?好好好比', '短评打分': 5}
{'短评内容': '感觉挺不错的，经常来大理出差，以后也就选这家啦！经济实惠，交通方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境', '短评打分': 4}
{'短评内容': '环境不错，', '短评打分': 4}
{'短评内容': '经济型酒店，环境不错', '短评打分': 4}
{'短评内容': '价格优惠，干净卫生，还是不错的。', '短评打分': 5}
{'短评内容': '酒店周围正在施工，噪音大，灰尘多，，前台服务还可以，停车场也有，', '短评打分': 4}
{'短评内容': '蛮好的，房间很大，还有沙发', '短评打分': 4}
{'短评内容': '性价比比较高的酒店，推介！', '短评打分': 2}
{'短评内容': '不错的酒店不错的体验', '短评打分': 4}
