{'短评内容': '老板挺好的，地段也很好，第一次体验家庭旅馆', '短评打分': 5}
{'短评内容': '重没见过这么差的酒店，连上次客人马桶留下的BB都没冲，前台答复说马桶下水道坏了！真无语，以后入住的客人自行想象酒店卫生吧。', '短评打分': 2}
{'短评内容': '温馨舒适，老板太热情了！！', '短评打分': 4}
{'短评内容': '干净卫生，有回家的感觉', '短评打分': 5}
{'短评内容': '环境不错，干净整洁，老板人热情，小区里面晚上也安静，是我住过的最满意的家庭旅馆，性价比高，强烈推荐。', '短评打分': 5}
{'短评内容': '很好，可以洗衣服，全自动洗衣机。适合长途出来玩的人。晚上比较安静，睡得好。就是没有独卫。其他都挺满意。', '短评打分': 4}
{'短评内容': '我们是六个人入住，差点就承包整个家庭旅馆了，很喜欢', '短评打分': 3}
{'短评内容': '环境很温馨，干净，有热水，老板也很热情', '短评打分': 3}
{'短评内容': '环境很小清新，而且干净，在住宅区比较安静。', '短评打分': 3}
{'短评内容': '小巧精致 很安静 下次到西宁还会选择', '短评打分': 3}
{'短评内容': '不错，可以选择入住，老板服务很好', '短评打分': 3}
{'短评内容': '特别舒服！', '短评打分': 5}
{'短评内容': '住西宁的首选！欢迎回家的感觉，特别棒！', '短评打分': 5}
{'短评内容': '很不错，舒适', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '我来西宁旅游住了2晚，老板欧阳先生热情人很好，家庭旅馆干净温馨，晚上很安静，有家的感觉。交通方便，马路对面是公园。', '短评打分': 5}
{'短评内容': '旅馆主人非常好，房间很干净，很明亮。旅馆周边的交通也很方便。', '短评打分': 5}
{'短评内容': '这几天房价降了点了，前一周我入住时是160.欧阳老板很热情，晚上十点多还亲自带我到小超市购买所需物资。毕竟家庭旅馆，虽有热水，但没有浴霸，公共卫生间又稍大，所以洗澡时有点冷，并且洗澡时，没有专门放置衣物的地方，望改进。', '短评打分': 5}
{'短评内容': '清馨家庭真的特棒！下次一定还会来。欧阳老板非常热情周到。', '短评打分': 3}
