{'短评内容': '房间装修有点旧', '短评打分': 3}
{'短评内容': '房间还可以，住的那层是新装修的，地毯，墙纸，还有自动的窗帘，这个价钱还是不错的。服务上对于一个四星来说也算可以吧。有些员工业务不熟悉。', '短评打分': 5}
{'短评内容': '挺满意的！', '短评打分': 5}
{'短评内容': '虽然有些旧，但还是很温馨的房型，很精致，三百附近四星标准，总体还是比较值得的。淋浴房略小了一点点，不过一个人洗够用。', '短评打分': 5}
{'短评内容': '很丰富的早餐，品种多，味道很好。强烈推荐胡辣汤，虽然不知道是否是本地的标准口味，但确实很好喝。如果能再增加一些汤面的选择则更佳。', '短评打分': 5}
{'短评内容': '前台服务很好，房间也不错。', '短评打分': 5}
{'短评内容': '地理位置距离客户较近，晚上蛮安静，服务也不错。', '短评打分': 5}
{'短评内容': '房间还可以，性价比不错', '短评打分': 5}
{'短评内容': '环境优美，硬件配置很好，住着舒适。', '短评打分': 5}
{'短评内容': '还不错，以后路过还可以来。', '短评打分': 5}
{'短评内容': '住宿条件不错，卫生很干净，给人一种家的感觉！', '短评打分': 5}
{'短评内容': '装修有点老！早餐时间太短！', '短评打分': 4}
{'短评内容': '酒店环境优，卫生好', '短评打分': 5}
{'短评内容': '酒店环境好，卫生整洁', '短评打分': 5}
{'短评内容': '总体来说还是很不错的。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以价格有点高，交通方便，停车方便', '短评打分': 5}
{'短评内容': '酒店环境还不错，卫生也可以，只是感觉早餐品类少一些，和四星级不搭很普通。', '短评打分': 5}
{'短评内容': '挺不错的酒店 车场大 有人看车 进出城都很方便', '短评打分': 5}
{'短评内容': '前台服务员真是态度极其不好 开个房间不耐烦 真是够了', '短评打分': 3}
