{'短评内容': '安静，舒服，', '短评打分': 5}
{'短评内容': '很好，非常不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '位置可以', '短评打分': 4}
{'短评内容': '位置还可以', '短评打分': 4}
{'短评内容': '老酒店，出差住住还可以', '短评打分': 5}
{'短评内容': '帮朋友预订', '短评打分': 4}
{'短评内容': '环境不好卫生一般', '短评打分': 3}
{'短评内容': '酒店一般般，但是离公司近，方便，服务确实不是很好。', '短评打分': 3}
{'短评内容': '................还可以', '短评打分': 4}
{'短评内容': '酒店还不错就是位置不好找', '短评打分': 5}
{'短评内容': '非常好，值得住。网上优惠价282性价比高。', '短评打分': 5}
{'短评内容': '优惠价不到300时性价比还是很高的，还包了早餐，特别表扬餐厅的服务很不错，门口的短发迎宾很热情，帮忙的保安也很好。', '短评打分': 5}
{'短评内容': '周围环境不错，交通也方便，下次出来还选这里', '短评打分': 5}
{'短评内容': '很安静，虽然陈设老旧些，不过也是可以接受的！', '短评打分': 5}
{'短评内容': '  宾馆的设施比较旧，房间小，空气不好，性价比低不到四星标准，跟普通的商务宾差不多', '短评打分': 3}
{'短评内容': '性价比不错 交通方便 干净 卫生 商务首选', '短评打分': 5}
{'短评内容': '环境、位置都不错！服务也好！就是房间没有电脑，有点不方便！不过下次去厦门还会入住！', '短评打分': 5}
{'短评内容': '不错！干净！方便！如果有需要还会去住那里!也会推荐朋友去！', '短评打分': 5}
{'短评内容': '非常糟糕的经历。酒店的房间非常差，装修是90年代的，毛巾又硬又旧，有一个床的席梦思居然是有坑的。。。最让人无法忍受的是房间居然是没有空调的。4-29日入住一间要558人民币的房间居然不给空调理由是环保！将近30°的气温居然还为了省电不开空调！投诉到最后的结果是白天下雨了，所以晚上就不开空调了。最近的气温比较反常所以。。。可以让客房给送个电风扇吹吹！花了500多吹电风扇？！\n如果有钱还不如住隔壁的厦', '短评打分': 1}
{'短评内容': '还可以,各方面都不错,交通也便利还可以,各方面都不错,交通也便利', '短评打分': 5}
{'短评内容': '还行吧,厦门的酒店都有点贵,,,还有,我忘记使用消费券了,是不是不能返现金啊??唉,,白订了', '短评打分': 5}
{'短评内容': '＋不错值得推荐', '短评打分': 3}
{'短评内容': '酒店闹中取静，周围环境还可以，酒店硬件还可以，早餐一般。正好天冷，酒店只有单冷空调，夜里被冻醒。', '短评打分': 5}
{'短评内容': '：酒店服务态度好', '短评打分': 3}
{'短评内容': '卫生条件不错但是早餐东西太少，连餐具都一下子被拿光，服务员太少。希望加强接待能力，毕竟节假日收费价格高服务理所当然要更好。', '短评打分': 3}
{'短评内容': '坦白说这个酒店房间还不差的，够大，干净，安静，睡得还可以。它是在汪中带静的地区，离市中心嘉禾路厦禾路一带，火车站，中山路，鼓浪屿码头都不远，去机场的话上成功大道也很近，不会堵车，只是藏在闹市中的公园、老小区附近，进出的话打车不好打，找也不好找而已。早餐是中餐比较一般。最大问题反而是身份。说是按四星级级别装修，准四星，房卡也印刷了四颗星，但是每每问到具体服务，一般四星该有的，比如接受境外visa，m', '短评打分': 1}
{'短评内容': '环境安静，服务态度不错，就是价格贵了点，大家都说早餐好，可是我八点多去早餐根本没什么吃的了。但总体评价还不错', '短评打分': 5}
{'短评内容': '闹中取静，环境也不错。早餐也挺好，会推荐朋友去 。', '短评打分': 5}
{'短评内容': '还不错··房间挺简洁干净的。地理位置也不错····', '短评打分': 5}
{'短评内容': '同志们，这个酒店不好。    第一：价格贵！    第二：价格与环境不成正比啊，交通什么的也不是很便捷，旅游区那一块，其实住哪儿都离风景区挺近的。  我是680元订的房间，可是房间很小，还有很重的味道，整个房间就是普通旅馆的环境，实在是不能认同什么按四星标准之类的话。 很后悔从厦门东方豪悦国际酒店搬出来（之所以搬出来，是因为脑子一时糊涂，嫌那边的早餐不好，其实早餐没那么重要，房间好就行）。   后', '短评打分': 1}
{'短评内容': '地点不错，其他也都可以，就是国庆节的价格太贵了，有些不相符', '短评打分': 5}
{'短评内容': '地理位置离商业步行街\\码头\\厦大都还可以,打车10元.房内装修是较新,但风格太陈旧了缺少现代气息.早餐还算丰富吧', '短评打分': 5}
{'短评内容': '环境挺安静的，服务态度也不错，就是价格贵了点。', '短评打分': 5}
{'短评内容': '位置是离174医院很近但是我们去得那几天是暴雨天气，被子有些潮 这个让人感觉很不好，价格感觉蛮贵的。', '短评打分': 5}
{'短评内容': '挺干净的...在预算内...地理位置还算不错的，靠近活动的地点', '短评打分': 5}
{'短评内容': '房间大，舒适，早餐好，服务热情。缺点：床杠身体，睡不舒服，如果能改变那就完美了', '短评打分': 5}
{'短评内容': '该酒店的房间非常干净、舒适、服务人员态度好！', '短评打分': 5}
{'短评内容': '房间很干净，保洁工作规范，服务热情。周边有不少饮食摊点。下次还有可能入住。有一点遗憾的是那地方打车不大方便。', '短评打分': 5}
{'短评内容': '整体还可以吧，没什么亮点', '短评打分': 3}
{'短评内容': '房间干净卫生,早餐还可以,服务一般', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '还不错！有四星的感觉！', '短评打分': 3}
