{'短评内容': '是代朋友预定的，朋友说非常方便，周围美食也比较多，适合游玩居住。', '短评打分': 4}
{'短评内容': '安静舒适。', '短评打分': 5}
{'短评内容': '酒店很实惠', '短评打分': 5}
{'短评内容': '环境好，干净，舒服。', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '服务态度很好，卫生干净，可以开发票。', '短评打分': 5}
{'短评内容': '环境比较安全，出入外面的大门都刷证件，所处的地点交通比较便利。', '短评打分': 5}
{'短评内容': '环境不错，比较干净，交通比较方便', '短评打分': 5}
{'短评内容': '吾消费京东商城数年，深知各产品琳琅满目。然，唯此宝物与众皆不同，为出淤泥之清莲，使吾为之动容，心驰神往，以至茶饭不思，寝食难安，辗转反侧无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾之所有而能买。东哥之热心、快递员之殷切，无不让人感激涕零，可谓迅雷不及掩耳盗铃儿响叮当仁不让世界充满爱。待打开包裹之时，顿时金光四射，屋内升起七彩祥云，处处皆是祥和之气。吾惊讶之余甚是欣喜若狂，呜呼哀哉！此宝乃是天上物，人间又得几回求！遂沐浴更衣，焚香祷告后与人共赏此宝，人皆赞叹不已，故生此宝物款型及做工，超高性价比之慨，且赞吾独具慧眼与时尚品位。产品介绍果然句句实言，毫无夸大欺瞒之嫌。实乃大家之风范，忠义之商贾！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '呵呵。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '风景真的很美，空气很好，打开窗子就可以看到湖水、沙滩，卫生很干净，老板也很热情地招待我们，下次还会再来的！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '地理位置还比较合理，离地地铁站较近', '短评打分': 5}
{'短评内容': '帮同事订的，都还可以。以后还会订。', '短评打分': 4}
