{'descr': '酒店不错，第二次住了', 'star': 5}
{'descr': '房间很好，双人床，挺干净的', 'star': 5}
{'descr': '很好，真的很好，服务不骄不躁', 'star': 5}
{'descr': '醋就好v叫你不看广告词今年吃饭呀句v看看姑父几百块肯定G8电话v那就换成好几次大家回公司你看国际大红包开会放荡不羁刚才发货v年纪', 'star': 5}
{'descr': '酒店非常干净，很舒适，服务很周到，离城墙很近方便游玩，车停在院内很安全，虽然止住了一完感觉真的很棒！下次还会光顾哦，赞赞赞赞！', 'star': 5}
{'descr': '服务还要单独评价啊&hellip;&hellip;挺热情的，一直推销报团游，对部分游客是刚需吧', 'star': 5}
{'descr': '哦哦噢噢噢哦哦', 'star': 5}
{'descr': '还凑乎！！！！！！！！', 'star': 5}
{'descr': '就此地话工地的不错不参加动不动就不好吃蹦蹦床好粗人v发v火车几点能到彼此的你的', 'star': 5}
{'descr': '在马路边里面的大院内，安静，停车收费！', 'star': 4}
{'descr': '还不错，质优价廉，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', 'star': 4}
{'descr': '房间小，被褥还是潮的，还有蚊子，总体感觉不好。', 'star': 3}
{'descr': 'v哦给你揉的就放假好成绩东北大炕吃加菲猫不参加肥牛饭开车呢发', 'star': 5}
{'descr': '还算方便', 'star': 4}
{'descr': '多次入住，安静干净。', 'star': 4}
{'descr': '多次入住，安静干净。', 'star': 4}
{'descr': '多次入住，安静干净。', 'star': 4}
{'descr': '多次入住，干净安静', 'star': 4}
{'descr': '首先，网上的地址有错漏，不是靠近南环街附近，害我找了好久，其实就在中国银行后面，可以先打电话确认。\n然后进入那个外面看起来破破的地方，里面别有洞天，适合休闲度假。酒店风格较清新大方，个人感觉不错。\n地漏不够畅，四楼电梯按钮没用，嗯，也有些小问题。\n总体考虑，还会住。', 'star': 5}
{'descr': '帮同事预定的，同事和他老婆住过后都一致反映还是不错得，值得推荐。', 'star': 5}
{'descr': '干净、比较安静；旁边有个御河饭店，中餐和火锅，价格合适；距室内的景区华严寺出租车仅6元（起步价），可以免去开车寻停车位及停车费之烦恼。最大的优点是有停车场，虽然不免费但价格可以接受，每晚10元，车位充足；不足之处是不能刷卡，前台个别服务人员不热情，爱搭不理。', 'star': 5}
{'descr': '很好，物超所值，整洁而干净，就是早餐风声点就好了', 'star': 5}
{'descr': '房间舒适，住了2个晚上，都挺不错的，服务质量中上吧，离景区也比较近。', 'star': 5}
{'descr': '昨天刚推荐了此酒店，今早一顿早餐就使好印象烟消云散。一个数不清餐券的服务员，一个没弄清情况就斥责我们混饭吃的胖子，一顿早餐值几个钱?免得起就免，免不起就收钱，别砸你酒店的牌子！记住一点：说话和气是做酒店业的基本素质！', 'star': 1}
{'descr': '干净、简洁，做为这个价位的商务酒店还是不错的，门囗的横幅上写着送果盘、送晚餐牛奶，在哪呢？做不到就别写出来。尽管感觉被忽悠，仍不影响对它的好感，因为出门在外干净舒适是第一位的。', 'star': 5}
