{'短评内容': '有停车位，早餐品种太少了，房间卫生还不错，能不能加床不知道，酒店位置离市中心距离有点远打车的话大概近30元左右', '短评打分': 4}
{'短评内容': '早餐有待提升', '短评打分': 4}
{'短评内容': '床头充电插口松了。早上起来手机没电', '短评打分': 5}
{'短评内容': '有早餐，有加床，房间挺大，但就是设施很久，卫生管理不到位。', '短评打分': 3}
{'短评内容': '不能加床，其它都可以，房间大，床大', '短评打分': 5}
{'短评内容': 'laji酒店！！', '短评打分': 1}
{'短评内容': '环境优雅，安靜，设备齐全，空调的声音稍微大了点，影响晚上休息！总体来说还是不错的！', '短评打分': 5}
{'短评内容': '性价比高！', '短评打分': 4}
{'短评内容': '房间很大！', '短评打分': 4}
{'短评内容': '总的来说还可以，有点旧了。', '短评打分': 3}
{'短评内容': '物美价廉，还是不错的选择，有车就方便！', '短评打分': 4}
{'短评内容': '住宿不错', '短评打分': 4}
{'短评内容': '电梯比较差，早上还坏一部，服务态度一般，早餐差！', '短评打分': 3}
{'短评内容': '很好的酒店。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好的酒店。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好的酒店，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '一如既往的好！值得推荐……', '短评打分': 5}
{'短评内容': '房间很大，安静。', '短评打分': 3}
{'短评内容': '酒店设施还可以，就是位置偏了点，而且早餐品种不多，数量也少，', '短评打分': 5}
